"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1220003863425478658""",https://twitter.com/kimkardashian/status/1220003863425478658,"2020-01-22 15:22:42","""Morning Madness https://t.co/1fXrBJfVND""",Tweet,"Twitter for iPhone",14976,202723,"""25365536""","""Kim Kardashian West""",kimkardashian,Verified,https://twitter.com/kimkardashian,"Not Protected"
"""1219746621396701184""",https://twitter.com/kyliejenner/status/1219746621396701184,"2020-01-21 22:20:30","""New Video LIVE 🖤 https://t.co/GJVCCJjm7z""",Retweet,"Twitter for iPhone",355,4288,"""236699098""","""Kylie Jenner""",kyliejenner,Verified,https://twitter.com/kyliejenner,"Not Protected"
"""1219718526073802752""",https://twitter.com/nordstrom/status/1219718526073802752,"2020-01-21 20:28:52","""Coming soon: SKIMS. Created by @KimKardashian, @skims is the new, solution focused approach to shape enhancing undergarments and it’s launching exclusively at Nordstrom on February 5. Stay tuned for more details: https://t.co/kiOfMq3k3S https://t.co/vlvH45CwLT""",Retweet,"Khoros Marketing",180,2520,"""15162193""","""Nordstrom""",nordstrom,Verified,https://twitter.com/nordstrom,"Not Protected"
"""1219715780817772544""",https://twitter.com/skims/status/1219715780817772544,"2020-01-21 20:17:58","""SKIMS is excited to announce our first retail partnership with @Nordstrom, available online and in select stores February 5. Visit https://t.co/xzGrmk2Rxv for store locations and stay tuned for more details! https://t.co/bHPemRXMPG""",Retweet,"Twitter Web App",167,2310,"""1149099376968495104""","""SKIMS""",skims,Verified,https://twitter.com/skims,"Not Protected"
"""1219666190743638017""",https://twitter.com/kimkardashian/status/1219666190743638017,"2020-01-21 17:00:54","""The @skims Essential Bodysuit collection is available now! The super soft compression bodysuits can be worn alone or as a layering piece for any look. I am so excited for you guys to finally be able to feel how super stretchy the fabric is. Shop now at https://t.co/Qsy51S3rtD https://t.co/KEwqbuI6ix""",Tweet,"Twitter for iPhone",120,2604,"""25365536""","""Kim Kardashian West""",kimkardashian,Verified,https://twitter.com/kimkardashian,"Not Protected"
"""1219617435268988929""",https://twitter.com/kimkardashian/status/1219617435268988929,"2020-01-21 13:47:10","""More Cabo ☀️🕶 https://t.co/vMCBg1A4Ke""",Tweet,"Twitter for iPhone",10435,146772,"""25365536""","""Kim Kardashian West""",kimkardashian,Verified,https://twitter.com/kimkardashian,"Not Protected"
"""1219508987021811713""",https://twitter.com/kimkardashian/status/1219508987021811713,"2020-01-21 06:36:14","""This is so sweet! I find the birth chart reading so interesting, thanks for sharing! https://t.co/XxjYnMWBh1""",Tweet,"Twitter for iPhone",160,4283,"""25365536""","""Kim Kardashian West""",kimkardashian,Verified,https://twitter.com/kimkardashian,"Not Protected"
"""1219507779255169030""",https://twitter.com/kimkardashian/status/1219507779255169030,"2020-01-21 06:31:26","""Aww you look amazing in your @skims pajamas!!!! https://t.co/DOkw3fpDsy""",Tweet,"Twitter for iPhone",159,7953,"""25365536""","""Kim Kardashian West""",kimkardashian,Verified,https://twitter.com/kimkardashian,"Not Protected"
"""1219394267346604035""",https://twitter.com/skims/status/1219394267346604035,"2020-01-20 23:00:23","""The Sleeveless Crew Neck Thong Bodysuit ($68) in Smokey Quartz — launching TOMORROW, JANUARY 21 at 9AM PST / 12PM EST in sizes XXS - 5X. Join the waitlist now at https://t.co/Bn8kuwhTZx to be the first to shop before they sell out.
Photo: #VanessaBeecroft https://t.co/aVDtK5a9kn""",Retweet,"Sprout Social",51,981,"""1149099376968495104""","""SKIMS""",skims,Verified,https://twitter.com/skims,"Not Protected"
"""1219288722585214976""",https://twitter.com/kkwbeauty/status/1219288722585214976,"2020-01-20 16:00:59","""""I've had the new Bronze Heaven palette in my purse for months - The gold and brown shades are perfect for everyday. I’m also wearing the brand new Lip Crayon in Rose Dust and the Classic Shimmers Blush Palette"" - @kimkardashian #CelestialSkies launches on Friday 01.24 at 9AM PST https://t.co/tuzFZuMLSF""",Retweet,"Dash Hudson",166,3639,"""809877507650424832""","""KKW BEAUTY""",kkwbeauty,Verified,https://twitter.com/kkwbeauty,"Not Protected"
