Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220262518519521281""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#FilhallPart2', '#desimelodies', '#CapeOfGoodFilms']",3,"['@NupurSanon', '@bpraak', '@AmmyVirk', '@yourjaani', '@arvinderkhaira', '@azeem2112', '@VarunG0707', '@_hypepr']",8,3495,740,Image added,-,2020-01-23,08:30:30
"""1220236816604749824""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#Durgavati', '#CapeOfGoodFilms']",2,"['@bhumipednekar', '@itsBhushanKumar', '@vikramix', '@Abundantia_Ent', '@TSeries']",5,7335,790,Image added,-,2020-01-23,06:48:22
"""1219804361133477890""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#Activa6G,', '#GameOfSixes', '#6ChangesTheGame']",3,"['@taapsee', '@StarSportsIndia', '@honda2wheelerin']",3,11087,1076,-,Video added,2020-01-22,02:09:57
"""1219491375793635329""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,[],0,19572,1445,-,Video added,2020-01-21,05:26:15
"""1219156453354655745""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#MondayVibes', '#LetsDoThis']",2,[],0,30880,1868,Image added,-,2020-01-20,07:15:23
"""1218071829291495424""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,[],0,75907,3876,Image added,-,2020-01-17,07:25:29
"""1217363482800082944""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#Activa6G.', '#6ChangesTheGame']",2,['@honda2wheelerin'],1,8192,855,Image added,-,2020-01-15,08:30:46
"""1216595170633740288""","""Akshay Kumar""",akshaykumar,Male,Entertainment,['#HappyLohri.'],1,[],0,29657,2218,Image added,-,2020-01-13,05:37:46
"""1215592152518090752""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,['@iHrithik'],1,32875,2459,-,-,2020-01-10,11:12:08
"""1215591588195266560""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,"['@BeingSalmanKhan', '@farhad_samji']",2,50399,4142,-,-,2020-01-10,11:09:53
"""1213014776369934336""","""Akshay Kumar""",akshaykumar,Male,Entertainment,['#CapeOfGoodFilms'],1,"['@azeem2112', '@ZeeStudios_', '@DharmaMovies', '@ZeeMusicCompany""']",4,2139,215,-,-,2020-01-03,08:30:34
"""1213014741406273536""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#Zumba!', '#GoodNewwz', '#KareenaKapoorKhan']",3,"['@diljitdosanjh', '@Advani_Kiara', '@karanjohar', '@apoorvamehta18', '@ShashankKhaitan', '@raj_a_mehta', '@NotSoSnob', '@MainHoonRomy', '@tanishkbagchi', '@purevayu""']",10,9703,1007,-,-,2020-01-03,08:30:25
"""1212690169800867840""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#MissionMangal', '#CapeOfGoodFilms', '#HopeProductions']",3,"['@vidya_balan', '@taapsee', '@sonakshisinha', '@MenenNithya', '@TheSharmanJoshi', '@IamKirtiKulhari', '@Jaganshakti', '@foxstarhindi']",8,19669,1464,Image added,-,2020-01-02,11:00:41
"""1211927978709417984""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,[],0,16554,1129,-,-,2019-12-31,08:32:01
"""1211530822781587456""","""Akshay Kumar""",akshaykumar,Male,Entertainment,"['#DilNaJaaneya', '#ArijitSingh', '#OnLoop']",3,"['@lauvsongs,']",1,34189,2486,-,Video added,2019-12-30,06:13:51
"""1211196501877297152""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,[],0,12532,786,-,-,2019-12-29,08:05:23
"""1211195985138999296""","""Akshay Kumar""",akshaykumar,Male,Entertainment,[],0,[],0,7843,759,-,-,2019-12-29,08:03:20
"""1210764493107544064""","""Akshay Kumar""",akshaykumar,Male,Entertainment,['#CapeofGoodFilms'],1,"['@RelianceEnt', '@DharmaMovies', '@RSPicturez', '@TSeries""']",4,1507,225,-,-,2019-12-28,03:28:44
