Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1197968678957936640""","""BritneyTheZone""",britneythezone,Female,Music,[],0,[],0,2793,579,-,Video added,2019-11-22,20:02:44
"""1190678187950379008""","""Britney Spears""",britneyspears,Female,Music,[],0,['@britneythezone'],1,8522,1547,-,Video added,2019-11-02,17:12:56
"""1190364370540384257""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,10475,1590,Image added,-,2019-11-01,20:25:56
"""1190328050350620673""","""BritneyTheZone""",britneythezone,Female,Music,[],0,[],0,1900,391,Image added,-,2019-11-01,18:01:37
"""1164720241777111040""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,24871,2420,Image added,-,2019-08-23,02:05:19
"""1164720241777111040""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,24871,2420,Image added,-,2019-08-23,02:05:19
"""1163939758298419201""","""Britney Spears""",britneyspears,Female,Music,[],0,"['@MonsterEnergy,', '@NASCAR…']",2,4522,522,-,-,2019-08-20,22:23:57
"""1124474687461806080""","""Britney Spears""",britneyspears,Female,Music,[],0,['@francesiacuzzi'],1,38732,4666,Image added,-,2019-05-04,00:43:51
"""1124474687461806080""","""Britney Spears""",britneyspears,Female,Music,[],0,['@francesiacuzzi'],1,38732,4666,Image added,-,2019-05-04,00:43:51
"""1124474687461806080""","""Britney Spears""",britneyspears,Female,Music,[],0,['@francesiacuzzi'],1,38732,4666,Image added,-,2019-05-04,00:43:51
"""1124474687461806080""","""Britney Spears""",britneyspears,Female,Music,[],0,['@francesiacuzzi'],1,38732,4666,Image added,-,2019-05-04,00:43:51
"""1084152409255866368""","""Britney Spears""",britneyspears,Female,Music,['#BabyOneMoreTime20'],1,[],0,115209,25079,Image added,-,2019-01-12,18:17:31
"""1081236197597372416""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,29064,3384,-,-,2019-01-04,17:09:32
"""1081236196968128512""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,19075,2350,-,-,2019-01-04,17:09:32
"""1081236196359954432""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,19545,2649,-,-,2019-01-04,17:09:32
"""1081236193189101568""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,44627,6050,Image added,-,2019-01-04,17:09:31
"""1079457642991341568""","""Britney Spears""",britneyspears,Female,Music,[],0,['@thebrooklyncat'],1,132,14,-,-,2018-12-30,19:22:12
"""1079415903115268096""","""Randy Haas""",randy_haas,Female,Music,"['#BritneyDomination', '#BritneySpears']",2,['@BritneySpears'],1,4058,471,-,Video added,2018-12-30,16:36:20
"""1079074867096342528""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,8418,708,-,-,2018-12-29,18:01:11
"""1078015727880175616""","""Britney Spears""",britneyspears,Female,Music,[],0,['@arielura'],1,388,24,-,-,2018-12-26,19:52:32
"""1078015268691931136""","""Britney Spears""",britneyspears,Female,Music,[],0,['@Kerrionce'],1,290,22,-,-,2018-12-26,19:50:43
"""1078014522072264705""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,7473,718,-,-,2018-12-26,19:47:45
"""1077622384213913600""","""Britney Spears""",britneyspears,Female,Music,[],0,[],0,33453,4241,-,-,2018-12-25,17:49:32
"""1076172089344839680""","""Britney Spears""",britneyspears,Female,Music,['#MyPrerogative'],1,[],0,26635,3901,-,Video added,2018-12-21,17:46:35
