Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220229853557018625""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,['@MarcJSpearsESPN)'],1,4845,879,-,Video added,2020-01-23,06:20:42
"""1220226518712037376""","""ESPN""",espn,Organisation,Sports,[],0,[],0,8050,1682,-,Video added,2020-01-23,06:07:27
"""1220214633442746369""","""SportsNation""",sportsnation,Organisation,Sports,[],0,[],0,14761,2879,Image added,-,2020-01-23,05:20:13
"""1220214633442746369""","""SportsNation""",sportsnation,Organisation,Sports,[],0,[],0,14761,2879,Image added,-,2020-01-23,05:20:13
"""1220212122849857538""","""ESPN""",espn,Organisation,Sports,[],0,[],0,12816,1821,Image added,-,2020-01-23,05:10:15
"""1220208628751327232""","""ESPN""",espn,Organisation,Sports,[],0,[],0,17229,3857,-,Video added,2020-01-23,04:56:22
"""1220206449479028737""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,25894,4597,-,Video added,2020-01-23,04:47:42
"""1220205807590993920""","""ESPN""",espn,Organisation,Sports,[],0,[],0,9656,1740,-,-,2020-01-23,04:45:09
"""1220204719286685698""","""ESPN""",espn,Organisation,Sports,[],0,[],0,1727,137,-,Video added,2020-01-23,04:40:50
"""1220184367986880513""","""ESPN""",espn,Organisation,Sports,[],0,[],0,5002,531,-,Video added,2020-01-23,03:19:57
"""1220179394922262528""","""ESPN""",espn,Organisation,Sports,[],0,[],0,1706,216,-,Video added,2020-01-23,03:00:12
"""1220175306264383488""","""ESPN""",espn,Organisation,Sports,[],0,[],0,2781,303,-,Video added,2020-01-23,02:43:57
"""1220174835281731584""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4407,566,Image added,-,2020-01-23,02:42:05
"""1220172482654736388""","""ESPN""",espn,Organisation,Sports,[],0,[],0,1234,115,-,Video added,2020-01-23,02:32:44
"""1220171233267867649""","""NBA on ESPN""",espnnba,Organisation,Sports,['#HoopStreams'],1,[],0,116,25,-,-,2020-01-23,02:27:46
"""1220169740993339398""","""NBA on ESPN""",espnnba,Organisation,Sports,[],0,[],0,795,61,-,Video added,2020-01-23,02:21:50
"""1220168904904855553""","""NBA on ESPN""",espnnba,Organisation,Sports,['#HoopStreams'],1,['@OmarESPN'],1,71,12,-,-,2020-01-23,02:18:31
"""1220164727906525184""","""NBA on ESPN""",espnnba,Organisation,Sports,['#HoopStreams'],1,"['@wojespn', ""@KendrickPerkins'""]",2,204,25,-,-,2020-01-23,02:01:55
"""1220163195312074753""","""NBA on ESPN""",espnnba,Organisation,Sports,['#HoopStreams'],1,"['@wojespn', '@CassidyHubbarth', '@KendrickPerkins']",3,104,15,-,-,2020-01-23,01:55:49
"""1220160934930288640""","""NBA on ESPN""",espnnba,Organisation,Sports,['#HoopStreams'],1,"['@itsthebaldgirl,', '@OmarESPN', '@Chiney321']",3,59,11,-,-,2020-01-23,01:46:51
"""1220156733945008133""","""ESPN""",espn,Organisation,Sports,['#HoopStreams'],1,"['@CassidyHubbarth', '@KendrickPerkins']",2,634,117,-,-,2020-01-23,01:30:09
"""1220143602829004803""","""ESPN""",espn,Organisation,Sports,[],0,[],0,15345,1608,-,Video added,2020-01-23,00:37:58
"""1220140243573190656""","""NBA on ESPN""",espnnba,Organisation,Sports,[],0,[],0,2129,252,Image added,-,2020-01-23,00:24:37
"""1220140243573190656""","""NBA on ESPN""",espnnba,Organisation,Sports,[],0,[],0,2129,252,Image added,-,2020-01-23,00:24:37
"""1220114890158936070""","""NFL on ESPN""",espnnfl,Organisation,Sports,[],0,['@Giants)'],1,3149,570,-,Video added,2020-01-22,22:43:53
"""1220111960357904384""","""ESPN""",espn,Organisation,Sports,[],0,['@Giants)'],1,4946,559,-,Video added,2020-01-22,22:32:14
"""1220109588248375297""","""ESPN""",espn,Organisation,Sports,[],0,[],0,11630,1752,Image added,-,2020-01-22,22:22:49
"""1220102289450397696""","""Dan Graziano""",dangrazianoespn,Organisation,Sports,[],0,['@JordanRaanan'],1,16053,4319,-,-,2020-01-22,21:53:48
"""1220078383356424192""","""ESPN FC""",espnfc,Organisation,Sports,[],0,[],0,2877,556,-,Video added,2020-01-22,20:18:49
"""1220077393899130880""","""ESPN""",espn,Organisation,Sports,[],0,[],0,11303,1288,Image added,-,2020-01-22,20:14:53
"""1220045791236173825""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,11026,1687,Image added,-,2020-01-22,18:09:18
"""1220021425748303875""","""espnW""",espnw,Organisation,Sports,[],0,[],0,3265,328,-,Video added,2020-01-22,16:32:29
"""1220014954692141057""","""ESPN""",espn,Organisation,Sports,[],0,[],0,7530,893,-,-,2020-01-22,16:06:46
"""1220009194776072192""","""espnW""",espnw,Organisation,Sports,[],0,['@RobinRoberts'],1,1349,323,-,Video added,2020-01-22,15:43:53
"""1220005373907816450""","""Jalen Rose""",jalenrose,Organisation,Sports,"['#81', '#jalenvseverybody']",2,['@kobebryant'],1,36376,9041,-,Video added,2020-01-22,15:28:42
"""1220002932449521670""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,15720,4117,-,Video added,2020-01-22,15:19:00
"""1219998267376918530""","""ESPN""",espn,Organisation,Sports,[],0,[],0,44828,5529,-,Video added,2020-01-22,15:00:28
"""1219990628878245888""","""ESPN""",espn,Organisation,Sports,[],0,[],0,33178,7574,Image added,-,2020-01-22,14:30:06
"""1219843894961111042""","""ESPN""",espn,Organisation,Sports,[],0,[],0,49843,7811,-,Video added,2020-01-22,04:47:02
"""1219841764745412609""","""ESPN""",espn,Organisation,Sports,[],0,['@MikeABCColumbia)'],1,4530,675,-,Video added,2020-01-22,04:38:34
"""1219832370179776514""","""ESPN""",espn,Organisation,Sports,[],0,['@YoungKiingg7)'],1,38555,5204,-,Video added,2020-01-22,04:01:15
"""1219829627398561793""","""espnW""",espnw,Organisation,Sports,[],0,[],0,933,80,-,Video added,2020-01-22,03:50:21
"""1219828428100251648""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,37033,5349,-,Video added,2020-01-22,03:45:35
"""1219819697002156032""","""ESPN""",espn,Organisation,Sports,[],0,[],0,8966,1287,-,Video added,2020-01-22,03:10:53
"""1219813877241860096""","""ACC Network""",accnetwork,Organisation,Sports,[],0,[],0,3389,536,-,Video added,2020-01-22,02:47:46
"""1219802770439536640""","""ESPN""",espn,Organisation,Sports,[],0,[],0,46250,11888,-,Video added,2020-01-22,02:03:37
"""1219784786841088000""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,153276,20857,-,Video added,2020-01-22,00:52:10
"""1219782609410105345""","""ESPN""",espn,Organisation,Sports,[],0,[],0,12648,1412,-,Video added,2020-01-22,00:43:31
"""1219762498041208833""","""ESPN""",espn,Organisation,Sports,[],0,[],0,5029,735,Image added,-,2020-01-21,23:23:36
"""1219730539969699842""","""Cameron Wolfe""",cameronwolfe,Organisation,Sports,[],0,[],0,10666,2948,-,-,2020-01-21,21:16:36
"""1219725319659315202""","""ESPN""",espn,Organisation,Sports,[],0,[],0,6990,831,Image added,-,2020-01-21,20:55:52
"""1219718199027150849""","""ESPN PR""",espnpr,Organisation,Sports,['#WFinalFour'],1,[],0,806,215,Image added,-,2020-01-21,20:27:34
"""1219707338237583360""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,21333,4474,Image added,-,2020-01-21,19:44:25
"""1219690472052076549""","""ESPN""",espn,Organisation,Sports,[],0,[],0,1153,86,-,-,2020-01-21,18:37:23
"""1219680728474181632""","""ESPN""",espn,Organisation,Sports,[],0,[],0,21230,2619,-,Video added,2020-01-21,17:58:40
"""1219643590042947589""","""ESPN Ringside""",espnringside,Organisation,Sports,[],0,['@ErrolSpenceJr'],1,604,84,-,Video added,2020-01-21,15:31:06
"""1219637969067397122""","""ESPN""",espn,Organisation,Sports,[],0,['@ESPN_Esports'],1,12189,2142,Image added,-,2020-01-21,15:08:46
"""1219469847890972672""","""ESPN""",espn,Organisation,Sports,[],0,['@sportsiren'],1,34915,4384,-,Video added,2020-01-21,04:00:43
"""1219451848320528386""","""ESPN""",espn,Organisation,Sports,[],0,[],0,7260,550,Image added,-,2020-01-21,02:49:11
"""1219415159246073856""","""ESPN College Football""",espncfb,Organisation,Sports,[],0,['@willmcfadden)'],1,37947,5057,-,Video added,2020-01-21,00:23:24
"""1219395419307958273""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4281,517,-,Video added,2020-01-20,23:04:57
"""1219389240791961605""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4236,558,Image added,-,2020-01-20,22:40:24
"""1219380861528870912""","""ESPN""",espn,Organisation,Sports,[],0,[],0,65265,9766,-,Video added,2020-01-20,22:07:07
"""1219348770204372993""","""ESPN""",espn,Organisation,Sports,[],0,"['@TheTraeYoung', '@NBA)']",2,5790,427,-,Video added,2020-01-20,19:59:35
"""1219346533801496576""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4660,545,-,Video added,2020-01-20,19:50:42
"""1219332512645894145""","""ESPN""",espn,Organisation,Sports,[],0,[],0,2003,181,-,Video added,2020-01-20,18:54:59
"""1219324938726920193""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,3283,262,-,Video added,2020-01-20,18:24:54
"""1219323892092764160""","""ESPN""",espn,Organisation,Sports,[],0,['@KingJames'],1,22617,1818,-,Video added,2020-01-20,18:20:44
"""1219300538254270464""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4770,462,Image added,-,2020-01-20,16:47:56
"""1219297927425904640""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,23681,2762,Image added,-,2020-01-20,16:37:34
"""1219297927425904640""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,23681,2762,Image added,-,2020-01-20,16:37:34
"""1219297927425904640""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,23681,2762,Image added,-,2020-01-20,16:37:34
"""1219286735491825667""","""SEC Network""",secnetwork,Organisation,Sports,[],0,['@Finebaum'],1,6281,1713,-,Video added,2020-01-20,15:53:05
"""1219282273155080199""","""Get Up""",getupespn,Organisation,Sports,[],0,['@mspears96'],1,2775,348,-,Video added,2020-01-20,15:35:21
"""1219273271742472192""","""espnW""",espnw,Organisation,Sports,[],0,['@KatieSowers'],1,56944,10357,Image added,-,2020-01-20,14:59:35
"""1219149531733991425""","""ESPN""",espn,Organisation,Sports,[],0,[],0,7723,1580,Image added,-,2020-01-20,06:47:53
"""1219139850433191937""","""ESPN""",espn,Organisation,Sports,[],0,[],0,1277,169,-,Video added,2020-01-20,06:09:25
"""1219127301339844608""","""ESPN""",espn,Organisation,Sports,[],0,[],0,8025,1161,Image added,-,2020-01-20,05:19:33
"""1219127301339844608""","""ESPN""",espn,Organisation,Sports,[],0,[],0,8025,1161,Image added,-,2020-01-20,05:19:33
"""1219127301339844608""","""ESPN""",espn,Organisation,Sports,[],0,[],0,8025,1161,Image added,-,2020-01-20,05:19:33
"""1219114977258364929""","""ESPN""",espn,Organisation,Sports,[],0,[],0,14299,1873,Image added,-,2020-01-20,04:30:35
"""1219114977258364929""","""ESPN""",espn,Organisation,Sports,[],0,[],0,14299,1873,Image added,-,2020-01-20,04:30:35
"""1219106673761181696""","""ESPN""",espn,Organisation,Sports,[],0,[],0,13513,1448,-,Video added,2020-01-20,03:57:35
"""1219099053943873537""","""ESPN""",espn,Organisation,Sports,[],0,[],0,58695,6967,-,Video added,2020-01-20,03:27:18
"""1219096980560936961""","""NFL on ESPN""",espnnfl,Organisation,Sports,[],0,['@AdamSchefter)'],1,2911,239,Image added,-,2020-01-20,03:19:04
"""1219096778148065288""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,['@NFL)'],1,38216,2979,-,Video added,2020-01-20,03:18:16
"""1219094089884454913""","""ESPN""",espn,Organisation,Sports,[],0,[],0,3973,497,Image added,-,2020-01-20,03:07:35
"""1219089863896682496""","""ESPN""",espn,Organisation,Sports,[],0,[],0,34773,5036,Image added,-,2020-01-20,02:50:47
"""1219089863896682496""","""ESPN""",espn,Organisation,Sports,[],0,[],0,34773,5036,Image added,-,2020-01-20,02:50:47
"""1219088209944240128""","""ESPN""",espn,Organisation,Sports,[],0,[],0,6476,1392,-,Video added,2020-01-20,02:44:13
"""1219088044176957440""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,13987,3220,Image added,-,2020-01-20,02:43:33
"""1219083583966654464""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4244,470,Image added,-,2020-01-20,02:25:50
"""1219083583966654464""","""ESPN""",espn,Organisation,Sports,[],0,[],0,4244,470,Image added,-,2020-01-20,02:25:50
"""1219082181265580033""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,1458,119,-,Video added,2020-01-20,02:20:16
"""1219065900659355648""","""ESPN""",espn,Organisation,Sports,[],0,[],0,2934,372,Image added,-,2020-01-20,01:15:34
"""1219063613765365761""","""ESPN""",espn,Organisation,Sports,[],0,['@EliasSports)'],1,2346,291,Image added,-,2020-01-20,01:06:29
"""1219063094141423616""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,['@NFL)'],1,3925,563,-,Video added,2020-01-20,01:04:25
"""1219059796516777985""","""ESPN""",espn,Organisation,Sports,[],0,['@thecheckdown)'],1,8685,763,-,Video added,2020-01-20,00:51:19
"""1219055528783097861""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,1319,151,-,Video added,2020-01-20,00:34:21
"""1219052898828591104""","""ESPN""",espn,Organisation,Sports,[],0,[],0,54385,5678,-,Video added,2020-01-20,00:23:54
"""1219046864974241795""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,2008,228,-,Video added,2020-01-19,23:59:56
"""1219044461763756032""","""ESPN""",espn,Organisation,Sports,[],0,"['@tkelce', '@NFLonCBS)']",2,15615,2887,-,Video added,2020-01-19,23:50:23
"""1219040673665634309""","""ESPN""",espn,Organisation,Sports,[],0,[],0,9690,908,Image added,-,2020-01-19,23:35:19
"""1219038428672724995""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,17600,2088,-,Video added,2020-01-19,23:26:24
"""1219036751232151552""","""ESPN""",espn,Organisation,Sports,[],0,"['@tkelce', '@PatrickMahomes', '@thecheckdown)']",3,7825,1062,-,Video added,2020-01-19,23:19:44
"""1219034251837857798""","""NFL on ESPN""",espnnfl,Organisation,Sports,[],0,[],0,3990,708,Image added,-,2020-01-19,23:09:48
"""1219034213418196996""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,[],0,26179,5169,Image added,-,2020-01-19,23:09:39
"""1219034183449878529""","""ESPN""",espn,Organisation,Sports,[],0,[],0,10726,1666,Image added,-,2020-01-19,23:09:32
"""1219029858350706688""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,1549,113,-,Video added,2020-01-19,22:52:21
"""1219027638611849216""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,['@NFL)'],1,5241,665,-,Video added,2020-01-19,22:43:32
"""1219020695344230403""","""ESPN""",espn,Organisation,Sports,[],0,['@thecheckdown)'],1,10781,874,-,Video added,2020-01-19,22:15:56
"""1219010714939117569""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,31873,4511,-,Video added,2020-01-19,21:36:17
"""1219006704068808705""","""ESPN""",espn,Organisation,Sports,[],0,['@thecheckdown)'],1,3778,340,-,Video added,2020-01-19,21:20:20
"""1219004348379861001""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,2050,206,-,Video added,2020-01-19,21:10:59
"""1219002485999915008""","""SportsCenter""",sportscenter,Organisation,Sports,[],0,['@thecheckdown)'],1,24247,3184,-,Video added,2020-01-19,21:03:35
"""1219000732701118464""","""ESPN""",espn,Organisation,Sports,[],0,"['@AaronRodgers12', '@packers)']",2,1817,212,-,Video added,2020-01-19,20:56:37
"""1218998863958368257""","""ESPN""",espn,Organisation,Sports,[],0,['@NFL)'],1,3163,314,-,Video added,2020-01-19,20:49:11
"""1218995920920096776""","""NFL on ESPN""",espnnfl,Organisation,Sports,[],0,[],0,3708,384,Image added,-,2020-01-19,20:37:30
"""1218994447020625921""","""ESPN""",espn,Organisation,Sports,['#WilderFury2'],1,"['@BronzeBomber', '@Tyson_Fury,', '@ESPNRingside)']",3,530,125,-,Video added,2020-01-19,20:31:38
"""1218987979563249666""","""NFL on ESPN""",espnnfl,Organisation,Sports,[],0,['@thecheckdown)'],1,40176,4434,-,Video added,2020-01-19,20:05:56
"""1218958191440146440""","""ESPN""",espn,Organisation,Sports,[],0,[],0,3729,465,-,-,2020-01-19,18:07:34
"""1218949516499542016""","""ESPN""",espn,Organisation,Sports,[],0,['@Titans)'],1,8442,958,-,Video added,2020-01-19,17:33:06
"""1218909211876298754""","""ESPN""",espn,Organisation,Sports,[],0,['@KPIXtv)'],1,11416,1301,-,Video added,2020-01-19,14:52:57
"""1218905849889992704""","""ESPN""",espn,Organisation,Sports,[],0,['@NickSwagyPYoung)'],1,2806,240,Image added,-,2020-01-19,14:39:35
"""1218781033556070400""","""ESPN""",espn,Organisation,Sports,['#UFC246'],1,[],0,11241,1615,Image added,-,2020-01-19,06:23:36
"""1218781033556070400""","""ESPN""",espn,Organisation,Sports,['#UFC246'],1,[],0,11241,1615,Image added,-,2020-01-19,06:23:36
"""1218781033556070400""","""ESPN""",espn,Organisation,Sports,['#UFC246'],1,[],0,11241,1615,Image added,-,2020-01-19,06:23:36
"""1218781033556070400""","""ESPN""",espn,Organisation,Sports,['#UFC246'],1,[],0,11241,1615,Image added,-,2020-01-19,06:23:36
"""1218779721380564992""","""ESPN""",espn,Organisation,Sports,['#UFC246'],1,[],0,28764,2872,-,Video added,2020-01-19,06:18:24
"""1218773800755646466""","""ESPN MMA""",espnmma,Organisation,Sports,['#UFC246'],1,['@Cowboycerrone'],1,9652,698,-,Video added,2020-01-19,05:54:52
"""1218772290147618817""","""ESPN MMA""",espnmma,Organisation,Sports,['#UFC246'],1,['@TheNotoriousMMA'],1,26483,3454,-,Video added,2020-01-19,05:48:52
