Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220114257200787461""","""Coach""",coach,Female,Entertainment,"['#CoachSS20', '#JLo', '#CoachxJLo', '#CoachNY']",4,"['@JLo.', '@highlinenyc', '@edgenyc', '@jasonbergh.']",4,601,104,-,Video added,2020-01-22,22:41:22
"""1220039004961284096""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,[],0,1453,142,-,-,2020-01-22,17:42:20
"""1220014088228687872""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,[],0,3971,348,-,-,2020-01-22,16:03:20
"""1219728261233639425""","""Jennifer Lopez""",jlo,Female,Entertainment,['#NiyamaSol'],1,[],0,2071,156,Image added,-,2020-01-21,21:07:33
"""1219727439254913031""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,['@BarbraStreisand'],1,6935,432,-,-,2020-01-21,21:04:17
"""1219654387427106816""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#CoachSS20', '#CoachNY']",2,['@Coach.'],1,7187,542,Image added,-,2020-01-21,16:14:00
"""1219654387427106816""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#CoachSS20', '#CoachNY']",2,['@Coach.'],1,7187,542,Image added,-,2020-01-21,16:14:00
"""1219107852171632640""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#HustlersMovie!', '#SAGawards']",2,"['@SAGawards', '@AROD', '@egt239']",3,14427,996,Image added,-,2020-01-20,04:02:16
"""1219107852171632640""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#HustlersMovie!', '#SAGawards']",2,"['@SAGawards', '@AROD', '@egt239']",3,14427,996,Image added,-,2020-01-20,04:02:16
"""1219107852171632640""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#HustlersMovie!', '#SAGawards']",2,"['@SAGawards', '@AROD', '@egt239']",3,14427,996,Image added,-,2020-01-20,04:02:16
"""1219107852171632640""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#HustlersMovie!', '#SAGawards']",2,"['@SAGawards', '@AROD', '@egt239']",3,14427,996,Image added,-,2020-01-20,04:02:16
"""1219035618698723329""","""Jennifer Lopez""",jlo,Female,Entertainment,['#JLoSuperBowlChallenge!!!'],1,[],0,7849,508,Image added,-,2020-01-19,23:15:14
"""1218292325132242945""","""Jennifer Lopez""",jlo,Female,Entertainment,['#GoodTrouble'],1,"['@GoodTrouble', '@egt239']",2,5000,404,-,Video added,2020-01-17,22:01:39
"""1217564224005771264""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,['@egt239'],1,1359,133,-,-,2020-01-15,21:48:26
"""1217552705562038272""","""Jennifer Lopez""",jlo,Female,Entertainment,['#GoodTrouble'],1,"['@GoodTrouble', '@FreeformTV.']",2,3376,290,-,Video added,2020-01-15,21:02:40
"""1217548794553872389""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,[],0,3972,375,-,-,2020-01-15,20:47:08
"""1217495276455366657""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,[],0,14635,556,Image added,-,2020-01-15,17:14:28
"""1217059151047614465""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,['@VanityFair'],1,214,19,-,-,2020-01-14,12:21:28
"""1217056952334708740""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VFHollywood'],1,['@VanityFair’s'],1,8495,904,Image added,-,2020-01-14,12:12:43
"""1217056952334708740""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VFHollywood'],1,['@VanityFair’s'],1,8495,904,Image added,-,2020-01-14,12:12:43
"""1217056952334708740""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VFHollywood'],1,['@VanityFair’s'],1,8495,904,Image added,-,2020-01-14,12:12:43
"""1216560706197188608""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#PhoebeWallerBridge!', '#CriticsChoiceAwards""']",2,['@fleabag!'],1,8693,507,-,-,2020-01-13,03:20:49
"""1216421011089960961""","""Jennifer Lopez""",jlo,Female,Entertainment,['#JLoSuperBowlChallenge'],1,[],0,4184,392,-,-,2020-01-12,18:05:43
"""1216247750452371456""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#LAFCA', '#HustlersMovie']",2,['@LAFilmCritics'],1,18142,1021,Image added,-,2020-01-12,06:37:15
"""1216247750452371456""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#LAFCA', '#HustlersMovie']",2,['@LAFilmCritics'],1,18142,1021,Image added,-,2020-01-12,06:37:15
"""1216103038978600961""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,[],0,5496,383,-,-,2020-01-11,21:02:13
"""1216062098867798016""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VersaceSS20'],1,['@Versace'],1,24919,2089,Image added,-,2020-01-11,18:19:32
"""1216062098867798016""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VersaceSS20'],1,['@Versace'],1,24919,2089,Image added,-,2020-01-11,18:19:32
"""1216062098867798016""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VersaceSS20'],1,['@Versace'],1,24919,2089,Image added,-,2020-01-11,18:19:32
"""1216062098867798016""","""Jennifer Lopez""",jlo,Female,Entertainment,['#VersaceSS20'],1,['@Versace'],1,24919,2089,Image added,-,2020-01-11,18:19:32
"""1215697158189604865""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#Ramona""']",1,[],0,1048,126,-,-,2020-01-10,18:09:23
"""1215697156943773696""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,[],0,1033,124,-,-,2020-01-10,18:09:23
"""1215697153978458112""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#HustlersMovie,']",1,[],0,8490,593,Image added,-,2020-01-10,18:09:22
"""1215570762784026624""","""British Vogue""",britishvogue,Female,Entertainment,[],0,"['@CharlizeAfrica,', '@CynthiaEriVo,', '@Florence_Pugh,', '@JLo']",4,1092,126,-,-,2020-01-10,09:47:08
"""1215480559268270081""","""Hollywood Critics Association""",hcacritics,Female,Entertainment,"['#HCA', '#HCAAwards']",2,[],0,1409,224,Image added,-,2020-01-10,03:48:42
"""1214616166871838722""","""Jennifer Lopez""",jlo,Female,Entertainment,['#PuertoRicoStrong'],1,[],0,2608,399,-,-,2020-01-07,18:33:55
"""1214616029151801344""","""Jennifer Lopez""",jlo,Female,Entertainment,['#PuertoRicoStrong'],1,[],0,4869,631,-,-,2020-01-07,18:33:22
"""1214320406687109127""","""Jennifer Lopez""",jlo,Female,Entertainment,['#alexappreciationpost'],1,['@StevenGomillion'],1,12962,557,Image added,-,2020-01-06,22:58:40
"""1214015515640791040""","""Jennifer Lopez""",jlo,Female,Entertainment,[],0,"['@AROD', '@egt239', '@lorenescafaria', '@ScottBarnes68', '@MARIELhaenn', '@robzangardi', '@ChrisAppleton1', '@TomBachik']",8,16256,998,Image added,-,2020-01-06,02:47:08
"""1213169184722411520""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#BestPerformance', '#HustlersMovie']",2,['@WMag’s'],1,5338,427,Image added,-,2020-01-03,18:44:07
"""1213169184722411520""","""Jennifer Lopez""",jlo,Female,Entertainment,"['#BestPerformance', '#HustlersMovie']",2,['@WMag’s'],1,5338,427,Image added,-,2020-01-03,18:44:07
