Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1218185336603529217""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,[],0,5758,553,Image added,-,2020-01-17,14:56:31
"""1212492165844291585""","""Timbaland""",timbaland,Male,Music,[],0,[],0,21507,2121,Image added,-,2020-01-01,21:53:54
"""1211717959334408194""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@TigerWoods'],1,3130,259,-,-,2019-12-30,18:37:28
"""1209512769491554305""","""Complex""",complex,Male,Music,['#TheLastDance'],1,[],0,1583,268,-,Video added,2019-12-24,16:34:50
"""1194993347930345474""","""Justin Timberlake""",jtimberlake,Male,Music,['#TrollsWorldTour'],1,[],0,4480,616,Image added,-,2019-11-14,14:59:50
"""1194646104626909185""","""DreamWorks Trolls""",trolls,Male,Music,"['#TrollsWorldTour', '#DreamWorks']",2,[],0,1800,423,-,Video added,2019-11-13,16:00:01
"""1193197208461627404""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,[],0,6290,555,-,-,2019-11-09,16:02:37
"""1187860402148757510""","""Levi's®""",levis,Male,Music,[],0,"['@jtimberlake,', '@StaxAcademy']",2,728,112,Image added,-,2019-10-25,22:36:03
"""1186717435606392832""","""Levi's®""",levis,Male,Music,[],0,"['@jtimberlake,', '@StaxAcademy']",2,1236,214,-,Video added,2019-10-22,18:54:19
"""1179759810935427074""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,[],0,22296,1462,-,Video added,2019-10-03,14:07:12
"""1179544645275209728""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,[],0,6174,356,-,-,2019-10-02,23:52:12
"""1178719464470335489""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@taykeith'],1,498,65,-,-,2019-09-30,17:13:14
"""1178023569642725376""","""The European Tour""",europeantour,Male,Music,['#DunhillLinks'],1,['@jtimberlake'],1,2852,233,-,Video added,2019-09-28,19:08:00
"""1178010321757364225""","""Justin ROSE""",justinrose99,Male,Music,[],0,"['@jtimberlake', '@dunhilllinks']",2,2636,149,Image added,-,2019-09-28,18:15:21
"""1178010321757364225""","""Justin ROSE""",justinrose99,Male,Music,[],0,"['@jtimberlake', '@dunhilllinks']",2,2636,149,Image added,-,2019-09-28,18:15:21
"""1177993184015720457""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@TheIrishmanFilm'],1,6673,627,-,Video added,2019-09-28,17:07:15
"""1177205577564508165""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,[],0,4461,306,-,-,2019-09-26,12:57:35
"""1175098054304829440""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@PilgrimageFest'],1,2025,236,Image added,-,2019-09-20,17:23:03
"""1173411054468173824""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@JessicaBiel'],1,17503,819,-,Video added,2019-09-16,01:39:30
"""1172119901844189184""","""Justin Timberlake""",jtimberlake,Male,Music,['#HurricaneDorian'],1,[],0,2344,818,Image added,-,2019-09-12,12:08:56
"""1172113656169095168""","""Tiger Woods""",tigerwoods,Male,Music,"['#NEXUSLuxuryCollection,']",1,"['@jtimberlake,', '@rbc', '@albanybahamas']",3,4311,603,-,-,2019-09-12,11:44:07
"""1172113463667298304""","""RBC""",rbc,Male,Music,[],0,[],0,602,140,Image added,-,2019-09-12,11:43:21
"""1171115827933974528""","""Billboard Charts""",billboardcharts,Male,Music,['#Hot100'],1,['@jtimberlake’s'],1,2927,446,-,-,2019-09-09,17:39:06
"""1170090633287086080""","""Jessica Biel""",jessicabiel,Male,Music,[],0,"['@limetownstories…', '@FacebookWatch']",2,1535,214,-,Video added,2019-09-06,21:45:20
"""1168197398570635265""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@McIlroyRory'],1,4160,311,-,-,2019-09-01,16:22:18
"""1164565125665136640""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,[],0,6513,697,-,Video added,2019-08-22,15:48:57
"""1162133800849219585""","""Justin Timberlake""",jtimberlake,Male,Music,[],0,['@lizzo'],1,58341,4900,-,Video added,2019-08-15,22:47:44
