Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1219799180723359744""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,4037,503,Image added,-,2020-01-22,01:49:22
"""1219799180723359744""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,4037,503,Image added,-,2020-01-22,01:49:22
"""1219799180723359744""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,4037,503,Image added,-,2020-01-22,01:49:22
"""1219701567961600001""","""KATY PERRY""",katyperry,Female,Music,[],0,"['@AMERICANIDOL🎤', '@ABCNetwork!', '@lionelrichie', '@LukeBryanOnline', '@ryanseacrest', '@mrBobbyBones']",6,7558,1029,Image added,-,2020-01-21,19:21:29
"""1219169657250168832""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,79726,18934,-,-,2020-01-20,08:07:52
"""1217216435782422530""","""KATY PERRY""",katyperry,Female,Music,"['#ProtectYourEnergy2020', '#ShoesdayTuesday']",2,['@katyperrycollections'],1,7246,802,Image added,-,2020-01-14,22:46:27
"""1217216435782422530""","""KATY PERRY""",katyperry,Female,Music,"['#ProtectYourEnergy2020', '#ShoesdayTuesday']",2,['@katyperrycollections'],1,7246,802,Image added,-,2020-01-14,22:46:27
"""1217216435782422530""","""KATY PERRY""",katyperry,Female,Music,"['#ProtectYourEnergy2020', '#ShoesdayTuesday']",2,['@katyperrycollections'],1,7246,802,Image added,-,2020-01-14,22:46:27
"""1216834918241583104""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,7453,735,-,-,2020-01-13,21:30:26
"""1216832663828320256""","""KATY PERRY""",katyperry,Female,Music,[],0,['@BarbAndStar'],1,7430,838,-,-,2020-01-13,21:21:29
"""1216654594887028737""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,8605,903,-,-,2020-01-13,09:33:54
"""1215692633978195969""","""KATY PERRY""",katyperry,Female,Music,['#FBF'],1,"['@VOGUEIndia', '@GregSwalesart...']",2,5620,780,-,-,2020-01-10,17:51:25
"""1215485210487185408""","""KATY PERRY""",katyperry,Female,Music,[],0,"['@cynthialovely', '@birdsofpreywb']",2,8328,915,-,-,2020-01-10,04:07:11
"""1214707449573167104""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,7458,649,Image added,-,2020-01-08,00:36:38
"""1214707449573167104""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,7458,649,Image added,-,2020-01-08,00:36:38
"""1214707449573167104""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,7458,649,Image added,-,2020-01-08,00:36:38
"""1214630642693988352""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3910,504,-,-,2020-01-07,19:31:26
"""1214629675802267648""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3620,467,-,-,2020-01-07,19:27:36
"""1214628947914215424""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3291,461,-,-,2020-01-07,19:24:42
"""1214628211235049472""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3669,477,-,-,2020-01-07,19:21:46
"""1214626976528515072""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3976,509,-,-,2020-01-07,19:16:52
"""1214625664923578368""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3886,534,-,-,2020-01-07,19:11:39
"""1214624240772603904""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,4623,635,-,-,2020-01-07,19:06:00
"""1214451433652621312""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,67002,16714,-,-,2020-01-07,07:39:19
"""1212636134259470336""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,5293,695,-,-,2020-01-02,07:25:58
"""1212635099143036928""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,4563,597,-,-,2020-01-02,07:21:51
"""1212634166493360128""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,3839,536,-,-,2020-01-02,07:18:09
"""1212633150762967040""","""KATY PERRY""",katyperry,Female,Music,[],0,['@vogueindia'],1,5767,752,-,-,2020-01-02,07:14:07
"""1212268323691532289""","""KATY PERRY""",katyperry,Female,Music,['#2020'],1,['@'],1,10329,921,-,-,2020-01-01,07:04:25
"""1212140844687380480""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,6713,632,Image added,-,2019-12-31,22:37:52
"""1212140844687380480""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,6713,632,Image added,-,2019-12-31,22:37:52
"""1212140844687380480""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,6713,632,Image added,-,2019-12-31,22:37:52
"""1211750684246175744""","""KATY PERRY""",katyperry,Female,Music,"['#CozyLittleChristmas,']",1,['@cynthialovely🎙https://t.co/LRJFVAe2tM'],1,8775,891,-,Video added,2019-12-30,20:47:31
"""1211748759639445504""","""KATY PERRY""",katyperry,Female,Music,[],0,['@AdamSandler'],1,7009,730,-,-,2019-12-30,20:39:52
"""1211153285425455104""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,8703,833,-,-,2019-12-29,05:13:40
"""1210028733064564742""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,8220,878,-,Video added,2019-12-26,02:45:05
"""1209645021659455488""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmas'],1,[],0,6220,696,-,Video added,2019-12-25,01:20:21
"""1209591535710298112""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,6990,948,-,-,2019-12-24,21:47:49
"""1209590300571656192""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,11356,1210,-,-,2019-12-24,21:42:55
"""1209214991993171968""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmas'],1,[],0,11999,1369,Image added,-,2019-12-23,20:51:34
"""1208814280507674624""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmas'],1,[],0,5100,607,-,Video added,2019-12-22,18:19:17
"""1208594916302999552""","""KATY PERRY""",katyperry,Female,Music,[],0,['@VOGUEIndia'],1,26416,4027,-,Video added,2019-12-22,03:47:37
"""1208446128540143616""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,5115,598,-,Video added,2019-12-21,17:56:23
"""1208121469315665921""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmas'],1,[],0,4347,548,-,Video added,2019-12-20,20:26:18
"""1208108183522349057""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,5127,667,-,-,2019-12-20,19:33:31
"""1207903501923209216""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,6687,809,-,-,2019-12-20,06:00:11
"""1207824521245249536""","""KATY PERRY""",katyperry,Female,Music,['#iHeartOnCW'],1,"['@iHeartRadio', '@TheCW']",2,12038,1706,-,Video added,2019-12-20,00:46:20
"""1207775494868893696""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmas'],1,[],0,4179,516,-,Video added,2019-12-19,21:31:32
"""1207599860959961089""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,22636,3026,-,-,2019-12-19,09:53:37
"""1207365362796204033""","""KATY PERRY""",katyperry,Female,Music,['#HarleysInHawaii'],1,[],0,4398,586,-,Video added,2019-12-18,18:21:48
"""1207079698246684672""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,5120,578,Image added,-,2019-12-17,23:26:41
"""1207079698246684672""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,5120,578,Image added,-,2019-12-17,23:26:41
"""1207079698246684672""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,['@kpcollections'],1,5120,578,Image added,-,2019-12-17,23:26:41
"""1206987467699585024""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,4567,579,-,Video added,2019-12-17,17:20:11
"""1206727833365516289""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmas'],1,[],0,5408,663,-,Video added,2019-12-17,00:08:30
"""1206259535964323845""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,23208,2422,Image added,-,2019-12-15,17:07:39
"""1206152530633330688""","""KATY PERRY""",katyperry,Female,Music,[],0,['@'],1,3897,513,-,-,2019-12-15,10:02:27
"""1205906437387501571""","""KATY PERRY""",katyperry,Female,Music,[],0,['@'],1,4288,556,-,-,2019-12-14,17:44:33
"""1205898779259392002""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,5463,652,-,Video added,2019-12-14,17:14:08
"""1205803983333281794""","""KATY PERRY""",katyperry,Female,Music,[],0,['@'],1,5763,633,-,-,2019-12-14,10:57:27
"""1205535363512463361""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmasMusicVideo'],1,[],0,5341,828,-,-,2019-12-13,17:10:03
"""1205300103335968769""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmasMusicVideo'],1,[],0,4545,627,-,Video added,2019-12-13,01:35:12
"""1205284893518778368""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmasMusicVideo'],1,[],0,4815,688,-,Video added,2019-12-13,00:34:46
"""1205269822285594625""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmasMusicVideo'],1,[],0,4308,681,-,Video added,2019-12-12,23:34:53
"""1205256197340708864""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmasMusicVideo'],1,[],0,5285,708,-,Video added,2019-12-12,22:40:44
"""1204931737991516160""","""KATY PERRY""",katyperry,Female,Music,['#CozyLittleChristmasMusicVideo'],1,[],0,11561,1663,Image added,-,2019-12-12,01:11:27
"""1204874004412059648""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,4852,662,-,Video added,2019-12-11,21:22:02
"""1204663172797480960""","""KATY PERRY""",katyperry,Female,Music,['#JingleBall'],1,"['@1013kdwb’s', '@iheartradio', '@']",3,5043,685,-,-,2019-12-11,07:24:16
"""1204495806348181505""","""KATY PERRY""",katyperry,Female,Music,"['#shoesdaytuesday', '#katypursey']",2,['@kpcollections'],1,4769,605,Image added,-,2019-12-10,20:19:13
"""1204495806348181505""","""KATY PERRY""",katyperry,Female,Music,"['#shoesdaytuesday', '#katypursey']",2,['@kpcollections'],1,4769,605,Image added,-,2019-12-10,20:19:13
"""1204495806348181505""","""KATY PERRY""",katyperry,Female,Music,"['#shoesdaytuesday', '#katypursey']",2,['@kpcollections'],1,4769,605,Image added,-,2019-12-10,20:19:13
"""1204495806348181505""","""KATY PERRY""",katyperry,Female,Music,"['#shoesdaytuesday', '#katypursey']",2,['@kpcollections'],1,4769,605,Image added,-,2019-12-10,20:19:13
"""1204482828320161793""","""KATY PERRY""",katyperry,Female,Music,['#ShoesdayTuesday'],1,[],0,4651,628,-,Video added,2019-12-10,19:27:39
"""1204221681713197057""","""KATY PERRY""",katyperry,Female,Music,[],0,['@'],1,5239,679,-,-,2019-12-10,02:09:56
"""1204153400658513920""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,5286,706,-,Video added,2019-12-09,21:38:37
"""1204085802289909767""","""KATY PERRY""",katyperry,Female,Music,['#2019ArtistWrapped'],1,[],0,23543,3365,Image added,-,2019-12-09,17:10:00
"""1203963318076993536""","""KATY PERRY""",katyperry,Female,Music,['#alineachicago'],1,['@'],1,4225,547,-,-,2019-12-09,09:03:18
"""1203794341770063872""","""KATY PERRY""",katyperry,Female,Music,[],0,[],0,5624,732,-,Video added,2019-12-08,21:51:51
