Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220003863425478658""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,202723,14976,Image added,-,2020-01-22,15:22:42
"""1219746621396701184""","""Kylie Jenner""",kyliejenner,Female,Other,[],0,[],0,4288,355,-,-,2020-01-21,22:20:30
"""1219718526073802752""","""Nordstrom""",nordstrom,Female,Other,[],0,"['@KimKardashian,', '@skims']",2,2520,180,Image added,-,2020-01-21,20:28:52
"""1219715780817772544""","""SKIMS""",skims,Female,Other,[],0,"['@Nordstrom,']",1,2310,167,-,Video added,2020-01-21,20:17:58
"""1219666190743638017""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,['@skims'],1,2604,120,-,Video added,2020-01-21,17:00:54
"""1219617435268988929""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,146772,10435,Image added,-,2020-01-21,13:47:10
"""1219617435268988929""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,146772,10435,Image added,-,2020-01-21,13:47:10
"""1219508987021811713""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,4283,160,-,-,2020-01-21,06:36:14
"""1219507779255169030""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,['@skims'],1,7953,159,-,-,2020-01-21,06:31:26
"""1219394267346604035""","""SKIMS""",skims,Female,Other,['#VanessaBeecroft'],1,[],0,981,51,Image added,-,2020-01-20,23:00:23
"""1219288722585214976""","""KKW BEAUTY""",kkwbeauty,Female,Other,['#CelestialSkies'],1,['@kimkardashian'],1,3639,166,Image added,-,2020-01-20,16:00:59
"""1219017422209982464""","""KKW BEAUTY""",kkwbeauty,Female,Other,['#CelestialSkies'],1,['@KimKardashian'],1,2390,137,Image added,-,2020-01-19,22:02:56
"""1218955651424014336""","""Kim Kardashian West""",kimkardashian,Female,Other,"['#KKWTheJusticeProject', '#Cinematters2020""']",2,"['@cinemattersjff', '@Oxygen!']",2,2384,199,-,-,2020-01-19,17:57:29
"""1218941503176728576""","""KKW FRAGRANCE""",kkwfragrance,Female,Other,['#KKWDIAMONDS'],1,['@kimkardashian'],1,1861,108,Image added,-,2020-01-19,17:01:15
"""1218748723410300929""","""Kim Kardashian West""",kimkardashian,Female,Other,['#KKWTheJusticeProject'],1,['@Oxygen'],1,83458,18068,-,Video added,2020-01-19,04:15:13
"""1218744892450426880""","""Oxygen""",oxygen,Female,Other,['#KKWTheJusticeProject'],1,"['@KimKardashian', '@Oxygen.']",2,5904,991,-,Video added,2020-01-19,04:00:00
"""1218716891906068481""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,3316,123,-,-,2020-01-19,02:08:44
"""1218677111021436928""","""TheWrap""",thewrap,Female,Other,['#TCA20'],1,"['@KimKardashian', ""@Oxygen's""]",2,1382,154,-,-,2020-01-18,23:30:39
"""1218347715882438656""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,126021,8083,Image added,-,2020-01-18,01:41:45
"""1218347715882438656""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,126021,8083,Image added,-,2020-01-18,01:41:45
"""1218347715882438656""","""Kim Kardashian West""",kimkardashian,Female,Other,[],0,[],0,126021,8083,Image added,-,2020-01-18,01:41:45
"""1218323518196084736""","""Kim Kardashian West""",kimkardashian,Female,Other,['#KKWTheJusticeProject'],1,['@Oxygen’s'],1,11204,957,-,Video added,2020-01-18,00:05:36
"""1218292098476257280""","""REPRESENT JUSTICE""",werepjustice,Female,Other,['#JustMercy'],1,"['@KanyeWest', '@KimKardashian']",2,648,121,Image added,-,2020-01-17,22:00:45
