Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220170944137826304""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,28509,9326,-,Video added,2020-01-23,02:26:37
"""1218970667070251010""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,38673,9947,-,-,2020-01-19,18:57:09
"""1216931193821724673""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,2367,574,-,-,2020-01-14,03:53:00
"""1216782663320834048""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@espn'],1,6928,1219,-,Video added,2020-01-13,18:02:48
"""1216486984123895808""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,42681,10421,-,-,2020-01-12,22:27:52
"""1215299170589868033""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,['#TIDALXDelano'],1,"['@TIDAL', '@sbeCollection']",2,1546,259,Image added,-,2020-01-09,15:47:56
"""1211400275451363334""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,['#YMAPAA'],1,[],0,3982,524,-,-,2019-12-29,21:35:07
"""1210995723485040640""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,25815,5528,-,-,2019-12-28,18:47:34
"""1209294556065337345""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,20732,3749,-,-,2019-12-24,02:07:44
"""1209053228656025601""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,18652,4116,-,-,2019-12-23,10:08:47
"""1208213206507737088""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,2012,341,Image added,-,2019-12-21,02:30:50
"""1208103492268769280""","""lil TJAY""",liltjay,Male,Music,[],0,['@LilTunechi”'],1,6133,1490,-,Video added,2019-12-20,19:14:52
"""1207053405031714816""","""Complex Music""",complexmusic,Male,Music,[],0,"[""@LilTunechi's"", ""@ethika's""]",2,1452,424,Image added,-,2019-12-17,21:42:12
"""1206277382463619072""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,9149,1560,-,-,2019-12-15,18:18:34
"""1205525573826727936""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,2386,318,Image added,-,2019-12-13,16:31:09
"""1205292122276028418""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@originalbumbu'],1,17457,4587,-,Video added,2019-12-13,01:03:29
"""1205275325296304129""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,"['#ProBowlVote‼️', '#YMAPAA', '#DarrenWaller', '#JasonMcCourty', '#DevinMcCourty']",5,"['@MattBreida', '@Boutdat_23', '@DedeTHEGreat11', '@MecoleHardman4', '@DennisDaley74', '@LaneJohnson65', '@68Incognito', '@1j_reed', '@QuinnenWilliams', '@BamBamDavis51', '@DreBaker1_', '@McCourtyTwins', '@e_harris_31']",13,995,392,Image added,-,2019-12-12,23:56:45
"""1203671774359101440""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,9225,1588,-,-,2019-12-08,13:44:48
"""1202343521719586816""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,9206,1006,-,-,2019-12-04,21:46:48
"""1201372310814576641""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,"['#thatgkua', '#myweed']",2,['@gkuaofficial'],1,4460,686,Image added,-,2019-12-02,05:27:33
"""1201244349801082881""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,10309,1539,-,-,2019-12-01,20:59:05
"""1200095933003960321""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,6864,1300,-,-,2019-11-28,16:55:41
"""1199763681371774976""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,63381,21439,-,-,2019-11-27,18:55:26
"""1198640550615900160""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,13963,2970,-,-,2019-11-24,16:32:31
"""1198436153571119104""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,3195,449,Image added,-,2019-11-24,03:00:19
"""1197901336555200512""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@undisputed'],1,3263,385,-,-,2019-11-22,15:35:09
"""1196847998015361024""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@originalbumbu'],1,5813,1497,-,Video added,2019-11-19,17:49:33
"""1195348655030423552""","""nick wright""",getnickwright,Male,Music,[],0,['@LilTunechi'],1,3636,281,-,-,2019-11-15,14:31:42
"""1195346219322806272""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@getnickwright'],1,683,82,-,-,2019-11-15,14:22:01
"""1194986790748377094""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,[],0,7576,1097,-,-,2019-11-14,14:33:47
"""1194976835139964929""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@getnickwright'],1,1003,140,-,-,2019-11-14,13:54:13
"""1194360992593002499""","""Young Money""",youngmoneysite,Male,Music,[],0,['@YmPoppyh'],1,1480,192,-,Video added,2019-11-12,21:07:05
"""1194345856452964353""","""Lil Wayne WEEZY F""",liltunechi,Male,Music,[],0,['@Realrclark25'],1,1583,182,-,-,2019-11-12,20:06:56
