Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1219648605067173889""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,21637,1517,Image added,-,2020-01-21,15:51:02
"""1219648605067173889""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,21637,1517,Image added,-,2020-01-21,15:51:02
"""1218671432189632514""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,9337,952,-,-,2020-01-18,23:08:05
"""1218264038758502401""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,['@jonasbrothers'],1,135970,13990,Image added,-,2020-01-17,20:09:15
"""1218225041864675328""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,3598,437,-,-,2020-01-17,17:34:18
"""1218216622982197248""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,['@chriscornell'],1,12026,1617,-,Video added,2020-01-17,17:00:50
"""1218019440735862784""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,['@majidjordan'],1,30642,2859,Image added,-,2020-01-17,03:57:19
"""1218019440735862784""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,['@majidjordan'],1,30642,2859,Image added,-,2020-01-17,03:57:19
"""1217856598078394368""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,['@GovBallNYC'],1,3836,594,Image added,-,2020-01-16,17:10:14
"""1217852030447800320""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,"['@joerogan', '@madflavor']",2,9727,1149,-,Video added,2020-01-16,16:52:05
"""1217522759661547520""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,37115,2943,Image added,-,2020-01-15,19:03:41
"""1217522759661547520""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,37115,2943,Image added,-,2020-01-15,19:03:41
"""1216814345243353088""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,141099,16844,-,-,2020-01-13,20:08:41
"""1216046146008776704""","""BRIT Awards""",brits,Female,Music,['#BRITs'],1,"['@Mabel', '@MarkRonson', '@MileyCyrus', '@samsmith', '@Normani', '@stormzy', '@IamTomWalker']",7,4887,1336,-,Video added,2020-01-11,17:16:08
"""1215831194224300033""","""Miley Ray Cyrus""",mileycyrus,Female,Music,"['#NameAMoreIconicTrio', '#IWillWait']",2,"['@BillyIdol', '@thisiswatt']",2,10582,1205,Image added,-,2020-01-11,03:02:00
"""1215332457404338178""","""BottleRock Napa""",bottlerocknapa,Female,Music,['#BottleRock'],1,[],0,1397,202,Image added,-,2020-01-09,18:00:12
"""1215319809317068801""","""anna""",iovingmiiey,Female,Music,[],0,['@MileyCyrus'],1,720,80,Image added,-,2020-01-09,17:09:56
"""1215319482119356416""","""justn""",justnlopez,Female,Music,[],0,['@MileyCyrus'],1,1239,122,Image added,-,2020-01-09,17:08:38
"""1215319482119356416""","""justn""",justnlopez,Female,Music,[],0,['@MileyCyrus'],1,1239,122,Image added,-,2020-01-09,17:08:38
"""1215317647832711168""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,3619,413,-,-,2020-01-09,17:01:21
"""1214913647593566208""","""iHeartRadio""",iheartradio,Female,Music,"['#BlackDog', '#BestCoverSong', '#iHeartAwards']",3,['@MileyCyrus'],1,2946,934,Image added,-,2020-01-08,14:16:00
"""1214614858211049472""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,4898,520,-,-,2020-01-07,18:28:43
"""1214582255516962816""","""Official Team Miley""",mileyofficial,Female,Music,[],0,[],0,2429,307,-,-,2020-01-07,16:19:10
"""1214582083319783424""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,['@Bonnaroo'],1,9111,1089,Image added,-,2020-01-07,16:18:29
"""1214352135220908032""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,16718,1368,Image added,-,2020-01-07,01:04:45
"""1214333736776454144""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,134782,12433,Image added,-,2020-01-06,23:51:38
"""1214333736776454144""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,134782,12433,Image added,-,2020-01-06,23:51:38
"""1214333736776454144""","""Miley Ray Cyrus""",mileycyrus,Female,Music,[],0,[],0,134782,12433,Image added,-,2020-01-06,23:51:38
