Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220191949010980865""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@amyschumer'],1,688,62,-,Video added,2020-01-23,03:50:05
"""1219620561086631937""","""Oprah's Book Club""",oprahsbookclub,Female,Entertainment,"['#ReadWithUs:', '#AmericanDirt']",2,"['@jeaninecummins.', '@applebooks', '@Flatironbooks', '@Oprah']",4,803,134,-,Video added,2020-01-21,13:59:35
"""1219618754742693888""","""CBS This Morning""",cbsthismorning,Female,Entertainment,['#ReadWithUs'],1,"['@jeaninecummins', '@Oprah', '@CBSThisMorning', '@oprahsbookclub']",4,491,103,-,Video added,2020-01-21,13:52:25
"""1219618533421854720""","""Oprah Winfrey""",oprah,Female,Entertainment,"['#ReadWithUs""']",1,['@oprahsbookclub'],1,297,26,-,-,2020-01-21,13:51:32
"""1219618257411493890""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,[],0,575,58,-,-,2020-01-21,13:50:26
"""1219618182417260546""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,"['@oprahsbookclub', '@jeaninecummins.']",2,2146,192,Image added,-,2020-01-21,13:50:08
"""1219039993001390081""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,['@AppleTV'],1,463,46,-,-,2020-01-19,23:32:37
"""1219039749014507520""","""Oprah Winfrey""",oprah,Female,Entertainment,['#ReadWithUs'],1,['@oprahsbookclub'],1,4985,283,-,Video added,2020-01-19,23:31:39
"""1218927057268281344""","""Oprah Winfrey""",oprah,Female,Entertainment,['#oprahs2020visiontour'],1,[],0,3240,216,-,Video added,2020-01-19,16:03:51
"""1218662574318915584""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@amyschumer'],1,1492,69,-,Video added,2020-01-18,22:32:54
"""1218662053742772225""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@amyschumer'],1,5056,235,-,Video added,2020-01-18,22:30:49
"""1218532226708709376""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,[],0,983,71,-,-,2020-01-18,13:54:56
"""1218274740697214977""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,[],0,8354,669,-,Video added,2020-01-17,20:51:47
"""1217874053299605505""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,[],0,888,82,-,Video added,2020-01-16,18:19:35
"""1217873744376496129""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@amyschumer'],1,2362,180,-,Video added,2020-01-16,18:18:22
"""1217864966792863746""","""Ava DuVernay""",ava,Female,Entertainment,[],0,['@OWNTV'],1,3276,602,-,Video added,2020-01-16,17:43:29
"""1217628312945688576""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@ww'],1,1197,121,-,Video added,2020-01-16,02:03:06
"""1216847081094041601""","""Rich Cruse""",richonown,Female,Entertainment,['#Oprahs2020VisionTour'],1,"['@Oprah', '@TamronHallShow', '@tamronhall']",3,999,81,Image added,-,2020-01-13,22:18:46
"""1216446687398584320""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,[],0,1615,100,-,-,2020-01-12,19:47:45
"""1216419533587668992""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,[],0,8861,573,-,Video added,2020-01-12,17:59:51
"""1216143086633484290""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@Vikings!'],1,3244,193,-,Video added,2020-01-11,23:41:21
"""1215754359906217986""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,[],0,14286,972,-,Video added,2020-01-10,21:56:41
"""1215273839145443329""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,[],0,1726,153,-,Video added,2020-01-09,14:07:16
"""1215107872297832449""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@ladygaga'],1,3415,596,-,-,2020-01-09,03:07:47
"""1214358263665438720""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@ww_us'],1,1997,164,-,Video added,2020-01-07,01:29:06
"""1214181115856138241""","""CBS This Morning""",cbsthismorning,Female,Entertainment,['#Oprahs2020VisionTour'],1,"['@Oprah', '@GayleKing', '@DavidBegnaud', '@ladygaga!']",4,950,188,-,Video added,2020-01-06,13:45:11
"""1213867468562796544""","""Oprah Winfrey""",oprah,Female,Entertainment,"['#BigBiteOfBravery""']",1,['@ladygaga'],1,1552,235,-,-,2020-01-05,16:58:51
"""1213857314178060288""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@ladygaga:'],1,16795,2611,-,Video added,2020-01-05,16:18:30
"""1213123852001333248""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,['@JennaBushHager!'],1,6608,378,-,Video added,2020-01-03,15:43:59
"""1212790087513255938""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour'],1,"['@ww_us', '@ladygaga']",2,4193,573,-,Video added,2020-01-02,17:37:44
"""1203888524107436032""","""Oprah Winfrey""",oprah,Female,Entertainment,"['#OWLAG,']",1,['@zozitunzi!'],1,59453,14754,-,-,2019-12-09,04:06:05
"""1203346725697736704""","""Oprah Winfrey""",oprah,Female,Entertainment,['#OWLAG'],1,[],0,12536,1042,Image added,-,2019-12-07,16:13:11
"""1202627214786879490""","""O The Oprah Magazine""",oprahmagazine,Female,Entertainment,[],0,"['@oprah', '@gayleking']",2,859,149,-,-,2019-12-05,16:34:06
"""1197153768674152448""","""Oprah Winfrey""",oprah,Female,Entertainment,['#Oprahs2020VisionTour:'],1,[],0,3791,575,-,Video added,2019-11-20,14:04:35
"""1195464695349727232""","""Oprah Winfrey""",oprah,Female,Entertainment,['#OWNForTheHoliday'],1,"['@OWNTV!', '@OWNtv']",2,2551,338,-,Video added,2019-11-15,22:12:48
"""1193206372554465281""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,"['@oprahmagazine’s', '@leighhaber', '@MichelleObama']",3,4679,578,-,Video added,2019-11-09,16:39:02
"""1192962520694349830""","""Oprah Winfrey""",oprah,Female,Entertainment,[],0,"['@ladygaga', '@hauslabs…and', '@oprahmagazine']",3,2019,307,-,-,2019-11-09,00:30:03
"""1192883810909741056""","""Oprah Winfrey""",oprah,Female,Entertainment,['#OprahsFavoriteThings'],1,['@oprahmagazine'],1,1976,294,-,Video added,2019-11-08,19:17:17
"""1192809341604286465""","""O The Oprah Magazine""",oprahmagazine,Female,Entertainment,['#OprahsFavoriteThings'],1,['@oprah'],1,1076,256,-,-,2019-11-08,14:21:23
"""1192661644435963904""","""Oprah Winfrey""",oprah,Female,Entertainment,['#TinaBroadway'],1,['@adriennelwarren'],1,1297,135,-,Video added,2019-11-08,04:34:29
"""1192660863376936960""","""Oprah Winfrey""",oprah,Female,Entertainment,['#TinaBroadway'],1,[],0,1645,197,-,Video added,2019-11-08,04:31:23
"""1192660207517732865""","""Oprah Winfrey""",oprah,Female,Entertainment,['#TinaBroadway'],1,"['@LoveTinaTurner.', '@adriennelwarren!', '@TinaBroadway']",3,4531,373,Image added,-,2019-11-08,04:28:46
"""1192564087772864514""","""Oprah Winfrey""",oprah,Female,Entertainment,['#ReadWithUs'],1,['@oprahsbookclub'],1,6394,351,-,Video added,2019-11-07,22:06:49
"""1192448739853684736""","""CBS This Morning""",cbsthismorning,Female,Entertainment,['#OliveAgain'],1,"['@oprahsbookclub', '@Oprah', '@LizStrout']",3,351,67,-,Video added,2019-11-07,14:28:28
