Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220211174270128128""","""Selena Gomez""",selenagomez,Female,Entertainment,['#1'],1,[],0,29345,4282,Image added,-,2020-01-23,05:06:29
"""1220118821706420225""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,['@JoanzMarques'],1,1687,244,-,-,2020-01-22,22:59:30
"""1220089560433954816""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,66218,10312,Image added,-,2020-01-22,21:03:14
"""1219426990907740161""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,58540,6379,Image added,-,2020-01-21,01:10:25
"""1219053571670343680""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,['@echosmith'],1,50180,5337,-,-,2020-01-20,00:26:35
"""1218637645384863745""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,57223,6712,-,-,2020-01-18,20:53:50
"""1217972253507256320""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,['@target'],1,33282,3445,-,-,2020-01-17,00:49:48
"""1217845315807531008""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,56203,5143,Image added,-,2020-01-16,16:25:24
"""1217654537583906816""","""Selena Gomez""",selenagomez,Female,Entertainment,['#StreamRare'],1,[],0,103641,18613,-,-,2020-01-16,03:47:19
"""1217507905764655105""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,16189,2033,-,-,2020-01-15,18:04:39
"""1217494538144514048""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,50965,6680,-,Video added,2020-01-15,17:11:32
"""1217310410086338561""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,['@sofycarol24'],1,2042,198,-,-,2020-01-15,04:59:52
"""1217155283497054209""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,47444,4917,Image added,-,2020-01-14,18:43:27
"""1217130053487579137""","""Selena Gomez""",selenagomez,Female,Entertainment,['#shotoniphone'],1,[],0,60705,8440,-,Video added,2020-01-14,17:03:12
"""1216927036825976832""","""Selena Gomez""",selenagomez,Female,Entertainment,"['#Rare,']",1,['@FallonTonight!!'],1,56529,6767,Image added,-,2020-01-14,03:36:29
"""1216927036825976832""","""Selena Gomez""",selenagomez,Female,Entertainment,"['#Rare,']",1,['@FallonTonight!!'],1,56529,6767,Image added,-,2020-01-14,03:36:29
"""1216923170789183488""","""Selena Gomez""",selenagomez,Female,Entertainment,[],0,[],0,77569,8446,-,-,2020-01-14,03:21:07
