Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1239670332958674944""","""Taylor Swift""",taylorswift13,Female,Music,['#QuarantineCats'],1,[],0,142398,27242,Image added,-,2020-03-16,21:50:13
"""1237360590110294016""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,123611,17683,-,Video added,2020-03-10,12:52:08
"""1236339640656973825""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@AppleMusic'],1,85267,13064,-,-,2020-03-07,17:15:15
"""1235917883726852098""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,69057,11086,-,Video added,2020-03-06,13:19:20
"""1234937694121287684""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,152138,14762,-,-,2020-03-03,20:24:24
"""1233213342002618368""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,29469,2889,-,-,2020-02-28,02:12:27
"""1233213339607719936""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,63998,7998,Image added,-,2020-02-28,02:12:26
"""1233213339607719936""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,63998,7998,Image added,-,2020-02-28,02:12:26
"""1233213339607719936""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,63998,7998,Image added,-,2020-02-28,02:12:26
"""1233182854231863301""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,28848,2767,-,-,2020-02-28,00:11:18
"""1233182852092694533""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,81896,9009,Image added,-,2020-02-28,00:11:18
"""1233182852092694533""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,81896,9009,Image added,-,2020-02-28,00:11:18
"""1233182852092694533""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,81896,9009,Image added,-,2020-02-28,00:11:18
"""1233165419407642624""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,30812,3116,-,-,2020-02-27,23:02:01
"""1233165416643616768""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,61154,7804,Image added,-,2020-02-27,23:02:01
"""1233041739130294273""","""Taylor Swift""",taylorswift13,Female,Music,[],0,"['@Dominic_Toliver', '@tiktok_us']",2,4856,708,-,-,2020-02-27,14:50:34
"""1233041235557961730""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@iamlorengray'],1,22293,2398,-,-,2020-02-27,14:48:34
"""1233040727527088130""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@jaydenbartels'],1,7495,861,-,-,2020-02-27,14:46:32
"""1233034912883597312""","""Taylor Swift""",taylorswift13,Female,Music,[],0,[],0,45510,4981,-,-,2020-02-27,14:23:26
"""1233034818033569793""","""Taylor Swift""",taylorswift13,Female,Music,[],0,"['@jaydenbartels', '@dominic_toliver', '@iamlorengray']",3,36306,3910,-,-,2020-02-27,14:23:03
"""1233034629461860353""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@TheRock'],1,117253,19787,Image added,-,2020-02-27,14:22:18
"""1233034629461860353""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@TheRock'],1,117253,19787,Image added,-,2020-02-27,14:22:18
"""1233034629461860353""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@TheRock'],1,117253,19787,Image added,-,2020-02-27,14:22:18
"""1233034629461860353""","""Taylor Swift""",taylorswift13,Female,Music,[],0,['@TheRock'],1,117253,19787,Image added,-,2020-02-27,14:22:18
