Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220160518394015744""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,1221,83,-,-,2020-01-23,01:45:11
"""1220144486359027712""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#TheBachelor'],1,[],0,808,36,-,-,2020-01-23,00:41:29
"""1220108865972260866""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,8082,590,-,Video added,2020-01-22,22:19:56
"""1220093866948214784""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,['@NikkieTutorials'],1,7990,840,-,Video added,2020-01-22,21:20:20
"""1220072534076346369""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,1813,153,-,Video added,2020-01-22,19:55:34
"""1220055178855927808""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,"['@AndyLassner', '@JonasBrothers', '@NickJonas', '@JoeJonas', '@KevinJonas.']",5,1476,184,-,-,2020-01-22,18:46:36
"""1220039587956805632""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,"['@JonasBrothers', '@NickJonas', '@JoeJonas', '@KevinJonas']",4,9562,1344,-,Video added,2020-01-22,17:44:39
"""1219847252975292416""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#GameofGames""']",1,[],0,1540,59,-,-,2020-01-22,05:00:23
"""1219831162706612224""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#GameofGames!'],1,"['@GameofGamesApp!""']",1,918,60,-,-,2020-01-22,03:56:27
"""1219799422831185920""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#KnoworGo', '#GameofGames']",2,[],0,1703,94,-,Video added,2020-01-22,01:50:19
"""1219796020046917632""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#DangerWord', '#GameofGames""']",2,[],0,776,40,-,-,2020-01-22,01:36:48
"""1219793864686391296""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#DangerWord', '#GameofGames""']",2,"['@MarthaStewart,', '@StephenCurry30,', '@MelissaMcCarthy,', '@HodaKotb']",4,643,45,-,-,2020-01-22,01:28:14
"""1219793046679609344""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#BlindfoldedMusicalChairs', '#GameofGames""']",2,[],0,769,40,-,-,2020-01-22,01:24:59
"""1219792476350758912""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#BlindfoldedMusicalChairs', '#GameofGames""']",2,[],0,637,36,-,-,2020-01-22,01:22:43
"""1219790526234259456""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#RunawayBride', '#GameofGames""']",2,[],0,2113,81,-,-,2020-01-22,01:14:58
"""1219788435738656770""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#DizzyDash', '#GameofGames""']",2,['@MileyCyrus.'],1,829,70,-,-,2020-01-22,01:06:40
"""1219786416579739649""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#GameofGames.'],1,[],0,1228,80,-,-,2020-01-22,00:58:38
"""1219767866439786497""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,['@DaxShepard'],1,1061,68,-,-,2020-01-21,23:44:56
"""1219750657470558208""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,2028,148,-,Video added,2020-01-21,22:36:33
"""1219740289335578625""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,"['#GameofGames.""']",1,[],0,1715,82,-,-,2020-01-21,21:55:21
"""1219723581631811584""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,['@DaxShepard'],1,1554,83,-,Video added,2020-01-21,20:48:57
"""1219708255091355648""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#ThanksSponsor'],1,"['@Starbucks,']",1,1845,123,-,Video added,2020-01-21,19:48:03
"""1219691607185743872""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,1177,84,-,-,2020-01-21,18:41:54
"""1219680554548752384""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,2971,234,-,Video added,2020-01-21,17:57:59
"""1219428803954348032""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#GameofGames'],1,[],0,1558,92,-,Video added,2020-01-21,01:17:37
"""1219392376474460160""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,2260,133,-,-,2020-01-20,22:52:52
"""1219364462156636162""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#GameofGames'],1,[],0,2165,154,-,Video added,2020-01-20,21:01:57
"""1219349138480881664""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,['@MarkWahlberg'],1,2055,149,-,Video added,2020-01-20,20:01:03
"""1219333099927916547""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,5809,472,-,Video added,2020-01-20,18:57:19
"""1219316935847858177""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#MLKDay'],1,[],0,5677,964,Image added,-,2020-01-20,17:53:05
"""1219302077421121550""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#SpenserConfidential'],1,"['@MarkWahlberg.', '@NetflixFilm']",2,11166,1565,-,Video added,2020-01-20,16:54:03
"""1218949189989593089""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#HSMTMTS’'],1,['@JoshuaTBassett'],1,6366,585,-,-,2020-01-19,17:31:48
"""1218580055095275520""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#IvyParkXAdidas'],1,['@TheKalenAllen.'],1,6729,554,-,Video added,2020-01-18,17:04:59
"""1218360705629294592""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,2185,147,-,Video added,2020-01-18,02:33:22
"""1218343607679078401""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,"['@GameofGamesApp,']",1,1067,75,Image added,-,2020-01-18,01:25:26
"""1218335616804376576""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,"['@JaneFonda,', '@LilyTomlin']",2,3559,339,-,Video added,2020-01-18,00:53:41
"""1218321649721720832""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,"['@JaneFonda', '@LilyTomlin']",2,4592,412,-,Video added,2020-01-17,23:58:11
"""1218293168132640769""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,97399,2148,Image added,-,2020-01-17,22:05:00
"""1218293168132640769""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,[],0,97399,2148,Image added,-,2020-01-17,22:05:00
"""1218279876202987524""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,[],0,"['@IAmSteveHarvey!', ""@RealEugeneLevy's""]",2,2477,142,-,-,2020-01-17,21:12:11
"""1218263441447649280""","""Ellen DeGeneres""",theellenshow,Organisation,Entertainment,['#GraceandFrankie.'],1,"['@JaneFonda', '@LilyTomlin']",2,2486,211,-,Video added,2020-01-17,20:06:53
