Tweet Id,Name,Username,Gender,Vocation,Hashtags(#),Total #,Mentions(@),Total @,Likes,Retweets,Images,Videos,Date,Time
"""1220006487021576193""","""mhm.""",babushkabadgyal,Male,Music,"['#taylorgang""']",1,['@wizkhalifa'],1,355,39,-,-,2020-01-22,15:33:07
"""1220006481254408192""","""jas..💙""",jassbabyy_,Male,Music,"['#taylorgang', '#mcqueenteam""']",2,['@wizkhalifa'],1,91,6,-,-,2020-01-22,15:33:06
"""1220006329621733377""","""Wiz Khalifa""",wizkhalifa,Male,Music,"['#taylorgang', '#mcqueenteam']",2,[],0,1896,187,-,-,2020-01-22,15:32:30
"""1219996365121454081""","""Wiz Khalifa""",wizkhalifa,Male,Music,"['#taylorgang""']",1,[],0,26539,7345,-,-,2020-01-22,14:52:54
"""1219720267980627968""","""🦠""",trappdann,Male,Music,[],0,['@wizkhalifa'],1,1229,136,-,-,2020-01-21,20:35:47
"""1219719441157517312""","""Wiz Khalifa""",wizkhalifa,Male,Music,[],0,[],0,1895,154,-,-,2020-01-21,20:32:30
"""1219719383079104517""","""Gustavo""",kinggustavo1,Male,Music,[],0,['@wizkhalifa'],1,256,24,-,-,2020-01-21,20:32:16
"""1219718927254769665""","""Groovy Nilo""",groovynilo,Male,Music,[],0,['@wizkhalifa'],1,345,37,-,Video added,2020-01-21,20:30:28
"""1219718731632267264""","""Wiz Khalifa""",wizkhalifa,Male,Music,[],0,[],0,26683,7123,-,-,2020-01-21,20:29:41
"""1219717018200563715""","""iamMoody.""",sydneytenise,Male,Music,[],0,[],0,3613,609,-,-,2020-01-21,20:22:53
"""1219716684661039105""","""Zari🧪""",godlyenough,Male,Music,[],0,[],0,444,35,-,-,2020-01-21,20:21:33
"""1219425200854298624""","""Wiz Khalifa""",wizkhalifa,Male,Music,[],0,[],0,74660,18040,-,Video added,2020-01-21,01:03:18
"""1219370125138096129""","""Wiz Khalifa""",wizkhalifa,Male,Music,"['#mcqueenteam', '#taylorgang""']",2,['@McQueenVF'],1,760,57,-,-,2020-01-20,21:24:27
"""1219370117839982592""","""TAYLOR GANG""",taylorgang,Male,Music,[],0,"['@wizkhalifa', '@Audiomack']",2,708,74,-,Video added,2020-01-20,21:24:25
"""1219354582075133953""","""Wiz Khalifa""",wizkhalifa,Male,Music,[],0,[],0,71638,27711,-,-,2020-01-20,20:22:41
"""1219353278384766976""","""Wiz Khalifa""",wizkhalifa,Male,Music,[],0,[],0,14319,3300,-,-,2020-01-20,20:17:30
"""1218977154672680960""","""McQueenVF""",mcqueenvf,Male,Music,[],0,['@wizkhalifa'],1,1228,175,-,Video added,2020-01-19,19:22:55
"""1218741104616468480""","""Wiz Khalifa""",wizkhalifa,Male,Music,['#TikTok'],1,[],0,1014,80,-,-,2020-01-19,03:44:57
