Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,srbachchan,"""145125358""",Tweet,"""T 3418 -"" मोहब्बत त्याग की माँ है ; वो जहाँ जाती है , अपने बेटे को साथ लेके जाती है  "" ~ सुदर्शन https://t.co/TsP6r8G6mI""",Twitter Web App,398,7544,2020-01-22,20:19:36,Male,Entertainment
2,srbachchan,"""145125358""",Reply,"""@ashokmistry4545 G eve""",Twitter for iPhone,23,131,2020-01-22,14:49:47,Male,Entertainment
3,srbachchan,"""145125358""",Reply,"""@SwetaLoveAB Sahi""",Twitter for iPhone,22,106,2020-01-22,14:49:30,Male,Entertainment
4,srbachchan,"""145125358""",Reply,"""@prashantkawadia 💕😀""",Twitter for iPhone,13,31,2020-01-22,14:49:16,Male,Entertainment
5,srbachchan,"""145125358""",Reply,"""@walaalolylovely Smile""",Twitter for iPhone,14,27,2020-01-22,14:48:56,Male,Entertainment
6,srbachchan,"""145125358""",Tweet,"""T 3418 - My Next Film Line-up,

17 April Gulabo Sitaboo

8 May Jhund

17 July Chehre

जीवन चलने का नाम , चलते रहो सुबह शाम https://t.co/eIwOS2In40""",Twitter Web App,843,17949,2020-01-21,19:17:02,Male,Entertainment
7,srbachchan,"""145125358""",Tweet,"""T 3417- https://t.co/SwikKAfsJP
सर यह लिंक युज करीयेगा
यह कुछ बिटली लिंक है 🙏

पहले समझ में नहीं आया की ये 'बिटली' क्या है  ; फिर  Google किया और पता चला ये एक shorter URL का नाम है ,,  

धन्य हैं 'बिटली ' मैया  !!!😀""",Twitter Web App,542,9674,2020-01-21,18:38:49,Male,Entertainment
8,srbachchan,"""145125358""",Tweet,"""T 3417 - JHUND .. !! झुंड .. आ गया, आ गया .. !!

https://t.co/EVMSSTFCi4

@SrBachchan @Nagrajmanjule @itsBhushanKumar #KrishanKumar @vinodbhanu #RaajHiremath #SavitaRajHiremath #GargeeKulkarni #MeenuAroraa @AjayAtulOnline @tandavfilms @aatpaat @TSeries""",Twitter Web App,412,5064,2020-01-21,06:49:17,Male,Entertainment
9,srbachchan,"""145125358""",Tweet,"""T 3416 - बाबूजी की माँ ने कहा था :
""दिन भर में एक बार , सरस्वती स्वयं मनुष्य की जिह्वा पर बैठकर बोलती हैं  ""

बाबूजी ने लिखा था अपनी पहली पुस्तक छपने पर :
उसकी इतनी आलोचना हुई उसे आज मैं अतिशयोत्ति कहूँगा ; कवि को निश्चय प्रोत्साहन मिला था, उससे  । विश्वास को भी प्रोत्साहन चाहिए https://t.co/obbIatKHJG""",Twitter Web App,790,14466,2020-01-20,21:30:12,Male,Entertainment
10,srbachchan,"""145125358""",Tweet,"""no confusion on release date .. wait till tomorrow https://t.co/GWSxlZeNxJ""",Twitter Web App,139,2301,2020-01-20,05:25:13,Male,Entertainment
11,srbachchan,"""145125358""",Tweet,"""T 3415 - JHUND ... झुंड  !! ... JHUND ... झुंड  !!
#Jhund

@Nagrajmanjule
 
@itsBhushanKumar
 #KrishanKumar #RaajHiremath #SavitaRajHiremath #GargeeKulkarni #MeenuAroraa 
@AjayAtulOnline
 
@tandavfilms
 
@aatpaat
 
@TSeries https://t.co/4iTXi6mkc1""",Twitter Web App,629,10338,2020-01-20,04:59:02,Male,Entertainment
12,srbachchan,"""145125358""",Tweet,"""T 3415 - JHUND ... झुंड  !! 
#Jhund

@Nagrajmanjule @itsBhushanKumar #KrishanKumar #RaajHiremath #SavitaRajHiremath #GargeeKulkarni #MeenuAroraa @AjayAtulOnline @tandavfilms @aatpaat @TSeries https://t.co/4zB9zS5lbj""",Twitter Web App,430,5113,2020-01-20,04:53:48,Male,Entertainment
