Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,arianagrande,"""34507480""",Tweet,"""one month since the end of swt. missing and loving u.""",Twitter for iPhone,6694,74356,2020-01-23,05:08:25,Female,Music
2,arianagrande,"""34507480""",Tweet,"""look who i bumped into at rehearsal :) https://t.co/7VUjB3CMLX""",Twitter for iPhone,314377,848009,2020-01-23,03:56:35,Female,Music
3,arianagrande,"""34507480""",Tweet,"""u seen it""",Twitter for iPhone,13284,161613,2020-01-22,00:24:36,Female,Music
4,arianagrande,"""34507480""",Reply,"""@focusongillies good. working n sending y’all love. 🌫""",Twitter for iPhone,340,6029,2020-01-22,00:13:29,Female,Music
5,arianagrande,"""34507480""",Reply,"""@_Toniiiiiiiii_ @sweetenerkiids i decide tha hints !!!!!!!""",Twitter for iPhone,301,6584,2020-01-21,01:10:24,Female,Music
6,arianagrande,"""34507480""",Reply,"""@sweetenerkiids :( ok bye""",Twitter for iPhone,344,7452,2020-01-21,01:08:09,Female,Music
7,arianagrande,"""34507480""",Tweet,"""🖤 https://t.co/SsDowt3eSq""",Twitter for iPhone,8116,122851,2020-01-20,23:38:45,Female,Music
8,arianagrande,"""34507480""",Tweet,"""🌫🏹🤍 @2chainz @MichelleObama https://t.co/NXzf2Zr4Wp""",Twitter for iPhone,3901,60434,2020-01-19,18:35:14,Female,Music
9,arianagrande,"""34507480""",Reply,"""@bocacmb hello same. goodbye. back to work.""",Twitter for iPhone,410,7516,2020-01-18,23:54:39,Female,Music
10,arianagrande,"""34507480""",Reply,"""@remquit NO i change my mind. no hints.""",Twitter for iPhone,450,8356,2020-01-18,23:54:24,Female,Music
11,arianagrande,"""34507480""",Reply,"""@remquit later""",Twitter for iPhone,341,7542,2020-01-18,23:54:02,Female,Music
12,arianagrande,"""34507480""",Reply,"""@moonlitmyron idk i read some shit just let me log off before i ruin the whole operation""",Twitter for iPhone,360,6633,2020-01-18,23:53:42,Female,Music
13,arianagrande,"""34507480""",Reply,"""@gwsbed the fuck !!!!????? no""",Twitter for iPhone,471,7617,2020-01-18,23:53:12,Female,Music
14,arianagrande,"""34507480""",Tweet,"""got so much love""",Twitter for iPhone,25144,173878,2020-01-18,23:48:55,Female,Music
15,arianagrande,"""34507480""",Tweet,"""these musicians are wild and my ears are really blessed rn""",Twitter for iPhone,8852,127755,2020-01-18,23:34:37,Female,Music
16,arianagrande,"""34507480""",Tweet,"""wow music is really the most incredible thing in the entire world""",Twitter for iPhone,72283,334404,2020-01-18,23:32:25,Female,Music
17,arianagrande,"""34507480""",Tweet,"""he makes me cry https://t.co/MN6b9gEUXR""",Twitter for iPhone,6700,105256,2020-01-18,07:59:44,Female,Music
18,arianagrande,"""34507480""",Reply,"""@xoxoantek thank u 🥺""",Twitter for iPhone,276,5173,2020-01-18,07:36:33,Female,Music
19,arianagrande,"""34507480""",Tweet,"""love u""",Twitter for iPhone,29725,219934,2020-01-18,07:11:55,Female,Music
20,arianagrande,"""34507480""",Tweet,"""happy one year https://t.co/jTllO2FaUv""",Twitter for iPhone,30620,271725,2020-01-18,07:09:41,Female,Music
21,arianagrande,"""34507480""",Tweet,"""really excited to perform @RecordingAcad 🤍""",Twitter for iPhone,4342,61224,2020-01-16,22:45:03,Female,Music
22,arianagrande,"""34507480""",Reply,"""@ubreathin @godisawomann for sure. just trying to protect her also.""",Twitter for iPhone,487,9533,2020-01-16,21:29:25,Female,Music
23,arianagrande,"""34507480""",Reply,"""@sweetlyari @godisawomann i appreciate it. if you see anyone doing that at any point please ask them kindly not to.""",Twitter for iPhone,507,8840,2020-01-16,21:29:00,Female,Music
24,arianagrande,"""34507480""",Reply,"""@godisawomann sometimes people outgrow each other no matter how much they love one another or how much history is there. hopefully it’s temporary. 🖤 all i ask is that y’all please not get involved or send anything negative her way. want to get ahead of that.""",Twitter for iPhone,1496,12974,2020-01-16,21:27:47,Female,Music
25,arianagrande,"""34507480""",Reply,"""@AlfredoFlores ok good save it for me pls""",Twitter for iPhone,546,9481,2020-01-16,08:03:49,Female,Music
26,arianagrande,"""34507480""",Reply,"""following up""",Twitter for iPhone,1239,27241,2020-01-16,07:48:53,Female,Music
27,arianagrande,"""34507480""",Tweet,"""what the fuck are u doing without me where are u https://t.co/QGM4WOxmX1""",Twitter for iPhone,3862,72341,2020-01-16,07:21:49,Female,Music
28,arianagrande,"""34507480""",Tweet,"""that’s all i’m ever tryna do for u https://t.co/jkH8uiYzgg""",Twitter for iPhone,2391,38106,2020-01-16,07:19:51,Female,Music
29,arianagrande,"""34507480""",Reply,"""like unless someone physically pulls me out of the booth i won’t stop adding things. someone come get me.""",Twitter for iPhone,1966,40235,2020-01-16,07:14:08,Female,Music
30,arianagrande,"""34507480""",Reply,"""i really love nothing more i promise""",Twitter for iPhone,2078,40767,2020-01-16,07:12:44,Female,Music
31,arianagrande,"""34507480""",Tweet,"""i love adding more harmonies than anyone will ever notice or hear that no one ever asked for or needed""",Twitter for iPhone,7394,107349,2020-01-16,07:12:05,Female,Music
32,arianagrande,"""34507480""",Reply,"""@needyjoseph @needybitch_2 oh fully are""",Twitter for iPhone,273,5525,2020-01-16,03:49:29,Female,Music
33,arianagrande,"""34507480""",Reply,"""@NJOMZA “ᵍᵒᵒˢᵉʸ”""",Twitter for iPhone,504,7682,2020-01-16,03:39:12,Female,Music
34,arianagrande,"""34507480""",Reply,"""@NJOMZA but i cant so i said it out loud instead""",Twitter for iPhone,308,5654,2020-01-16,03:38:23,Female,Music
35,arianagrande,"""34507480""",Reply,"""@NJOMZA i wish i could tweet a voice note""",Twitter for iPhone,336,5963,2020-01-16,03:38:05,Female,Music
36,arianagrande,"""34507480""",Reply,"""@arianacuIture as if you have ever slept in your life""",Twitter for iPhone,312,5540,2020-01-16,03:23:16,Female,Music
37,arianagrande,"""34507480""",Tweet,"""i love @njomza""",Twitter for iPhone,1829,33319,2020-01-16,03:18:33,Female,Music
38,arianagrande,"""34507480""",Tweet,"""https://t.co/9OZvgoO5aA""",Twitter for iPhone,21496,206249,2020-01-15,23:59:36,Female,Music
