Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,britneythezone,"""1069680229860417536""",Retweet,"""⭐️ CALLING. ALL. BRITNEY. FANS. ⭐️ We're doing a SPECIAL giveaway today through Sunday, November 24th. Check out the link here for how to enter! Video: Courtesy of Sony Music Entertainment https://t.co/1NxRlTdiiz https://t.co/IIPoosPgF6""",Twitter Web App,579,2793,2019-11-22,20:02:44,Female,Music
2,britneyspears,"""16409683""",Tweet,"""Coming soon !!!! 😜😜😜 I can’t wait to see all of the pics you guys take at @britneythezone .... it’s going to be so fun !!! Hope you’re having a happy Saturday so far friends 🌷🌷🌷 https://t.co/ZGcBp2OJ1J https://t.co/AaLCuTL6J9""",Twitter for iPhone,1547,8522,2019-11-02,17:12:56,Female,Music
3,britneyspears,"""16409683""",Tweet,"""OMG this looks so cool !!! I can’t wait to see it ⏱⏱⏱🌸🌸🌸 https://t.co/ZGcBp2OJ1J https://t.co/tTjyo27sKw""",Twitter for iPhone,1590,10475,2019-11-01,20:25:56,Female,Music
4,britneythezone,"""1069680229860417536""",Retweet,"""It's time to get in the zone 🌟 Tickets are on sale NOW at https://t.co/F4yeQh2DlP! https://t.co/QtTf8rxcWE""",Twitter Web App,391,1900,2019-11-01,18:01:37,Female,Music
5,britneyspears,"""16409683""",Tweet,"""The flowers outside my bookstore 🌸 https://t.co/MXKwFXndjc""",Twitter for iPhone,2420,24871,2019-08-23,02:05:19,Female,Music
6,britneyspears,"""16409683""",Tweet,"""My daddy loves Mitch, @MonsterEnergy, and @NASCAR… and we both can’t wait to see this movie.  Congrats to everyone involved! It opens Sept 12 ✨ https://t.co/Gb5n7iNuZm""",Twitter for iPhone,522,4522,2019-08-20,22:23:57,Female,Music
7,britneyspears,"""16409683""",Tweet,"""🎩 photo credit: @francesiacuzzi https://t.co/7sYqcr3wKc""",Twitter Web Client,4666,38732,2019-05-04,00:43:51,Female,Music
8,britneyspears,"""16409683""",Tweet,"""Can you believe that this album was released 20 years ago today?! I can’t. It’s been the journey of a lifetime, but I’m grateful for every moment. Getting to know you all over the years has been such an incredible experience. Thank you for all your support ❤️ #BabyOneMoreTime20 https://t.co/vbj10cDn2C""",Twitter Web Client,25079,115209,2019-01-12,18:17:31,Female,Music
9,britneyspears,"""16409683""",Reply,"""I appreciate your prayers and support for my family during this time. Thank you, and love you all… always.""",Twitter Web Client,3384,29064,2019-01-04,17:09:32,Female,Music
10,britneyspears,"""16409683""",Reply,"""I had to make the difficult decision to put my full focus and energy on my family at this time. I hope you all can understand. More information on ticket refunds is available on https://t.co/SBF4WxXT31.""",Twitter Web Client,2350,19075,2019-01-04,17:09:32,Female,Music
11,britneyspears,"""16409683""",Reply,"""However, it’s important to always put your family first… and that’s the decision I had to make. A couple of months ago, my father was hospitalized and almost died. We’re all so grateful that he came out of it alive, but he still has a long road ahead of him.""",Twitter Web Client,2649,19545,2019-01-04,17:09:32,Female,Music
