Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,cnnbrk,"""428333""",Tweet,"""At least one person was killed and several others were injured in a shooting in downtown Seattle, officials say. Police are still searching for a gunman. https://t.co/E38N56uYIl https://t.co/WwbVQgiulX""",TweetDeck,354,534,2020-01-23,03:10:35,Organisation,News/Media
2,cnnbrk,"""428333""",Tweet,"""Another inmate has died at Mississippi's Parchman prison, the county coroner says. This latest death makes eight at the penitentiary this year. https://t.co/yxjQXlprXY https://t.co/BGmwrU6c0g""",TweetDeck,162,281,2020-01-23,01:13:05,Organisation,News/Media
3,cnnbrk,"""428333""",Tweet,"""Eli Manning, quarterback for the New York Giants for 16 seasons and a two-time Super Bowl winner, will announce his retirement on Friday, the team says https://t.co/LxLxbaOKpW https://t.co/ZgElELq2qd""",TweetDeck,199,1067,2020-01-22,23:57:10,Organisation,News/Media
4,cnnbrk,"""428333""",Tweet,"""Rapper and singer Juice WRLD died from an accidental oxycodone and codeine overdose, the Cook County Medical Examiner's Office says https://t.co/L8USqovJMQ https://t.co/zinIwOU9w2""",TweetDeck,329,923,2020-01-22,22:17:20,Organisation,News/Media
5,cnnbrk,"""428333""",Tweet,"""Four people were killed when a small plane crashed at the Corona Municipal Airport in Southern California, officials say https://t.co/P76QBNY0mr https://t.co/sYRM0jFapq""",TweetDeck,76,146,2020-01-22,22:13:34,Organisation,News/Media
6,cnnbrk,"""428333""",Tweet,"""House impeachment manager Jerry Nadler picks up from Adam Schiff to give the Democrats' opening statement at Trump's impeachment trial. Follow live updates: https://t.co/LNjED1tEOI https://t.co/yvE2VD6rso""",TweetDeck,59,289,2020-01-22,21:21:09,Organisation,News/Media
7,cnnbrk,"""428333""",Tweet,"""Officials in Wuhan, China, shut down the airport, trains, buses and subways to stop a coronavirus that's killed 17 people and sickened more than 500
https://t.co/B921YAYPSN https://t.co/CUvDucuIPR""",Twitter Web App,658,937,2020-01-22,19:47:03,Organisation,News/Media
8,cnnbrk,"""428333""",Tweet,"""In his opening statement at the Senate trial, House impeachment manager Adam Schiff reminds senators of their duty to act impartially. Follow live updates: https://t.co/NKgP6k63nX https://t.co/DIMCRjGmyc""",Twitter Web App,120,732,2020-01-22,18:56:27,Organisation,News/Media
9,cnnbrk,"""428333""",Tweet,"""French President Emmanuel Macron shouts at Israeli security officers in an altercation in Jerusalem https://t.co/Gv7GZcRYRy https://t.co/kL2OKgbZRN""",Twitter Web App,111,316,2020-01-22,18:39:51,Organisation,News/Media
10,cnnbrk,"""428333""",Tweet,"""UN experts call for an investigation after the Saudi crown prince is implicated in a hack of Amazon CEO Jeff Bezos' phone https://t.co/25ZT2UeJdt https://t.co/WiOBY2iwGu""",Twitter Web App,148,432,2020-01-22,18:29:35,Organisation,News/Media
11,cnnbrk,"""428333""",Tweet,"""CVS co-founder Ralph Hoagland III is dead at 86, the company confirms https://t.co/9VU8b4f51G https://t.co/ksCXLEu2jZ""",Twitter Web App,59,196,2020-01-22,18:02:17,Organisation,News/Media
12,cnnbrk,"""428333""",Tweet,"""Asia's Olympic boxing qualifying tournament for Tokyo 2020 has been canceled due to the deadly coronavirus outbreak https://t.co/n997YrXtxi https://t.co/YbzTQYZOu7""",Twitter Web App,117,239,2020-01-22,17:29:58,Organisation,News/Media
13,cnnbrk,"""428333""",Tweet,"""The son of Christian artist TobyMac died from an accidental overdose, a spokeswoman for his family confirms https://t.co/EXCrJCf5vc https://t.co/i17w04piTF""",Twitter Web App,93,372,2020-01-22,17:29:05,Organisation,News/Media
14,cnn,"""759251""",Retweet,"""Conservative lawyer George Conway says the impeachment trial is “a very specific day of reckoning” for Republicans. “Are they going to stand for lies instead of truth? Are they going to stand for gaslighting instead of reality?” https://t.co/wljckuftqJ https://t.co/VfmoMUCzN1""",Twitter Media Studio,1128,3756,2020-01-22,15:28:18,Organisation,News/Media
15,cnnbrk,"""428333""",Tweet,"""George Conway speaks to CNN after a contentious day in the Senate impeachment trial. Follow live updates: https://t.co/mzNM79SePX https://t.co/ed2d69negd""",Twitter Web App,64,272,2020-01-22,15:11:07,Organisation,News/Media
16,cnnbrk,"""428333""",Tweet,"""""Monty Python"" star Terry Jones is dead at 77 
https://t.co/0FdX0Bxqdl https://t.co/pshyfimN4i""",Twitter Web App,529,1342,2020-01-22,13:28:09,Organisation,News/Media
17,cnnbrk,"""428333""",Tweet,"""Bernie Sanders surges to join Joe Biden atop the Democratic presidential pack in a new CNN poll https://t.co/jGFf8j5K1m https://t.co/jImWm49FOV""",Twitter Web App,165,973,2020-01-22,11:50:24,Organisation,News/Media
18,cnnbrk,"""428333""",Tweet,"""The Senate approves rules for Trump’s impeachment trial after nasty marathon debate that often got personal https://t.co/EEVtbRGtTg""",Twitter Web App,108,439,2020-01-22,07:05:47,Organisation,News/Media
19,cnnbrk,"""428333""",Tweet,"""The Senate blocked the 9th, 10th and 11th amendments to the impeachment trial. They included time allotted for motions and voting on witnesses https://t.co/DGr7J8Nfje""",Twitter Web App,227,658,2020-01-22,06:42:03,Organisation,News/Media
20,cnnbrk,"""428333""",Tweet,"""The Senate blocked the eighth proposed amendment to the impeachment trial. The latest amendment would have subpoenaed former national security adviser John Bolton https://t.co/vvXhZGhTQq""",Twitter Web App,210,610,2020-01-22,06:14:36,Organisation,News/Media
