Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,sportscenter,"""26257166""",Retweet,"""“Coach, I can win the game for this team. Leave me in.""

—Alvin Gentry on what Zion said before he was subbed out (via @MarcJSpearsESPN) https://t.co/DyQ2WvUGU4""",Khoros,879,4845,2020-01-23,06:20:42,Organisation,News/Media
2,espn,"""2557521""",Tweet,"""Fans watching Zion go off in his first game 😮 https://t.co/CSkT3Pj0zM""",Khoros,1682,8050,2020-01-23,06:07:27,Organisation,News/Media
3,sportsnation,"""21254264""",Retweet,"""Zion Williamson: 1 career game, 4 three-pointers
Ben Simmons: 203 career games, 2 three-pointers https://t.co/vlPiX6TCHs""",Khoros,2879,14761,2020-01-23,05:20:13,Organisation,News/Media
4,espn,"""2557521""",Tweet,"""Zion put on a show in his NBA debut 🔥 https://t.co/jwncxMkTd0""",Khoros,1821,12816,2020-01-23,05:10:15,Organisation,News/Media
5,espn,"""2557521""",Tweet,"""ZION WENT OFF 😳

17 points and 4/4 from deep in 3 minutes https://t.co/CfYklzb2Bv""",Khoros,3857,17229,2020-01-23,04:56:22,Organisation,News/Media
6,sportscenter,"""26257166""",Retweet,"""ZION IS TAKING OVER 🔥

17 STRAIGHT 😱 https://t.co/2EuO0xpJaF""",Khoros,4597,25894,2020-01-23,04:47:42,Organisation,News/Media
7,espn,"""2557521""",Tweet,"""ZION. HAS. ARRIVED. 😤""",TweetDeck,1740,9656,2020-01-23,04:45:09,Organisation,News/Media
8,espn,"""2557521""",Tweet,"""Zion with a MAN'S rebound and then shows off the point-forward skills 🔥 https://t.co/1W2x6nEcFT""",Twitter Media Studio,137,1727,2020-01-23,04:40:50,Organisation,News/Media
9,espn,"""2557521""",Tweet,"""Zion's first NBA bucket 💪 https://t.co/RTUtXXPbts""",Twitter Media Studio,531,5002,2020-01-23,03:19:57,Organisation,News/Media
10,espn,"""2557521""",Tweet,"""Jrue dropped DeRozan, yikes 😯 https://t.co/PumA1E6xDA""",Twitter Media Studio,216,1706,2020-01-23,03:00:12,Organisation,News/Media
11,espn,"""2557521""",Tweet,"""Zion finally taking center stage 🍿 https://t.co/fY0M8xxAQM""",Twitter Media Studio,303,2781,2020-01-23,02:43:57,Organisation,News/Media
12,espn,"""2557521""",Tweet,"""ZION'S DEBUT IS HERE 🍿

Spurs-Pelicans starts now on ESPN! https://t.co/iXszAO9S2H""",Khoros,566,4407,2020-01-23,02:42:05,Organisation,News/Media
13,espn,"""2557521""",Tweet,"""That's cold, VanVleet 🥶 https://t.co/bbiPVVS3VL""",Twitter Media Studio,115,1234,2020-01-23,02:32:44,Organisation,News/Media
14,espnnba,"""74518740""",Retweet,"""The #HoopStreams crew previews Zion's first regular season game and talks expectations for this season ⤵️
https://t.co/dc7AcQd7bP""",Twitter Web Client,25,116,2020-01-23,02:27:46,Organisation,News/Media
15,espnnba,"""74518740""",Retweet,"""Ben Simmons got the lucky bounce 😅 https://t.co/jKKSI7QhRi""",Twitter Media Studio,61,795,2020-01-23,02:21:50,Organisation,News/Media
16,espnnba,"""74518740""",Retweet,""".@OmarESPN sat down with Lonzo Ball to break down some LaMelo highlights. Lonzo calls his brother ""the most talented player in the draft"" ⤵️ #HoopStreams 
https://t.co/iPB1fFGJ2t""",Twitter Web Client,12,71,2020-01-23,02:18:31,Organisation,News/Media
17,espnnba,"""74518740""",Retweet,"""Russ for Mike Conley?

@wojespn turns down @KendrickPerkins' trade idea 😆 #HoopStreams https://t.co/HpQItopL5C""",Twitter Web Client,25,204,2020-01-23,02:01:55,Organisation,News/Media
