Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,theellenshow,"""15846407""",Tweet,"""Didn’t get to see my show today? You can watch the whole thing right here, and I promise no one gets impeached in it. https://t.co/wfKUKLW3jG""",Twitter Web App,83,1221,2020-01-23,01:45:11,Organisation,Entertainment
2,theellenshow,"""15846407""",Tweet,"""My staff’s #TheBachelor Recap is really juicy this week! Tune in to hear my staff discuss all things linger-y, line dancing, and of course, the pool party, where no one swam. https://t.co/SxKQxJM2yJ""",Twitter Web App,36,808,2020-01-23,00:41:29,Organisation,Entertainment
3,theellenshow,"""15846407""",Tweet,"""For those of you with your TVs on who are feeling there’s only bad news, I give you the adorable Hadley. https://t.co/raYZpLpQeW""",Twitter Media Studio,590,8082,2020-01-22,22:19:56,Organisation,Entertainment
4,theellenshow,"""15846407""",Tweet,""".@NikkieTutorials is one of the most popular beauty YouTubers in the world. She came out last week as transgender, and I couldn’t be happier that I got to talk to her. https://t.co/GSAqV3Nl7N""",Twitter Media Studio,840,7990,2020-01-22,21:20:20,Organisation,Entertainment
5,theellenshow,"""15846407""",Tweet,"""For a lot of my staff, the 3-day weekend really flu by. https://t.co/UDh6d3W85g""",Twitter Media Studio,153,1813,2020-01-22,19:55:34,Organisation,Entertainment
6,theellenshow,"""15846407""",Tweet,""".@AndyLassner has a gay old time playing “Say Whaaat?” with the @JonasBrothers @NickJonas @JoeJonas @KevinJonas. https://t.co/3msBgay2Pf""",Twitter Web App,184,1476,2020-01-22,18:46:36,Organisation,Entertainment
7,theellenshow,"""15846407""",Tweet,"""The @JonasBrothers have a new hit on their hands, and it’s on TikTok. @NickJonas @JoeJonas @KevinJonas https://t.co/ApqYJvsCbz""",Twitter Media Studio,1344,9562,2020-01-22,17:44:39,Organisation,Entertainment
8,theellenshow,"""15846407""",Tweet,"""Congratulations, Alex! You played well. It’s too bad none of those comedians were named “Pass.” See you next week! #GameofGames""",Twitter for iPhone,59,1540,2020-01-22,05:00:23,Organisation,Entertainment
9,theellenshow,"""15846407""",Tweet,"""It’s your turn, West Coast! Someone’s winning $5,000 while watching tonight’s #GameofGames! Get out your @GameofGamesApp!""",Twitter Web App,60,918,2020-01-22,03:56:27,Organisation,Entertainment
10,theellenshow,"""15846407""",Tweet,"""You can’t say I’m not having fun. #KnoworGo #GameofGames https://t.co/6puQ5n0UDV""",Twitter Media Studio,94,1703,2020-01-22,01:50:19,Organisation,Entertainment
11,theellenshow,"""15846407""",Tweet,"""This round of #DangerWord feels a little bit like couples therapy. #GameofGames""",Twitter Web App,40,776,2020-01-22,01:36:48,Organisation,Entertainment
12,theellenshow,"""15846407""",Tweet,"""What do @MarthaStewart, @StephenCurry30, @MelissaMcCarthy, Keenan Thompson and @HodaKotb have in common? They’re all in this next game! #DangerWord #GameofGames""",Twitter Web App,45,643,2020-01-22,01:28:14,Organisation,Entertainment
13,theellenshow,"""15846407""",Tweet,"""Regardless of who wins, these 3 should start a dance group. #BlindfoldedMusicalChairs #GameofGames""",Twitter Web App,40,769,2020-01-22,01:24:59,Organisation,Entertainment
14,theellenshow,"""15846407""",Tweet,"""It’s a shame Petey’s gotta cover up those eyes with a blindfold. 😍 #BlindfoldedMusicalChairs #GameofGames""",Twitter Web App,36,637,2020-01-22,01:22:43,Organisation,Entertainment
15,theellenshow,"""15846407""",Tweet,"""People don’t realize how hard it is to run in a dress. That’s why I don’t wear them. #RunawayBride #GameofGames""",Twitter Web App,81,2113,2020-01-22,01:14:58,Organisation,Entertainment
16,theellenshow,"""15846407""",Tweet,"""He either remembered the answer, or he was so dizzy he thought I was @MileyCyrus. Either way, he gets the point. #DizzyDash #GameofGames""",Twitter Web App,70,829,2020-01-22,01:06:40,Organisation,Entertainment
17,theellenshow,"""15846407""",Tweet,"""Who wants $5,000? Get your apps out and get ready to watch an all-new #GameofGames. 8/7c on NBC!""",Twitter Web App,80,1228,2020-01-22,00:58:38,Organisation,Entertainment
18,theellenshow,"""15846407""",Tweet,""".@DaxShepard went on a date with Brad Pitt. I don’t know how else to describe it. https://t.co/MBKToFCDdR""",Twitter Web App,68,1061,2020-01-21,23:44:56,Organisation,Entertainment
19,theellenshow,"""15846407""",Tweet,"""People have gotten smarter about selling my 12 Days gifts online, but they can’t stop Adam from finding them. https://t.co/SXfuIB6t44""",Twitter Media Studio,148,2028,2020-01-21,22:36:33,Organisation,Entertainment
20,theellenshow,"""15846407""",Tweet,"""It’s early, but I can already tell you the most fun thing on TV today will be an all-new #GameofGames.""",Twitter Web App,82,1715,2020-01-21,21:55:21,Organisation,Entertainment
21,theellenshow,"""15846407""",Tweet,""".@DaxShepard wasn’t going to let a little lip surgery stop him from being on ""Jeopardy!"". https://t.co/Dqvz2T0xAT""",Twitter Media Studio,83,1554,2020-01-21,20:48:57,Organisation,Entertainment
22,theellenshow,"""15846407""",Tweet,"""One minute you’re in @Starbucks, and the next you’re on my show. #ThanksSponsor https://t.co/rEenS4JiIw""",Twitter Media Studio,123,1845,2020-01-21,19:48:03,Organisation,Entertainment
23,theellenshow,"""15846407""",Tweet,"""If I’m preempted in your market today, you can see my show on https://t.co/APojFeehjF I promise it'll be more fun than anything preempting me.""",Twitter Web App,84,1177,2020-01-21,18:41:54,Organisation,Entertainment
24,theellenshow,"""15846407""",Tweet,"""There’s just something about the Lopez family, and that little Josevic is my new favorite hero. https://t.co/zCJBmw4bkz""",Twitter Media Studio,234,2971,2020-01-21,17:57:59,Organisation,Entertainment
25,theellenshow,"""15846407""",Tweet,"""Missing tomorrow's #GameofGames could be very, very dangerous. https://t.co/k8n4RhsCYw""",Twitter Web App,92,1558,2020-01-21,01:17:37,Organisation,Entertainment
26,theellenshow,"""15846407""",Tweet,"""Not everybody can tell when I'm joking. I'm not joking. https://t.co/vY4UEAAazM""",Twitter Web App,133,2260,2020-01-20,22:52:52,Organisation,Entertainment
27,theellenshow,"""15846407""",Tweet,"""Remember, Ellen... always wait until they have their goggles on. #GameofGames https://t.co/K05sr6wznn""",Twitter Media Studio,154,2165,2020-01-20,21:01:57,Organisation,Entertainment
28,theellenshow,"""15846407""",Tweet,""".@MarkWahlberg told a really funny story about getting a new dog. https://t.co/DFOoa17IxA""",Twitter Media Studio,149,2055,2020-01-20,20:01:03,Organisation,Entertainment
29,theellenshow,"""15846407""",Tweet,"""I really, really love this family. https://t.co/cPh2M2oYxm""",Twitter Media Studio,472,5809,2020-01-20,18:57:19,Organisation,Entertainment
30,theellenshow,"""15846407""",Tweet,"""#MLKDay https://t.co/AvB6qpaJT3""",Twitter Media Studio,964,5677,2020-01-20,17:53:05,Organisation,Entertainment
31,theellenshow,"""15846407""",Tweet,"""I ❤️@MarkWahlberg. Check out the trailer for his new movie, @NetflixFilm #SpenserConfidential https://t.co/cvWQoLi8sv""",Twitter Media Studio,1565,11166,2020-01-20,16:54:03,Organisation,Entertainment
32,theellenshow,"""15846407""",Tweet,"""I asked #HSMTMTS’ @JoshuaTBassett
 to finally set the record straight on whether cereal is soup or not! I hope I got that hashtag right. https://t.co/GyLa7s3XYb""",Twitter Web App,585,6366,2020-01-19,17:31:48,Organisation,Entertainment
33,theellenshow,"""15846407""",Tweet,"""Nobody was happier about my #IvyParkXAdidas than @TheKalenAllen. https://t.co/ojVccx22Oj""",Twitter Media Studio,554,6729,2020-01-18,17:04:59,Organisation,Entertainment
34,theellenshow,"""15846407""",Tweet,"""This weekend, get up to 25% off all home items at https://t.co/FHnZxjbwQN! https://t.co/wTYrOZKEMU""",Twitter Media Studio,147,2185,2020-01-18,02:33:22,Organisation,Entertainment
35,theellenshow,"""15846407""",Tweet,"""I'm throwing a birthday party in my @GameofGamesApp, and you could win $5,000 by playing!
https://t.co/8WXf7r3zw7
https://t.co/2WXl1Xzxlb"" https://t.co/4UAJXFaNo2""",Twitter Media Studio,75,1067,2020-01-18,01:25:26,Organisation,Entertainment
36,theellenshow,"""15846407""",Tweet,"""If there is a better trio than @JaneFonda, @LilyTomlin and Phoebe Waller-Bridge to play a game called ""Guess What's Vibrating,"" then I don't know who it'd be. https://t.co/CuMxriTqNC""",Twitter Media Studio,339,3559,2020-01-18,00:53:41,Organisation,Entertainment
37,theellenshow,"""15846407""",Tweet,""".@JaneFonda and @LilyTomlin were here to guest host my show, and the cops came. https://t.co/skpB4MZ89f""",Twitter Media Studio,412,4592,2020-01-17,23:58:11,Organisation,Entertainment
38,theellenshow,"""15846407""",Tweet,"""We had to say goodbye to Charlie today. She was an amazing cat and gave us so much love. One of the hardest decisions to make but so glad we could end her suffering. https://t.co/EkWOAw1NnX""",Twitter for iPhone,2148,97399,2020-01-17,22:05:00,Organisation,Entertainment
39,theellenshow,"""15846407""",Tweet,"""Happy birthday, @IAmSteveHarvey! I think you left your mustache backstage. It's either that or one of @RealEugeneLevy's eyebrows.""",Twitter Web App,142,2477,2020-01-17,21:12:11,Organisation,Entertainment
40,theellenshow,"""15846407""",Tweet,""".@JaneFonda and @LilyTomlin guest hosted my show today and talked about #GraceandFrankie. https://t.co/u17toIH9NK""",Twitter Media Studio,211,2486,2020-01-17,20:06:53,Organisation,Entertainment
41,theellenshow,"""15846407""",Reply,"""@ReeseW Oh brother.""",Twitter Web App,19,860,2020-01-17,19:33:08,Organisation,Entertainment
42,theellenshow,"""15846407""",Tweet,"""Happy birthday, @MichelleObama. I ❤️ you. https://t.co/JhzmKEpuMt""",Twitter Media Studio,2462,33572,2020-01-17,19:09:44,Organisation,Entertainment
43,theellenshow,"""15846407""",Tweet,""".@JaneFonda and @LilyTomlin answered all of my Burning Questions. All I can say is ""Wow.""  https://t.co/O2BL2MIXxi""",Twitter Web App,129,1658,2020-01-17,18:14:48,Organisation,Entertainment
44,theellenshow,"""15846407""",Tweet,"""The @JonasBrothers are here next week! My, how far they’ve come. #TBT @NickJonas @JoeJonas @KevinJonas https://t.co/qWbQPuwgVX""",Twitter Media Studio,670,5095,2020-01-17,01:21:32,Organisation,Entertainment
45,theellenshow,"""15846407""",Tweet,"""For all #TheBachelor fans, I thought we should clear up what really happened in Champagne-gate. https://t.co/5VLQHm4raY""",Twitter Media Studio,332,3127,2020-01-16,23:32:14,Organisation,Entertainment
46,theellenshow,"""15846407""",Tweet,"""Congratulations, Lydia! You just slow-walked your way to a day of gifts from 12 Days. Thanks for listening to my podcast! #EllenOnTheGo https://t.co/tSDSdYnzaM""",Twitter Web App,58,1103,2020-01-16,22:19:51,Organisation,Entertainment
47,theellenshow,"""15846407""",Tweet,"""Here’s @Coldplay performing a song from their new album. You’re welcome. https://t.co/SvNGRtgc4P""",Twitter Media Studio,1299,7040,2020-01-16,21:16:03,Organisation,Entertainment
48,theellenshow,"""15846407""",Tweet,"""Stop what you’re doing and watch this. Thanks, @Starbucks® Rewards. https://t.co/2KjV2viDNZ""",Twitter Media Studio,528,5957,2020-01-16,20:06:28,Organisation,Entertainment
49,theellenshow,"""15846407""",Tweet,"""Would you like to know if @IAmJamieFoxx ever dated a star we didn’t know about? Then here you go. https://t.co/lyVeSUCKDY""",Twitter Web App,78,1098,2020-01-16,19:07:22,Organisation,Entertainment
