Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,jtimberlake,"""26565946""",Tweet,"""https://t.co/XKS2HL5sHY https://t.co/nA7DDWzojJ""",Twitter for iPhone,553,5758,2020-01-17,14:56:31,Male,Entertainment
2,timbaland,"""207923746""",Retweet,"""Since we in 2020 what’s y’all fav song off this classic? 🤔 https://t.co/YFxrNjBkQC""",Twitter for iPhone,2121,21507,2020-01-01,21:53:54,Male,Entertainment
3,jtimberlake,"""26565946""",Tweet,"""What a year. Happy birthday @TigerWoods 🙌 https://t.co/2sOSgU0KPa""",Twitter for iPhone,259,3130,2019-12-30,18:37:28,Male,Entertainment
4,complex,"""13049362""",Retweet,"""The latest trailer for Michael Jordan's doc #TheLastDance is here. 

The 10-part documentary features Barack Obama, Nas, Kobe and more.

WATCH: https://t.co/NTBHKSR3wa https://t.co/sbq8GUp46x""",SocialFlow,268,1583,2019-12-24,16:34:50,Male,Entertainment
5,jtimberlake,"""26565946""",Tweet,"""#TrollsWorldTour 🤘 New trailer drops in ONE HOUR https://t.co/zylxywguSi""",Twitter for iPhone,616,4480,2019-11-14,14:59:50,Male,Entertainment
6,trolls,"""4579155913""",Retweet,"""Wait for it... The #TrollsWorldTour trailer drops TOMORROW! 🎉🎶 #DreamWorks https://t.co/0PPEU0LMpn""",Twitter Media Studio,423,1800,2019-11-13,16:00:01,Male,Entertainment
7,jtimberlake,"""26565946""",Tweet,"""🍁🍁🍁 https://t.co/aOzDyJmIhl""",Twitter for iPhone,555,6290,2019-11-09,16:02:37,Male,Entertainment
8,levis,"""203144854""",Retweet,"""“It’s always great to be home. But this time, I’m having a transformative experience.”

Watch our latest Levi’s® Music Project with @jtimberlake, where we created a new songwriting program at @StaxAcademy in his hometown of Memphis, Tennessee. https://t.co/q9B7LIhv3Y https://t.co/3GDFfZP1IB""",Twitter Web App,112,728,2019-10-25,22:36:03,Male,Entertainment
9,levis,"""203144854""",Retweet,"""“It’s always great to be home. But this time, I’m having a transformative experience.”

Watch our latest Levi’s® Music Project with @jtimberlake, where we created a new songwriting program at @StaxAcademy in his hometown of Memphis, Tennessee. https://t.co/xWz0hCM3jp https://t.co/yEQ5eLSL7y""",Twitter for Advertisers,214,1236,2019-10-22,18:54:19,Male,Entertainment
10,jtimberlake,"""26565946""",Tweet,"""Pre-show warmup. If you know, you know. https://t.co/t6NmGghoSI""",Twitter for iPhone,1462,22296,2019-10-03,14:07:12,Male,Entertainment
11,jtimberlake,"""26565946""",Tweet,"""🙌 https://t.co/Bf5XY2WZaz""",Twitter for iPhone,356,6174,2019-10-02,23:52:12,Male,Entertainment
12,jtimberlake,"""26565946""",Reply,"""@taykeith 👀""",Twitter for iPhone,65,498,2019-09-30,17:13:14,Male,Entertainment
13,europeantour,"""55246492""",Retweet,"""Justin Timberlake in slow-motion 🎥

@jtimberlake #DunhillLinks https://t.co/0Zj72Ndx04""",Twitter Media Studio,233,2852,2019-09-28,19:08:00,Male,Entertainment
14,justinrose99,"""212256947""",Retweet,"""To walk these iconic links and have a photo in the same spot as greatness past, was a pleasure @jtimberlake 
We’ll make Sunday next time!! @dunhilllinks https://t.co/XVg4jGvzar""",Twitter for iPhone,149,2636,2019-09-28,18:15:21,Male,Entertainment
15,jtimberlake,"""26565946""",Tweet,"""Ready for this 💯 @TheIrishmanFilm https://t.co/Qn7yO6UW3I""",Twitter for iPhone,627,6673,2019-09-28,17:07:15,Male,Entertainment
16,jtimberlake,"""26565946""",Tweet,"""When they ask you to hit a hickory wood club from the 1800s and you stripe it down 18 aka for my non-golfers: I hit the ball with an old ass club and it was chill. https://t.co/HQlnrQ92uE""",Twitter for iPhone,306,4461,2019-09-26,12:57:35,Male,Entertainment
17,jtimberlake,"""26565946""",Tweet,""".@PilgrimageFest is back for year 5 this weekend. Get out there! https://t.co/4h8L6j9n5f https://t.co/ai5iswhyQG""",Twitter for iPhone,236,2025,2019-09-20,17:23:03,Male,Entertainment
18,jtimberlake,"""26565946""",Tweet,"""Tuscan Drip: Seconda Parte @JessicaBiel https://t.co/i3F5gUfQtD""",Twitter for iPhone,819,17503,2019-09-16,01:39:30,Male,Entertainment
19,jtimberlake,"""26565946""",Tweet,"""As #HurricaneDorian rescue and relief efforts continue, I’m proud to join in the One Bahamas Fund to restore and rebuild. We’re matching dollar for dollar the next $6 million raised. Repost this, spread the word, give if you can. 🙏
https://t.co/iWxiaMCO7d https://t.co/DtSGNOx5yg""",Twitter for iPhone,818,2344,2019-09-12,12:08:56,Male,Entertainment
