Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,kimkardashian,"""25365536""",Tweet,"""Morning Madness https://t.co/1fXrBJfVND""",Twitter for iPhone,14976,202723,2020-01-22,15:22:42,Female,Other
2,kyliejenner,"""236699098""",Retweet,"""New Video LIVE 🖤 https://t.co/GJVCCJjm7z""",Twitter for iPhone,355,4288,2020-01-21,22:20:30,Female,Other
3,nordstrom,"""15162193""",Retweet,"""Coming soon: SKIMS. Created by @KimKardashian, @skims is the new, solution focused approach to shape enhancing undergarments and it’s launching exclusively at Nordstrom on February 5. Stay tuned for more details: https://t.co/kiOfMq3k3S https://t.co/vlvH45CwLT""",Khoros Marketing,180,2520,2020-01-21,20:28:52,Female,Other
4,skims,"""1149099376968495104""",Retweet,"""SKIMS is excited to announce our first retail partnership with @Nordstrom, available online and in select stores February 5. Visit https://t.co/xzGrmk2Rxv for store locations and stay tuned for more details! https://t.co/bHPemRXMPG""",Twitter Web App,167,2310,2020-01-21,20:17:58,Female,Other
5,kimkardashian,"""25365536""",Tweet,"""The @skims Essential Bodysuit collection is available now! The super soft compression bodysuits can be worn alone or as a layering piece for any look. I am so excited for you guys to finally be able to feel how super stretchy the fabric is. Shop now at https://t.co/Qsy51S3rtD https://t.co/KEwqbuI6ix""",Twitter for iPhone,120,2604,2020-01-21,17:00:54,Female,Other
6,kimkardashian,"""25365536""",Tweet,"""More Cabo ☀️🕶 https://t.co/vMCBg1A4Ke""",Twitter for iPhone,10435,146772,2020-01-21,13:47:10,Female,Other
7,kimkardashian,"""25365536""",Tweet,"""This is so sweet! I find the birth chart reading so interesting, thanks for sharing! https://t.co/XxjYnMWBh1""",Twitter for iPhone,160,4283,2020-01-21,06:36:14,Female,Other
8,kimkardashian,"""25365536""",Tweet,"""Aww you look amazing in your @skims pajamas!!!! https://t.co/DOkw3fpDsy""",Twitter for iPhone,159,7953,2020-01-21,06:31:26,Female,Other
9,skims,"""1149099376968495104""",Retweet,"""The Sleeveless Crew Neck Thong Bodysuit ($68) in Smokey Quartz — launching TOMORROW, JANUARY 21 at 9AM PST / 12PM EST in sizes XXS - 5X. Join the waitlist now at https://t.co/Bn8kuwhTZx to be the first to shop before they sell out.
Photo: #VanessaBeecroft https://t.co/aVDtK5a9kn""",Sprout Social,51,981,2020-01-20,23:00:23,Female,Other
10,kkwbeauty,"""809877507650424832""",Retweet,"""""I've had the new Bronze Heaven palette in my purse for months - The gold and brown shades are perfect for everyday. I’m also wearing the brand new Lip Crayon in Rose Dust and the Classic Shimmers Blush Palette"" - @kimkardashian #CelestialSkies launches on Friday 01.24 at 9AM PST https://t.co/tuzFZuMLSF""",Dash Hudson,166,3639,2020-01-20,16:00:59,Female,Other
11,kkwbeauty,"""809877507650424832""",Retweet,""".@KimKardashian wears the Sepia Sunset Eyeshadow Palette, Classic Mattes Blush Palette and Subtle Nude Lip Crayon. Shop this goregous look on 01.24 at 12PM PST only at https://t.co/32qaKbav78. #CelestialSkies https://t.co/XEGsZfdsdN""",Twitter for iPhone,137,2390,2020-01-19,22:02:56,Female,Other
12,kimkardashian,"""25365536""",Tweet,"""Get a special sneak peek of my new documentary The Justice Project at the closing ceremony of @cinemattersjff this Monday Jan. 20. #KKWTheJusticeProject premieres Sunday, April 5 at 7/6c on @Oxygen! #Cinematters2020""",Twitter for iPhone,199,2384,2020-01-19,17:57:29,Female,Other
13,kkwfragrance,"""822288284202070016""",Retweet,""".@kimkardashian dripping in diamonds with the KKW Fragrance Diamond. 💎  Shop it for $40 now at https://t.co/tNsXwaWFaS #KKWDIAMONDS https://t.co/luoAHCPvY2""",Dash Hudson,108,1861,2020-01-19,17:01:15,Female,Other
14,kimkardashian,"""25365536""",Tweet,"""The official trailer for my new documentary is here! Criminal justice reform is something that’s so important to me, and I can't wait to share these stories with all of you. #KKWTheJusticeProject premieres Sunday, April 5 at 7/6c on @Oxygen https://t.co/d5AvuvQE7a""",Twitter for iPhone,18068,83458,2020-01-19,04:15:13,Female,Other
15,oxygen,"""17792620""",Retweet,"""You've kept up with @KimKardashian for years, but you've never seen her fight for justice like this. #KKWTheJusticeProject premieres Sunday, April 5 at 7/6c on @Oxygen. ⚖️ https://t.co/mgVegMBHNq""",Twitter Media Studio,991,5904,2020-01-19,04:00:00,Female,Other
