Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,katyperry,"""21447363""",Tweet,"""Step into your destiny with The Bondie 🔮✨ #ShoesdayTuesday @kpcollections https://t.co/EcuUoLTpV0 https://t.co/eclDUS7LEx""",Twitter for iPhone,503,4037,2020-01-22,01:49:22,Female,Music
2,katyperry,"""21447363""",Tweet,"""Y’all! It’s a New Year &amp; a 🎤NEW SEASON OF @AMERICANIDOL🎤 Get ur 🍿 &amp; tissues 😭 ready, we got it DIALED for season 3 on @ABCNetwork! FEB 16th we got SO many surprises coming ur way. keep your eyes, ears &amp; hearts open ♥️ @lionelrichie @LukeBryanOnline @ryanseacrest @mrBobbyBones https://t.co/HAQsgGSTZF""",Twitter for iPhone,1029,7558,2020-01-21,19:21:29,Female,Music
3,katyperry,"""21447363""",Tweet,"""the darker the night the brighter the stars ✨""",Twitter for iPhone,18934,79726,2020-01-20,08:07:52,Female,Music
4,katyperry,"""21447363""",Tweet,"""✨ #ProtectYourEnergy2020 extends from your head to your toes ✨ #ShoesdayTuesday @katyperrycollections

https://t.co/s2ju742G20 https://t.co/iuM21E86yD""",Twitter for iPhone,802,7246,2020-01-14,22:46:27,Female,Music
5,katyperry,"""21447363""",Tweet,"""That’s sweet and all but I’m livid and flipping tables over here! https://t.co/gwWW4Yo9Wp""",Twitter for iPhone,735,7453,2020-01-13,21:30:26,Female,Music
6,katyperry,"""21447363""",Tweet,"""just saw the trailer for @BarbAndStar and finally don’t feel so alone in my sense of humor. Will be hibernating till July 31st. ✌🏻""",Twitter for iPhone,838,7430,2020-01-13,21:21:29,Female,Music
7,katyperry,"""21447363""",Tweet,"""Many people wonder how the pyramids were actually built... but me, I am in constant awe and wonder of how such a loving/kind/compassionate/supportive/talented/deeply spiritual/did I mention incredibly good… https://t.co/A6TMdvEzxG""",Instagram,903,8605,2020-01-13,09:33:54,Female,Music
8,katyperry,"""21447363""",Tweet,"""#FBF to a look behind my @VOGUEIndia shoot. Sustainable, colorful fashion, showcasing the beauty of Mumbai, hanging with local kiddos, and working with the brilli @GregSwalesart... what more can I ask for? Continually grateful 🇮🇳 https://t.co/qChEbfvq8p""",Twitter for iPhone,780,5620,2020-01-10,17:51:25,Female,Music
9,katyperry,"""21447363""",Tweet,"""nice club, kid @cynthialovely @birdsofpreywb 🎶💫 https://t.co/U8wTNZxygo""",Twitter for iPhone,915,8328,2020-01-10,04:07:11,Female,Music
10,katyperry,"""21447363""",Tweet,"""It’s a new year: how about some crystals and heel-ing for 2020? ✨ @kpcollections #ShoesdayTuesday https://t.co/Uxcc2yDRK4""",Twitter for iPhone,649,7458,2020-01-08,00:36:38,Female,Music
