Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,kingjames,"""23083404""",Tweet,"""Y’all know I love this city. Was great to be able to give back yesterday.  Thing I love most about NYC...playing in the Garden! 🙏🏾👑 https://t.co/6mJx5zwRbw""",Twitter for iPhone,1378,15014,2020-01-22,14:58:19,Male,Sport
2,kingjames,"""23083404""",Tweet,"""Hating has no age limit! 🤦🏾‍♂️. #JamesGang is build for it and well equipped. As we proceed 👑 https://t.co/6OzvGTxDEW""",Twitter for iPhone,23430,165848,2020-01-20,23:15:45,Male,Sport
3,kingjames,"""23083404""",Tweet,"""Welcome back Champ!! @TheNotoriousMMA.  🙏🏾💪🏾""",Twitter for iPhone,33026,224869,2020-01-19,05:39:53,Male,Sport
4,kingjames,"""23083404""",Tweet,"""Trailblazing right along!! Let’s Go Boys! 🙏🏾💪🏾👑 https://t.co/U7IgIhmsd4""",Twitter for iPhone,928,12521,2020-01-17,20:49:18,Male,Sport
5,ipromiseschool,"""1019672184929902592""",Retweet,"""From a “petting zoo” filled with instruments to explore and play... all the way to watching our very own VIP performance. This 4th Grade Experience Outing was another amazing and exciting experience for our kids! 🎺😄🎼#WeAreFamily https://t.co/W2kJD7uufZ""",Twitter for iPhone,75,638,2020-01-16,00:06:22,Male,Sport
6,ipromiseschool,"""1019672184929902592""",Retweet,"""A private performance from the @akronsymphony AND @MyPiada lunch⁉️ That’s music to our ears!🎶👂
⠀⠀⠀⠀⠀⠀⠀⠀ https://t.co/bQTu0ZmY6g""",Twitter for iPhone,73,991,2020-01-16,00:03:49,Male,Sport
7,kingjames,"""23083404""",Tweet,"""Daddy and Z 💫 for episode 3!!! ❤️❤️ Thank you for letting me be on your YouTube channel. 🤪#BabyZNova✨ #JamesGang👑 https://t.co/ddDszC2VQZ""",Twitter for iPhone,820,9882,2020-01-15,23:54:07,Male,Sport
8,kingjames,"""23083404""",Tweet,"""AD on the way!!! 🤣🤣🤣🤣 https://t.co/fH2X4zRM0I""",Twitter for iPhone,1788,31996,2020-01-13,08:02:21,Male,Sport
9,kingjames,"""23083404""",Tweet,"""As Jay-Z would say “WHAT MORE CAN I SAY” 🗣🗣 https://t.co/JggZrOPGBD""",Twitter for iPhone,5534,42344,2020-01-13,08:01:38,Male,Sport
10,kingjames,"""23083404""",Tweet,"""She’s so DOPE!! Keep going Queen Sabrina! 🙏🏾💪🏾❤️👑 https://t.co/PjGhOe7LaT""",Twitter for iPhone,3712,50707,2020-01-13,08:00:33,Male,Sport
11,kingjames,"""23083404""",Tweet,"""🤣🤣🤣🤣🤣🤣. Cmon Dam! Well Z is one for the ages. https://t.co/A3GSxSBhnR""",Twitter for iPhone,390,4656,2020-01-13,07:59:05,Male,Sport
12,kingjames,"""23083404""",Tweet,"""Just waking back up from a nap! SHEESH that game took a quick turn the opposite way! Guess it’s true, it ain’t how you start, it’s how you finish it. See the homie @tkelce in his 💼!!""",Twitter for iPhone,3427,48778,2020-01-12,23:21:22,Male,Sport
13,kingjames,"""23083404""",Tweet,"""Luckily this ain’t Madden. You already know what happens when down 21-0. So with that said so much more game to be played. Texans off to one helluva start to this one on the road""",Twitter for iPhone,6893,73942,2020-01-12,20:40:36,Male,Sport
14,kingjames,"""23083404""",Tweet,"""FACTS!!! https://t.co/ya5i8wQQq0""",Twitter for iPhone,2869,36128,2020-01-12,04:42:50,Male,Sport
15,kingjames,"""23083404""",Tweet,"""Helluva win tonight men!!! And great 2 game road trip. #LakeShow💜💛""",Twitter for iPhone,4124,52410,2020-01-12,04:42:27,Male,Sport
16,kingjames,"""23083404""",Tweet,"""So DOPE!!!! Big brother support on full effect. Lil man already got a cannon! 🙏🏾🔥🔥🔥🔥❤️ https://t.co/vdAOTlz1Z6""",Twitter for iPhone,14650,116552,2020-01-11,21:02:10,Male,Sport
17,kingjames,"""23083404""",Tweet,"""Yes he ABSOLUTELY has Earned it!! Congrats RP! 🙏🏾 https://t.co/KQ4gIPiBYY""",Twitter for iPhone,1687,22559,2020-01-11,17:55:57,Male,Sport
18,ipromiseschool,"""1019672184929902592""",Retweet,"""I PROMISE to always try my best. 💪 https://t.co/m1buRa1RE0""",Twitter for iPhone,414,4778,2020-01-11,12:34:41,Male,Sport
19,kingjames,"""23083404""",Tweet,"""Never Ever Give Up! @IPROMISESchool @LJFamFoundation https://t.co/ZxOreuuP84""",Twitter for iPhone,3215,32792,2020-01-11,07:14:20,Male,Sport
20,nikebasketball,"""5885732""",Retweet,"""I will dream big.

@kingjames debuts his latest LeBron 17 ‘I Promise’.

Arriving in SNKRS January 21: https://t.co/HXBheZ8QiL @IPROMISESchool @LJFamFoundation #LeBron17 https://t.co/2GtJ1niuI2""",Twitter for iPhone,620,5261,2020-01-11,06:47:27,Male,Sport
21,ljfamfoundation,"""550483516""",Retweet,"""The Kid From Akron 👑🙏 #WeAreFamily ❤️ 

@IPROMISESchool @nikebasketball @KingJames https://t.co/VT1yDHTGgy""",Twitter for iPhone,325,3747,2020-01-11,02:07:35,Male,Sport
22,kingjames,"""23083404""",Tweet,"""CP stop it!!!!! 🤣🤣🤣🤣🤣🤣🤣""",Twitter for iPhone,9142,98615,2020-01-10,04:36:15,Male,Sport
23,kingjames,"""23083404""",Tweet,"""Still send chills through my body EVERYTIME I see this. Like I’m back senior year before running out for the State Championship and National Title on the line. #WeReadyAndWeSoSquad #Family @SianCotton85 @RomeTrav @DruOnDemand @ChillWill03 @BrandonWeems10 @Marcus32Johnson etc https://t.co/cx5zGgaNcM""",Twitter for iPhone,1604,16675,2020-01-08,18:07:00,Male,Sport
24,kingjames,"""23083404""",Tweet,"""🤫😉🙏🏾👑 https://t.co/dYBC0uidy8""",Twitter for iPhone,4252,60189,2020-01-08,07:30:18,Male,Sport
25,nbakicks,"""1051879949513179137""",Retweet,"""⚪️ Nike Zoom LeBron 3! ⚪️

#NBAKicks #LakeShow https://t.co/wkDZcRBhM7""",Twitter for iPhone,1223,10316,2020-01-08,07:09:20,Male,Sport
26,kingjames,"""23083404""",Tweet,"""❤️❤️❤️❤️❤️ https://t.co/WueXZ0WwmA""",Twitter for iPhone,242,5187,2020-01-08,07:05:15,Male,Sport
27,nikebasketball,"""5885732""",Retweet,"""LeBron 17 ‘I Promise’.

@kingjames’ commitment to revolutionizing education in his hometown is honored in a kaleidoscopic-inspired design with a run of promises on the shoe’s laces.

Arriving in SNKRS January 21: https://t.co/swuRC2K9DK @IPROMISESchool @LJFamFoundation #LeBron17 https://t.co/Kr0kTNwDhW""",Twitter for iPhone,766,4552,2020-01-08,03:57:05,Male,Sport
28,ipromiseschool,"""1019672184929902592""",Retweet,"""LeBron 17 #IPROMISE 💪👑

@nikebasketball @LJFamFoundation 

 https://t.co/nRwq2rS4hw""",Twitter for iPhone,359,2744,2020-01-08,03:29:49,Male,Sport
29,kingjames,"""23083404""",Tweet,"""🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 ✊🏾 King 👑 S#^+ https://t.co/QTyGXJui31""",Twitter for iPhone,4671,27535,2020-01-05,23:44:11,Male,Sport
30,kingjames,"""23083404""",Tweet,"""@jokudah Welcome to @KlutchSports!!! Happy to have you apart of this society. Congrats of a wonderful career at Thee Ohio State University and best of luck in the draft! 🙏🏾💪🏾👑""",Twitter for iPhone,315,2446,2020-01-05,04:51:07,Male,Sport
31,kingjames,"""23083404""",Tweet,"""That We Do!! Can’t wait for this!!! https://t.co/I1rEog0P5l""",Twitter for iPhone,219,3661,2020-01-02,22:00:30,Male,Sport
32,mavcarter,"""288956125""",Retweet,"""Can’t believe we got to make this one and the opportunity to work with the legend @octaviaspencer 

https://t.co/5JcSnRPHWd""",Twitter for iPhone,115,1034,2020-01-02,20:22:26,Male,Sport
33,kingjames,"""23083404""",Tweet,"""Legacy continues!! #JoyceFamilyStrong💪🏾 https://t.co/WfMOa5UEIc""",Twitter for iPhone,297,5711,2020-01-01,00:05:06,Male,Sport
34,kingjames,"""23083404""",Tweet,"""Love my G!! You already know 🙏🏾 https://t.co/HbUlpC3Y3w""",Twitter for iPhone,332,8009,2019-12-30,23:18:56,Male,Sport
35,ljfamfoundation,"""550483516""",Retweet,"""Happy Birthday Hometown Hero 🙏 @KingJames https://t.co/JLy1f5e55l""",Twitter for iPhone,1852,12257,2019-12-30,16:54:14,Male,Sport
36,kingjames,"""23083404""",Tweet,"""My pleasure!! You guys have earned the right to be in the playoffs. Good luck men and BE GREAT!! #OH #GoBucks🌰 https://t.co/bcwkW1bvRu""",Twitter for iPhone,1485,21226,2019-12-29,00:56:34,Male,Sport
37,kingjames,"""23083404""",Tweet,"""She needs no introduction to the world but I’m excited for you all to meet my Princess 👸🏾Zhuri Nova 💫 through her eyes ❤️❤️ All Things Zhuri coming soon‼️ Subscribe!!! #JamesGang👑

https://t.co/7p5fc3dLYa""",Twitter for iPhone,3709,40963,2019-12-25,23:03:29,Male,Sport
38,kingjames,"""23083404""",Tweet,"""MAN i wish I walked into the locker room tomorrow and we had Christmas Day uniforms! It’s a MUST we bring those back @Nike @nikebasketball I’ve been seeing those Lakers 🧊 unis over the airways. Sheesh!!!! 😱""",Twitter for iPhone,9958,87580,2019-12-25,04:28:36,Male,Sport
39,kingjames,"""23083404""",Tweet,"""HORRIFIC MAN!!!! 2 weeks!!!??? Are you kidding me. SMFH. I shed tears 😭 for the family involved. https://t.co/759Dc1RLyo""",Twitter for iPhone,18995,108213,2019-12-25,02:11:43,Male,Sport
40,ovosound,"""2675359291""",Retweet,"""Drake “War” (Video) 
https://t.co/taDWx4vY6p""",Twitter for iPhone,12101,33457,2019-12-24,05:34:10,Male,Sport
41,kingjames,"""23083404""",Tweet,"""Congrats @Cantguardmike!!!! Single season reception record. Breaking the record on an incredible route he ran! Nasty! You literally can’t guard him! Fitting for his twitter handle. 🤣🤣🤣. 🙏🏾💪🏾👑""",Twitter for iPhone,8519,69592,2019-12-22,21:15:00,Male,Sport
42,kingjames,"""23083404""",Tweet,"""Young 🤴🏾 on a mission and haven’t stopped! P.S. Can’t believe my hair decided to go Casper on me like this though. “Ghost” 🤦🏾‍♂️. 🤣🤣🤣🤣🤷🏾‍♂️ https://t.co/NTT5rwiBr1""",Twitter for iPhone,10866,92807,2019-12-19,23:02:11,Male,Sport
43,uninterrupted,"""2966774301""",Retweet,"""A look inside the #EYBL like you've never seen it before. Introducing #EliteYouth, coming Jan 3 to @FS1. 💥🏀👀 https://t.co/aw3WIupetu""",Twitter Media Studio,230,1030,2019-12-19,18:10:48,Male,Sport
44,uninterrupted,"""2966774301""",Retweet,"""#MoreThanAnAthlete LeBron 17 drops on Christmas Day. You copping? 🔥🔥🔥 https://t.co/7G2xZ2Rqq2""",Twitter for iPhone,308,2344,2019-12-19,16:12:59,Male,Sport
