Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,liltunechi,"""116362700""",Tweet,"""Soon !! ⚰️ https://t.co/oiVqoGJrnW""",Twitter for iPhone,9326,28509,2020-01-23,02:26:37,Male,Music
2,liltunechi,"""116362700""",Tweet,"""GO PACK GO!!!!!!!!!!""",Twitter for iPhone,9947,38673,2020-01-19,18:57:09,Male,Music
3,liltunechi,"""116362700""",Tweet,"""Full video out now !! https://t.co/kDVqT1jCfN""",Twitter for iPhone,574,2367,2020-01-14,03:53:00,Male,Music
4,liltunechi,"""116362700""",Tweet,"""BALL LIKE THE PLAYOFFS 🏆 
You already know it’s GAME TIME tonight on @espn !! https://t.co/mgMhwFMbbB""",Twitter for iPhone,1219,6928,2020-01-13,18:02:48,Male,Music
5,liltunechi,"""116362700""",Tweet,"""GO PACK GO!!!!!!!!!!!!!!!!!""",Twitter for iPhone,10421,42681,2020-01-12,22:27:52,Male,Music
6,liltunechi,"""116362700""",Tweet,"""Katch me performing at Delano Beach Club with @TIDAL &amp; @sbeCollection during Big Game Weekend. Jan 31st. 
Go to https://t.co/cuQPeic9MB for tikkets ! 
#TIDALXDelano https://t.co/Hatf9zlqet""",Twitter for iPhone,259,1546,2020-01-09,15:47:56,Male,Music
7,liltunechi,"""116362700""",Tweet,"""✈️✈️✈️✈️ #YMAPAA https://t.co/0kfbhMVKRE""",Twitter for Android,524,3982,2019-12-29,21:35:07,Male,Music
8,liltunechi,"""116362700""",Tweet,"""GO TIGERS!!!!! Ed O. Voice (autotuned) Geaux Tigeeerrzzz!!""",Twitter for iPhone,5528,25815,2019-12-28,18:47:34,Male,Music
9,liltunechi,"""116362700""",Tweet,"""All goody!  I think they thought I was talking abt a different “Pack” in my last tweet.  But anyway GO PACK GO!!!""",Twitter for iPhone,3749,20732,2019-12-24,02:07:44,Male,Music
10,liltunechi,"""116362700""",Tweet,"""GO PACK GO!!!!!""",Twitter for iPhone,4116,18652,2019-12-23,10:08:47,Male,Music
11,liltunechi,"""116362700""",Tweet,"""Going into the new dekade in Carter V gear! Head to https://t.co/H5JxC3MRHO https://t.co/N1taol08Cf""",Twitter for Android,341,2012,2019-12-21,02:30:50,Male,Music
12,liltjay,"""856676813346492416""",Retweet,"""“leaked - ft @LilTunechi” OUT NOW https://t.co/iG1jQvfEaB https://t.co/6JnboahD8I""",Twitter for iPhone,1490,6133,2019-12-20,19:14:52,Male,Music
