Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,neymarjr,"""158487331""",Tweet,"""Bon Match les gars 👊🏽 https://t.co/3vltfC5YDd""",Twitter for iPhone,3789,56957,2020-01-23,01:36:14,Male,Sport
2,neymarjr,"""158487331""",Tweet,"""@GaGaMilanoWorld 
#gagamilano #gagamilanowatches https://t.co/rJvtHn3ICE""",Twitter Web App,19,117,2020-01-21,14:06:35,Male,Sport
3,neymarjr,"""158487331""",Tweet,"""Matteo @REPLAY 🤙🏽 

By; 📸 @gilcebola https://t.co/w5V1enX92a""",Twitter for iPhone,831,29195,2020-01-16,20:14:27,Male,Sport
4,neymarjr,"""158487331""",Tweet,"""Focus 👀 https://t.co/PVhK0296jo""",Twitter for iPhone,7362,135876,2020-01-16,15:47:19,Male,Sport
5,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/YJiZFKSnWY""",Twitter for iPhone,4513,76503,2020-01-15,19:20:30,Male,Sport
6,neymarjr,"""158487331""",Tweet,"""Father❤️ https://t.co/g1LoB2vrZ2""",Twitter for iPhone,4122,120592,2020-01-13,00:44:32,Male,Sport
7,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/td4rfBWMMv""",Twitter for iPhone,3725,64688,2020-01-12,18:24:38,Male,Sport
8,neymarjr,"""158487331""",Tweet,"""# Vem comigo 🤪😂🤪 @KMbappe https://t.co/DTUBa1K4am""",Twitter for iPhone,14655,140970,2020-01-08,23:44:18,Male,Sport
9,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/yIYmhF0ZP5""",Twitter for iPhone,2999,47387,2020-01-08,18:25:34,Male,Sport
10,neymarjr,"""158487331""",Tweet,"""🤪 https://t.co/CWvWduGnkZ""",Twitter for iPhone,2244,106314,2020-01-07,20:48:13,Male,Sport
11,neymarjr,"""158487331""",Reply,"""@QNBGroup @QNBGroup 👊🏾""",Twitter Web App,145,816,2020-01-06,14:44:41,Male,Sport
12,qnbgroup,"""108829312""",Retweet,"""With the right time, you can always make the right decisions!
#Neymarjr 
#MakeTheTimeRight 
#QNB #QNBGroup https://t.co/XCrUgQfBnV""",Twitter Web App,181,2191,2020-01-06,14:15:53,Male,Sport
13,qnbgroup,"""108829312""",Retweet,"""Have you? Comment with your answer below.
#Neymarjr
#MakeTheTimeRight
#QNB #QNBGroup https://t.co/UZbdurOBmt""",Twitter Web App,216,2776,2020-01-05,07:01:40,Male,Sport
14,neymarjr,"""158487331""",Tweet,"""Start ⚽️ https://t.co/6hEJcpVJlJ""",Twitter for iPhone,3327,64189,2020-01-02,17:57:30,Male,Sport
15,neymarjr,"""158487331""",Tweet,"""2019, o ano do aprendizado 🙏🏽🙌🏽 BLESSED https://t.co/Ot8p59OpcF""",Twitter for iPhone,11102,161529,2019-12-31,17:34:57,Male,Sport
16,neymarjr,"""158487331""",Tweet,"""Feliz Natal ❤️ #family https://t.co/vzjW7PQRzb""",Twitter for iPhone,3253,99904,2019-12-25,21:07:50,Male,Sport
17,neymarjr,"""158487331""",Tweet,"""Gratidão e orgulho... 🙏🏽🙌🏽❤️ https://t.co/M2ITlRWWiP""",Twitter for iPhone,9269,144174,2019-12-24,21:04:40,Male,Sport
18,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/IoPYM48vWu""",Twitter for iPhone,3473,66126,2019-12-21,18:11:53,Male,Sport
19,neymarjr,"""158487331""",Tweet,"""joyeux anniversaire mon frère 🔥🤟🏽 @KMbappe https://t.co/BJl8CpmUbn""",Twitter for iPhone,10261,165875,2019-12-20,16:55:10,Male,Sport
20,neymarjr,"""158487331""",Tweet,"""Orgulho ❤️🙏🏽 @InstitutoNJr https://t.co/fzK6AVr7lJ""",Twitter for iPhone,1567,44486,2019-12-17,17:52:41,Male,Sport
21,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/9bIfOuCsnu""",Twitter for iPhone,4297,65509,2019-12-15,18:16:18,Male,Sport
22,neymarjr,"""158487331""",Tweet,"""Allez PARIS 🔵🔴 https://t.co/DD0GiPrrc3""",Twitter for iPhone,8125,120489,2019-12-12,14:13:07,Male,Sport
23,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/ji69hxIKIn""",Twitter for iPhone,7376,117996,2019-12-11,18:21:17,Male,Sport
24,neymarjr,"""158487331""",Tweet,"""Ready for @ChampionsLeague ⚽️ https://t.co/HFa95M1B0W""",Twitter for iPhone,4846,77183,2019-12-10,15:46:19,Male,Sport
25,neymarjr,"""158487331""",Tweet,"""Se você estiver na CCXP 2019, visite-nos no Beco do Artista, na F27. Nosso artista Fero Peniche, que criou a série Inked comgo, estará lá para conhecer os fãs. Você pode comprar o livro e garantir um autógrafo também!

#neymarjrcomics #comics #neymarjr #tattoos #CCXP""",Twitter Web App,238,6450,2019-12-08,13:20:49,Male,Sport
26,neymarjr,"""158487331""",Tweet,"""Lançado!
Inked está disponível para pré-venda hoje, com um desconto de 25% por tempo limitado. Adquira o quadrinho na loja de fãs da @neymarjrcomics :
https://t.co/CEHbOkXqLc

#InkedComic #neymarjrcomics #comics #comicart #Neymar #neymarjr #tattoos https://t.co/VIV3OqIfE1""",Twitter Web App,481,8329,2019-12-08,13:19:49,Male,Sport
27,neymarjr,"""158487331""",Tweet,"""Focus 💯⚽️🥅 https://t.co/TIPTN3nMGT""",Twitter for iPhone,7864,112139,2019-12-07,22:55:20,Male,Sport
28,neymarjr,"""158487331""",Tweet,"""Lets bora my bro 🔥🔥 @KMbappe https://t.co/bWNDWfDzW7""",Twitter for iPhone,9450,128504,2019-12-07,21:59:22,Male,Sport
29,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/Fl6z6qnZJw""",Twitter for iPhone,3142,53714,2019-12-07,14:59:34,Male,Sport
30,neymarjr,"""158487331""",Tweet,"""“Ouse, não tenha medo... tenha fé”

by: 📸 @GilCebola 
#RedbullNeymarJrsFive https://t.co/Dr2noiZ1y8""",Twitter for iPhone,2669,45303,2019-12-05,20:19:01,Male,Sport
31,neymarjr,"""158487331""",Tweet,"""Allez Paris ⚽️ https://t.co/EsGv0T7HbN""",Twitter for iPhone,11801,128713,2019-12-05,00:35:44,Male,Sport
32,neymarjr,"""158487331""",Tweet,"""👋🏽🤫 https://t.co/MPJY4Ay3qN""",Twitter for iPhone,17658,214379,2019-12-04,23:17:44,Male,Sport
33,neymarjr,"""158487331""",Tweet,"""Christmas season is here and it’s impossible to wait! Catch your Spirit Of The Brave now ;)

A época de Natal já chegou e é impossível esperar! Pegue seu Spirit Of The Brave agora ;)

@Dieselparfums #SpiritOfTheBrave #PlayWithYourFears #DieselFragrances #Xmas https://t.co/IuD0emGa8p""",Twitter for iPhone,912,20436,2019-12-02,20:01:45,Male,Sport
34,neymarjr,"""158487331""",Tweet,"""@GaGaMilanoWorld https://t.co/huRXn7eequ""",Twitter for iPhone,49,451,2019-11-29,14:37:26,Male,Sport
35,neymarjr,"""158487331""",Tweet,"""Meninos da Vila ⚡️⚡️🤩 @RodrygoGoes https://t.co/DYeeQQlPKL""",Twitter for iPhone,10727,126482,2019-11-27,18:48:30,Male,Sport
36,neymarjr,"""158487331""",Tweet,"""Que Deus nos abençoe e nos proteja 🙏🏽⚽️ https://t.co/GzLBrajZDk""",Twitter for iPhone,6570,108801,2019-11-26,19:03:54,Male,Sport
37,neymarjr,"""158487331""",Tweet,"""Focus 👀 https://t.co/dtHr2FPXgw""",Twitter for iPhone,8284,155170,2019-11-24,16:55:43,Male,Sport
38,neymarjr,"""158487331""",Tweet,"""In every life we have some trouble
But when you worry, you make it double
Don't worry, be happy 😁 https://t.co/dP7azdikh4""",Twitter for iPhone,8749,95869,2019-11-21,16:50:25,Male,Sport
39,neymarjr,"""158487331""",Tweet,"""Unveiling my new project with @GaGaMilanoWorld 
#limitededition  #ad https://t.co/ap5yFmw5G6""",Twitter for iPhone,468,13175,2019-11-21,16:05:37,Male,Sport
40,neymarjr,"""158487331""",Tweet,"""We made this next series of Inked to pay homage to my home and my move love of Monsters! 🇧🇷 👹
Check out Junior’s new adventure as he takes on Brazilian legends like the Boto, Mapinguari, and more!🐃🐬🕴
Read now only on Digitoons!
https://t.co/Ikc60G4Ssy?

#Inked #neymarjrcomics https://t.co/R3tfSwUP9z""",Twitter Web App,261,5817,2019-11-19,14:23:04,Male,Sport
41,neymarjr,"""158487331""",Tweet,"""Todos cubiertos con las caritas de fuera porque hacía mucho frío 🤣⛄️ si o no hermano? 🤣 @NavasKeylor  ✌🏽 https://t.co/woghagLjCL""",Twitter for iPhone,2465,63454,2019-11-17,14:59:05,Male,Sport
42,neymarjr,"""158487331""",Tweet,"""Spirit Of The Brave is a daring fragrance, both fresh and elegant. I wanted a fragrance that gives me energy and confidence at every moment of my life 👊

@Dieselparfums #SpiritOfTheBrave #PlayWithYourFears #DieselFragrances https://t.co/WYGlxsMRdS""",Twitter for iPhone,711,15780,2019-11-16,13:44:35,Male,Sport
43,neymarjr,"""158487331""",Tweet,"""Batman's got you • What do you think of this ?
@GaGaMilanoWorld #watch #batman #ad https://t.co/7qfdRHUXIi""",Twitter Web App,575,16693,2019-11-14,18:27:20,Male,Sport
44,neymarjr,"""158487331""",Tweet,"""Look closely @GaGaMilanoWorld 
#gagamilano #watch
📸#leandrodiaz #ad https://t.co/d3WCUZy6U9""",Twitter Web App,1261,38226,2019-11-12,13:06:29,Male,Sport
45,neymarjr,"""158487331""",Reply,"""@OTRO 🥊""",Twitter Web App,22,444,2019-11-12,13:01:00,Male,Sport
46,neymarjr,"""158487331""",Tweet,"""essential is all you need
@GaGaMilanoWorld #watch #ad https://t.co/9obPEmEojq""",Twitter Web App,1233,34916,2019-11-07,17:47:07,Male,Sport
47,neymarjr,"""158487331""",Tweet,"""✌🏻 https://t.co/MDJqrC7iut""",Twitter for iPhone,4842,116653,2019-11-01,12:01:20,Male,Sport
