Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,nytimes,"""807095""",Tweet,"""The extraordinary meeting of world leaders in Jerusalem, timed to Monday’s 75th anniversary of the liberation of Auschwitz, heard warnings about the present-day rise in anti-Jewish violence https://t.co/RtT9SlkvXs""",SocialFlow,22,75,2020-01-23,08:40:06,Organisation,News/Media
2,nytimes,"""807095""",Tweet,"""Live Updates: Wuhan Railway Station, usually thronging with people in the days before the Lunar New Year holiday, is very empty. But there is, so far at least, no extraordinary security around the station, writes @ChuBailiang. https://t.co/LwQkBwPyeo""",SocialFlow,30,45,2020-01-23,08:30:16,Organisation,News/Media
3,nytimes,"""807095""",Tweet,"""Pictures of 5 starving lions in a park in Sudan’s capital brought into sharp focus the state of the nation they call home but that can’t seem to care for them in the midst of political and economic turmoil https://t.co/owfyPWsCx9""",SocialFlow,89,165,2020-01-23,08:20:06,Organisation,News/Media
4,nytimes,"""807095""",Tweet,"""Europe morning briefing: Here's what you need to know to start your day https://t.co/18Sh9blFq2""",SocialFlow,19,68,2020-01-23,08:10:05,Organisation,News/Media
5,nytimes,"""807095""",Tweet,"""A gateway to alpine vacationlands since trains first arrived in 1871, Colorado Springs springs anew in 2020 with a number of exciting openings, including the $90 million U.S. Olympic &amp; Paralympic Museum. https://t.co/EUTeyNUaM9""",SocialFlow,18,67,2020-01-23,08:00:13,Organisation,News/Media
6,nytimes,"""807095""",Tweet,"""Pacific Gas &amp; Electric, the giant California utility, said it had cleared one of the last major hurdles to its exit from bankruptcy. But even before the announcement was made, Gov. Gavin Newsom declared that the plan was insufficient. https://t.co/HaM93X7yqa""",SocialFlow,25,82,2020-01-23,07:40:06,Organisation,News/Media
7,nytimes,"""807095""",Tweet,"""Tesla’s share price hit a record high Wednesday, which could start to unlock a payout worth nearly $400 million for Elon Musk, the company’s CEO https://t.co/ltCayLfozd""",SocialFlow,79,244,2020-01-23,07:20:08,Organisation,News/Media
8,nytimes,"""807095""",Tweet,"""Our chief China correspondent, @ChuBailiang, is traveling from Beijing to Wuhan, ground zero of a growing epidemic. He is sending live dispatches from his trip. https://t.co/XW74BOh6VH""",SocialFlow,35,81,2020-01-23,07:00:09,Organisation,News/Media
9,nytimes,"""807095""",Tweet,"""Some 50 Hollywood women, among them Amy Schumer, Amy Poehler, Ava DuVernay, Greta Gerwig, Kerry Washington and Lena Waithe, are urging the Directors Guild to change its policy for parental benefits https://t.co/upUq8rQYrF""",SocialFlow,76,293,2020-01-23,06:40:02,Organisation,News/Media
10,nytimes,"""807095""",Tweet,"""Twitter sent a letter to the start-up Clearview AI demanding that it stop taking photos and any other data from the social media website. Clearview's facial recognition app helps law enforcement match photos of unknown people to their online images.  https://t.co/6NFlbss5Z2""",SocialFlow,143,230,2020-01-23,06:30:15,Organisation,News/Media
11,nytimes,"""807095""",Tweet,"""Live Updates: China locked down Wuhan, a major port city of more than 11 million people, after officials said the number of deaths from a mysterious new virus had nearly doubled. https://t.co/KTzm28TMDa""",SocialFlow,156,223,2020-01-23,06:20:04,Organisation,News/Media
12,nytimes,"""807095""",Tweet,"""Juice WRLD died on Dec. 8 as a result of oxycodone and codeine toxicity, the Cook County Medical Examiner’s Office said https://t.co/PBm5ZqRjDg""",SocialFlow,45,147,2020-01-23,06:10:11,Organisation,News/Media
13,nytimes,"""807095""",Reply,"""Three people were killed when an aircraft being used to fight bush fires crashed, as a brief lull in Australia’s summer of disastrous blazes came to an alarming end https://t.co/1XIO4hRZMQ""",SocialFlow,79,146,2020-01-23,06:01:10,Organisation,News/Media
14,nytimes,"""807095""",Tweet,"""Gritty, the furry Philadelphia Flyers mascot who took the sports world by storm last year, is accused of punching a 13-year-old boy in the back during a fan event https://t.co/OosqvtF1lo""",SocialFlow,73,275,2020-01-23,05:50:06,Organisation,News/Media
