Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,oprah,"""19397785""",Tweet,"""My conversation with @amyschumer this past Saturday made us LOL the whole time! Thank you for coming and keeping it REAL. Stream the entire interview here: https://t.co/0FhXrSFFE9 #Oprahs2020VisionTour https://t.co/F4arVr2ywQ""",Twitter Web App,62,688,2020-01-23,03:50:05,Female,Entertainment
2,oprahsbookclub,"""1174003243287859200""",Retweet,"""Our next book club selection is “American Dirt” by @jeaninecummins. It’s a heart-wrenching page-turner, and you won’t be able to put it down.

Download your copy on @applebooks and #ReadWithUs: https://t.co/w62380H4Lz #AmericanDirt
@Flatironbooks @Oprah https://t.co/v6K23tEyPM""",Twitter for iPhone,134,803,2020-01-21,13:59:35,Female,Entertainment
3,cbsthismorning,"""17134268""",Retweet,"""Best-selling author @jeaninecummins joins @Oprah and @CBSThisMorning live to talk about ‘American Dirt,’ the newest @oprahsbookclub selection. #ReadWithUs https://t.co/CEMuNAUKCB https://t.co/lesnvzUYnR""",SnapStream TV Search,103,491,2020-01-21,13:52:25,Female,Entertainment
4,oprah,"""19397785""",Reply,"""Grab yourself a copy here: https://t.co/oEsW1uZCCB and follow @oprahsbookclub to join the conversation. We’ll start discussing it on 1/27📚 #ReadWithUs""",Twitter for iPhone,26,297,2020-01-21,13:51:32,Female,Entertainment
5,oprah,"""19397785""",Reply,"""Like so many of us, I’ve read newspaper articles and watched television news stories and seen movies about the plight of families looking for a better life, but this story changed the way I see what it means to be a migrant in a whole new way.""",Twitter for iPhone,58,575,2020-01-21,13:50:26,Female,Entertainment
6,oprah,"""19397785""",Tweet,"""Hello, fellow book lovers! My next @oprahsbookclub selection is “American Dirt” by @jeaninecummins. From the first sentence, I was IN. https://t.co/uonqIa3QRK""",Twitter for iPhone,192,2146,2020-01-21,13:50:08,Female,Entertainment
7,oprah,"""19397785""",Reply,"""Stream our conversation on @AppleTV or by clicking here: https://t.co/XtDKOiRWps""",Twitter for iPhone,46,463,2020-01-19,23:32:37,Female,Entertainment
8,oprah,"""19397785""",Tweet,"""I had to make my first trip to Maine the moment I started reading Elizabeth Strout’s “Olive, Again.” So for our @oprahsbookclub discussion, I took some book club members there to discuss the book and have some good ol’ lobster rolls 🦞📚#ReadWithUs https://t.co/7bpfrr8gpj""",Twitter for iPhone,283,4985,2020-01-19,23:31:39,Female,Entertainment
9,oprah,"""19397785""",Tweet,"""A friend just sent me this...Thanks to all of you who came from near and far to be with us in Charlotte and left with a better vision for 2020! #oprahs2020visiontour https://t.co/4IkZX28oZm""",Twitter for iPhone,216,3240,2020-01-19,16:03:51,Female,Entertainment
10,oprah,"""19397785""",Reply,"""I got off the stage and got GREAT news from @amyschumer 😂😂😂 #Oprahs2020VisionTour https://t.co/GWQgn2VZAi""",Twitter for iPhone,69,1492,2020-01-18,22:32:54,Female,Entertainment
