Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,selenagomez,"""23375688""",Tweet,"""Just wanted to say how grateful I am that LYTLM is #1 on Top 40 Radio. I’m so glad that something so dear to my heart is connecting with so many of you ❤️ thank you. https://t.co/Z7VfxNlYUL""",Twitter for iPhone,4282,29345,2020-01-23,05:06:29,Female,Entertainment
2,selenagomez,"""23375688""",Reply,"""@JoanzMarques This is awesome! 💖""",Twitter for iPhone,244,1687,2020-01-22,22:59:30,Female,Entertainment
3,selenagomez,"""23375688""",Tweet,"""It’s officially out! Thank YOU so much for making something so personal to me be a moment I’ll never forget. All I truly desire is for you all to enjoy the music and spread the love 🦋🌈💫 https://t.co/VorKTweFYF""",Twitter for iPhone,10312,66218,2020-01-22,21:03:14,Female,Entertainment
4,selenagomez,"""23375688""",Tweet,"""Go behind the scenes of the Rare video! ✨🦋 https://t.co/8aykjf3DTh https://t.co/qd1XQS6qVH""",Twitter for iPhone,6379,58540,2020-01-21,01:10:25,Female,Entertainment
5,selenagomez,"""23375688""",Tweet,"""Love this cover!! @echosmith 💖 https://t.co/UY0iYhjjGQ""",Twitter for iPhone,5337,50180,2020-01-20,00:26:35,Female,Entertainment
6,selenagomez,"""23375688""",Tweet,"""Feels so good to dance again. 😊💖 https://t.co/IvKVdM9aoo""",Twitter for iPhone,6712,57223,2020-01-18,20:53:50,Female,Entertainment
7,selenagomez,"""23375688""",Tweet,"""Love this!! 🎯 Who else got the @target deluxe version of Rare? https://t.co/RvWMH4KHuY https://t.co/J2eDfMab4U""",Twitter for iPhone,3445,33282,2020-01-17,00:49:48,Female,Entertainment
8,selenagomez,"""23375688""",Tweet,"""UK! Down to the last 100 signed CD and cassette sets in my store ✨Get them now! 💕 https://t.co/1B5tjNHDiw https://t.co/R6uzKY6c2j""",Twitter for iPhone,5143,56203,2020-01-16,16:25:24,Female,Entertainment
9,selenagomez,"""23375688""",Tweet,"""🦋💖💫 #StreamRare 💫💖🦋""",Twitter for iPhone,18613,103641,2020-01-16,03:47:19,Female,Entertainment
10,selenagomez,"""23375688""",Reply,"""Did you know the ‘Look At Her Now’ video was an homage to early 2000’s pop and R&amp;B videos? Learn more about it with the official pop up video! ⚡️ https://t.co/RB37JhfsoB""",Twitter for iPhone,2033,16189,2020-01-15,18:04:39,Female,Entertainment
11,selenagomez,"""23375688""",Tweet,"""Learn more about the video for ‘Lose You To Love Me’ with my first ever Pop Up Video! 💥 https://t.co/Jq6MX984pX https://t.co/9us0FNOCav""",Twitter for iPhone,6680,50965,2020-01-15,17:11:32,Female,Entertainment
12,selenagomez,"""23375688""",Reply,"""@sofycarol24 yes you ARE! 💕""",Twitter for iPhone,198,2042,2020-01-15,04:59:52,Female,Entertainment
13,selenagomez,"""23375688""",Tweet,"""UK! Exclusive bundles of Rare including a signed CD are now available in the store ✨https://t.co/UEYHgwz908 https://t.co/F3jWghFQYM""",Twitter for iPhone,4917,47444,2020-01-14,18:43:27,Female,Entertainment
14,selenagomez,"""23375688""",Tweet,"""Check out the never before seen alternate video for Look At Her Now. #shotoniphone 💫 https://t.co/SpAtWXnwXg https://t.co/kxKcIEtPfI""",Twitter for iPhone,8440,60705,2020-01-14,17:03:12,Female,Entertainment
15,selenagomez,"""23375688""",Tweet,"""Talked about #Rare, played a game and had so much fun on @FallonTonight!! Watch it all tonight 🦋💫💖 https://t.co/xqqXE2S8cW""",Twitter for iPhone,6767,56529,2020-01-14,03:36:29,Female,Entertainment
16,selenagomez,"""23375688""",Tweet,"""🙊 https://t.co/3tbXMMhn8f""",Twitter for iPhone,8446,77569,2020-01-14,03:21:07,Female,Entertainment
17,selenagomez,"""23375688""",Reply,"""@SelOnTheBrain 😂😂😂""",Twitter for iPhone,403,3144,2020-01-14,03:17:23,Female,Entertainment
18,selenagomez,"""23375688""",Reply,"""@sgomezmemoriess @SelenaFanClub Love you!! 🦋""",Twitter for iPhone,224,1791,2020-01-13,23:54:27,Female,Entertainment
19,selenagomez,"""23375688""",Reply,"""@herolena @SelenaFanClub 😢💖""",Twitter for iPhone,118,831,2020-01-13,23:53:18,Female,Entertainment
20,selenagomez,"""23375688""",Tweet,"""Aww thank you for being with me for so long 😢 also who else has the album from @target?? https://t.co/lF2FgSqQoH""",Twitter for iPhone,2913,37532,2020-01-13,23:52:01,Female,Entertainment
21,selenagomez,"""23375688""",Reply,"""@swifttselena I would love that!! 💖""",Twitter for iPhone,486,3172,2020-01-13,21:13:05,Female,Entertainment
22,selenagomez,"""23375688""",Reply,"""@positiveswift @SelenaFanClub 🥰💖""",Twitter for iPhone,189,1337,2020-01-13,20:56:13,Female,Entertainment
23,applemusic,"""74580436""",Retweet,"""“I think it was such a perfect description of how I think girls or women are meant to feel.” 
Listen to #Rare from @selenagomez on the #AListPop playlist: https://t.co/mQW68x3loo https://t.co/D6F1XpTtMc""",Sprinklr,1895,10483,2020-01-13,20:46:08,Female,Entertainment
24,selenagomez,"""23375688""",Tweet,"""Check out the Rare @instagram lens! 🦋✨https://t.co/FKSDFsjfL2 https://t.co/nx5hqGerTV""",Twitter for iPhone,8907,68419,2020-01-13,19:21:36,Female,Entertainment
25,selenagomez,"""23375688""",Reply,"""@SelenaFanClub Aw you guys are the best 💖🦋 thank you!!""",Twitter for iPhone,1611,7891,2020-01-13,19:20:29,Female,Entertainment
26,selenagomez,"""23375688""",Tweet,"""You guys asked for it! Watch the alternate video for Lose You To Love Me, out now. 🖤 #shotoniphone https://t.co/1zMftLxYEB https://t.co/vArgdNuRcv""",Twitter for iPhone,14792,79198,2020-01-13,17:04:47,Female,Entertainment
27,selenagomez,"""23375688""",Tweet,"""Thank you for having me!! 💖 https://t.co/ykiMwaZDMJ""",Twitter for iPhone,4677,43544,2020-01-13,16:31:19,Female,Entertainment
28,selenagomez,"""23375688""",Tweet,"""Listen to Rare on @spotify!! 💚 https://t.co/VU0GR9aqVT https://t.co/hfULqDHJP7""",Twitter for iPhone,11596,90599,2020-01-13,03:51:08,Female,Entertainment
29,selenagomez,"""23375688""",Tweet,"""Signed CDs are back in my store!! 🥳 https://t.co/IAkD2wQ8L2""",Twitter for iPhone,6001,49209,2020-01-12,04:02:52,Female,Entertainment
30,selenagomez,"""23375688""",Tweet,"""Spoke with @zanelowe about my new album, Rare. Watch the interview and stream the album on @applemusic 💖 https://t.co/v2GzzsL1j7 https://t.co/hVE0LpsGiE""",Twitter for iPhone,7260,56875,2020-01-11,18:08:39,Female,Entertainment
31,selenagomez,"""23375688""",Tweet,"""Listen to #RareOutNow on @Spotify! https://t.co/UG8n8CRXyX 💥 https://t.co/helAps9dVP""",Twitter for iPhone,8406,48923,2020-01-11,00:06:59,Female,Entertainment
32,selenagomez,"""23375688""",Tweet,"""Alexa, play Rare by Selena Gomez on @amazonmusic! 😜 https://t.co/7dSbOp4yRO https://t.co/im771zq7Xr""",Twitter Media Studio,8035,54901,2020-01-10,22:23:47,Female,Entertainment
33,selenagomez,"""23375688""",Tweet,"""Thank you for having me!! https://t.co/KC3ZPpC0EQ""",Twitter for iPhone,4610,43546,2020-01-10,21:04:26,Female,Entertainment
34,selenagomez,"""23375688""",Tweet,"""Alright that’s all for now!! So much more to come. Thank you guys so much for asking the best questions and loving the album so much. I love and appreciate you all. Peace 💖🦋""",Twitter for iPhone,11121,99232,2020-01-10,19:51:48,Female,Entertainment
35,selenagomez,"""23375688""",Tweet,"""Hell yeah!! A lot of eating took place while we made Rare https://t.co/K2b6cJb5fB""",Twitter for iPhone,2141,18132,2020-01-10,19:47:25,Female,Entertainment
36,selenagomez,"""23375688""",Tweet,"""Sweeter Place!! ☁️ https://t.co/avhmwyAHhR""",Twitter for iPhone,2619,19417,2020-01-10,19:45:38,Female,Entertainment
37,selenagomez,"""23375688""",Tweet,"""To celebrate how far I’ve come https://t.co/uDyAVRA40C""",Twitter for iPhone,2644,19148,2020-01-10,19:44:26,Female,Entertainment
38,selenagomez,"""23375688""",Tweet,"""Ring!! https://t.co/CwiwQNxdYH""",Twitter for iPhone,3768,27826,2020-01-10,19:43:28,Female,Entertainment
39,selenagomez,"""23375688""",Tweet,"""In the car driving!! https://t.co/iQeGR3fjol""",Twitter for iPhone,2531,20337,2020-01-10,19:39:36,Female,Entertainment
