Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,taylorswift13,"""17919972""",Tweet,"""For Meredith, self quarantining is a way of life. Be like Meredith. #QuarantineCats https://t.co/yEHJ5c5oFi""",Twitter for iPhone,27242,142398,2020-03-16,21:50:13,Female,Music
2,taylorswift13,"""17919972""",Tweet,"""No one:

Absolutely no one:

Me: here’s more footage of behind the scenes of me directing The Man video with a female voice and demeanor/ dude body and face! Just to make your day weirder! 

https://t.co/5vRMcFYhWz https://t.co/iCvBjThn0d""",Twitter for iPhone,17683,123611,2020-03-10,12:52:08,Female,Music
3,taylorswift13,"""17919972""",Tweet,"""In honor of International Women’s Day, I changed out my @AppleMusic playlist to songs I’m loving right now by female artists and bands. 💕 Let’s all celebrate together by honoring the women in our lives and the women out there pushing things forward 😘 https://t.co/YSUOgCUqIa""",Twitter for iPhone,13064,85267,2020-03-07,17:15:15,Female,Music
4,taylorswift13,"""17919972""",Tweet,"""The Man Behind The Scenes - Becoming The Man is out now! Only took 5 hours in the makeup chair + a little sprinkle of privilege dust ✨✨✨➡️👨🏻 https://t.co/9tG8uYDFGz https://t.co/ptVjh4xQCZ""",Twitter for iPhone,11086,69057,2020-03-06,13:19:20,Female,Music
5,taylorswift13,"""17919972""",Tweet,"""My heart is with everyone in Tennessee who has been affected by the tornados. Sending you my love and prayers.""",Twitter for iPhone,14762,152138,2020-03-03,20:24:24,Female,Music
6,taylorswift13,"""17919972""",Reply,"""Shout out to Rebecca Skinner for being the best executive producer a (wo)man could ask for. 
I can’t believe I get to work with these legends. Having a little moment over here 🥺💓""",Twitter for iPhone,2889,29469,2020-02-28,02:12:27,Female,Music
7,taylorswift13,"""17919972""",Tweet,"""More thank you’s... Chancler Haynes is an editing extraordinaire. Stephen Galloway and Spenser Theberge were my movement coaches and taught me how to smoke, slouch, walk and act like a toxic bro. David Lebensfeld and Grant Miller aced that VFX magic. https://t.co/I8rf5D3xwE""",Twitter for iPhone,7998,63998,2020-02-28,02:12:26,Female,Music
8,taylorswift13,"""17919972""",Reply,"""Rodrigo Prieto, our DP/cinematographer, is absolutely brilliant and down to earth and hilarious. Ethan Tobman created all those sets. Like, that wasn’t a real yacht. That’s how good he is. 🤯👏""",Twitter for iPhone,2767,28848,2020-02-28,00:11:18,Female,Music
9,taylorswift13,"""17919972""",Tweet,"""I want to say a massive thank you to my main team in putting this whole thing together: Jil Hardin, our producer, worked tirelessly and truly made me feel like I could do this. Joe ‘Oz’ Osborne, our excellent AD, and I have worked together for years and he’s the coolest. https://t.co/c7hLxu4Keq""",Twitter for iPhone,9009,81896,2020-02-28,00:11:18,Female,Music
10,taylorswift13,"""17919972""",Reply,"""Between 4-6 hours in the make up chair every day with these geniuses. Thank you Bill Corso and all who worked so hard on this transformation 🙏🙏🙏""",Twitter for iPhone,3116,30812,2020-02-27,23:02:01,Female,Music
11,taylorswift13,"""17919972""",Tweet,"""Alongside every great (the) man is a team of hardworking creatives who made this thing happen. Bill Corso &amp; his incredible team and I have worked together before, turning me into a zombie.. but convincing a significant amount of people I was a dude is our crowning achievement. https://t.co/Rn7FmIDz55""",Twitter for iPhone,7804,61154,2020-02-27,23:02:01,Female,Music
12,taylorswift13,"""17919972""",Reply,"""@Dominic_Toliver @tiktok_us Dominic your reactions were SO good, when you were all ‘you got this!!’ And jayden’s all ‘😍❤️💗’. I cackle every time I see it. Thanks so much for spending the day with me!""",Twitter for iPhone,708,4856,2020-02-27,14:50:34,Female,Music
13,taylorswift13,"""17919972""",Reply,"""@iamlorengray This post 🥺🥰 I appreciate you saying this so much. I had the best time hanging out &amp; talking on the tennis court with you! Pennsylvania girls represent 🥳 Gonna be cheering you on for everything you do!""",Twitter for iPhone,2398,22293,2020-02-27,14:48:34,Female,Music
14,taylorswift13,"""17919972""",Reply,"""@jaydenbartels Every time I see you in the video I just GRIN because you were so good and so awesome to be around. Thank you SO much for being a part of it!!!""",Twitter for iPhone,861,7495,2020-02-27,14:46:32,Female,Music
15,taylorswift13,"""17919972""",Reply,"""My dad making his acting debut as ‘unimpressed umpire’ is a memory I’ll always cherish. Thank you to the entire cast and crew for helping me become the man I always knew I could be 😂""",Twitter for iPhone,4981,45510,2020-02-27,14:23:26,Female,Music
16,taylorswift13,"""17919972""",Reply,"""it’s so cool to have you be a part of this!! Thank you @jaydenbartels and @dominic_toliver for your amazing and hilarious reactions- and @iamlorengray your eye roll really was aStOnIsHiNg 🥰😘💗""",Twitter for iPhone,3910,36306,2020-02-27,14:23:03,Female,Music
