Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,imvkohli,"""71201743""",Tweet,"""Stylish, elegant and classy. An absolute beast the Audi Q8 😎👌Glad to be a part of the launch with Mr Balbir Singh Dhillon, Head @AudiIN #AudiQ8 #8thDimension https://t.co/Tg0XJVeErX""",Twitter for Android,1707,35917,2020-01-22,06:32:23,Male,Sport
2,imvkohli,"""71201743""",Tweet,"""Top team gym session and a good meal out in beautiful Auckland 👌👌 @im_manishpandey @imjadeja @klrahul11 https://t.co/nAuA1ro58h""",Twitter for Android,3515,81896,2020-01-22,02:51:48,Male,Sport
3,imvkohli,"""71201743""",Tweet,"""Touchdown Auckland. Let’s go 🇮🇳 @imShard @ShreyasIyer15 https://t.co/8Lo2c1usmM""",Twitter for Android,3598,79331,2020-01-21,14:42:08,Male,Sport
4,imvkohli,"""71201743""",Tweet,"""👊🏼👊🏼👊🏼 https://t.co/ot4qLbfkvM""",Twitter for Android,1889,31973,2020-01-20,08:30:51,Male,Sport
5,imvkohli,"""71201743""",Tweet,"""Soaring High 🏆🇮🇳💙 #IndvAus https://t.co/Zjo3mReSWD""",Twitter for Android,14067,189812,2020-01-19,16:50:51,Male,Sport
6,imvkohli,"""71201743""",Tweet,"""Excited to reveal Blends, the latest EDT range of perfume by #one8Fragrances. 🥳 A scent you just can't miss. 😎 Go, check out its six intriguing variants exclusively on https://t.co/lxDa2esPBl @Flipkart @ScentialsWorld ✌🏼

#ScentialsWorld #Blends #Flipkart #Ad https://t.co/2Ik2zrRmgu""",Twitter for Android,1568,29806,2020-01-18,05:46:23,Male,Sport
7,imvkohli,"""71201743""",Tweet,"""👊🏼👊🏼👊🏼 #INDvAUS https://t.co/JWMMgFGQpd""",Twitter for Android,9233,146597,2020-01-17,16:55:59,Male,Sport
8,imvkohli,"""71201743""",Tweet,"""#Repost @BCCI
・・・
Focus goals? 🎯🎯
Ask the Skip! 👌🏻👌🏻 #TeamIndia #INDvAUS https://t.co/ouzENc2YfG""",Twitter for Android,4151,90252,2020-01-13,13:02:41,Male,Sport
9,imvkohli,"""71201743""",Tweet,"""Hold your ground 🤜 #one8 https://t.co/yXBRniOcmr""",Twitter for Android,3447,92702,2020-01-12,04:33:39,Male,Sport
10,imvkohli,"""71201743""",Tweet,"""Way to go! 💪🏼💪🏼💪🏼 #strongertogether https://t.co/hUmMbcdQRm""",Twitter for Android,6756,117441,2020-01-10,17:53:22,Male,Sport
11,imvkohli,"""71201743""",Tweet,"""Ball out of the Bowlers hand and Chholle Bhature for a cheat meal deserve the same kind of focus. 👀😄 https://t.co/ctEs96bvQa""",Twitter for Android,3655,81337,2020-01-09,15:11:47,Male,Sport
