Index,Username,User Id,Tweet Type,Tweet Content,Client,Retweets received,Likes received,Date,Time,Gender,Vocation
1,babushkabadgyal,"""1216311347182436352""",Retweet,"""@wizkhalifa is my coffee in the Morning. #taylorgang""",Twitter for Android,39,355,2020-01-22,15:33:07,Male,Music
2,jassbabyy_,"""2225206874""",Retweet,"""@wizkhalifa #taylorgang #mcqueenteam""",Twitter for iPhone,6,91,2020-01-22,15:33:06,Male,Music
3,wizkhalifa,"""20322929""",Tweet,"""Make sure you guys hashtag #taylorgang &amp; #mcqueenteam so we can identify the REAL TAYLORS.""",Twitter for iPhone,187,1896,2020-01-22,15:32:30,Male,Music
4,wizkhalifa,"""20322929""",Tweet,"""Roll something and get the day started. Clean up your surroundings so your mind can be clear #taylorgang""",Twitter for iPhone,7345,26539,2020-01-22,14:52:54,Male,Music
5,trappdann,"""2292041053""",Retweet,"""somehow this first tweet i see everyday yesirrr @wizkhalifa https://t.co/K68ZD8CIyE""",Twitter for iPhone,136,1229,2020-01-21,20:35:47,Male,Music
6,wizkhalifa,"""20322929""",Tweet,"""CAP’N KUSH GOTCHU 🍊 https://t.co/r7ue9rDmch""",Twitter for iPhone,154,1895,2020-01-21,20:32:30,Male,Music
7,kinggustavo1,"""1147416962357702657""",Retweet,"""@wizkhalifa always motivate me✊🏾💯 https://t.co/FCHUMs7sL8""",Twitter for iPad,24,256,2020-01-21,20:32:16,Male,Music
8,groovynilo,"""3429014997""",Retweet,"""@wizkhalifa Me waiting for this tweet every day https://t.co/Xzti7hEq4d""",Twitter for iPhone,37,345,2020-01-21,20:30:28,Male,Music
9,wizkhalifa,"""20322929""",Tweet,"""Roll something and get the day started. You get the best when you challenge yourself so don’t take the easy route""",Twitter for iPhone,7123,26683,2020-01-21,20:29:41,Male,Music
10,sydneytenise,"""194866750""",Retweet,"""i luv wiz energy 😂 he b minding his https://t.co/CkyUmGADJe""",Twitter for iPhone,609,3613,2020-01-21,20:22:53,Male,Music
11,godlyenough,"""500309003""",Retweet,"""My fav🥺 https://t.co/AJOEeDAURc""",Twitter for iPhone,35,444,2020-01-21,20:21:33,Male,Music
12,wizkhalifa,"""20322929""",Tweet,"""“THEY GOT ME IN THAT MOOD “🤪🤪 https://t.co/0o8LKbzZND""",Twitter for iPhone,18040,74660,2020-01-21,01:03:18,Male,Music
13,wizkhalifa,"""20322929""",Tweet,"""New niccname for McQueen. “BLUE SODA” @McQueenVF #mcqueenteam #taylorgang""",Twitter for iPhone,57,760,2020-01-20,21:24:27,Male,Music
14,taylorgang,"""1689692046""",Retweet,"""Peep @wizkhalifa “Real Rappers Rap” on @Audiomack 🌟
🎶: https://t.co/Li7Nd9ORHm https://t.co/xCzFHydHyJ""",Twitter for iPad,74,708,2020-01-20,21:24:25,Male,Music
15,wizkhalifa,"""20322929""",Tweet,"""I do what the fucc i want and it feels amazing""",Twitter for iPhone,27711,71638,2020-01-20,20:22:41,Male,Music
16,wizkhalifa,"""20322929""",Tweet,"""Roll something and get the day started. You countin your points or tryna help the team win?""",Twitter for iPhone,3300,14319,2020-01-20,20:17:30,Male,Music
17,mcqueenvf,"""809163647125749771""",Retweet,"""Sunday Funday w @wizkhalifa https://t.co/slu1CCHrAY""",Twitter for iPhone,175,1228,2020-01-19,19:22:55,Male,Music
18,wizkhalifa,"""20322929""",Tweet,"""Check out Wiz Khalifa! #TikTok https://t.co/EjrRExNdX5""",TikTok - Make Your Day,80,1014,2020-01-19,03:44:57,Male,Music
19,taylorgang,"""1689692046""",Retweet,"""#NewMusicFriday 🔊  check out “Gutter Rainbow”  @Boaz412 @wizkhalifa   https://t.co/PGXom45gxq https://t.co/b4rL6MVkOK""",Twitter Web App,95,611,2020-01-18,04:46:43,Male,Music
20,wizkhalifa,"""20322929""",Tweet,"""You gotta have good friends like @DJBonics""",Twitter for iPhone,137,1853,2020-01-17,21:09:04,Male,Music
21,skatemaloley,"""1556393042""",Retweet,"""LISTEN TO #SK8SOUNDS - AVAILABLE EVERYWHERE
https://t.co/Yn3FapQno1 https://t.co/3cd5BiOtE5""",Twitter Web App,528,686,2020-01-17,20:22:01,Male,Music
22,taylorgang,"""1689692046""",Retweet,"""HEAT @skatemaloley ""Take Me There"" Video Out now!! 🤩
https://t.co/LODehMMqeI https://t.co/NORWWXyVJr""",Twitter Web App,94,551,2020-01-17,19:46:01,Male,Music
23,wizkhalifa,"""20322929""",Tweet,"""S/o to that boy @DerrickMilano too. He nailed that #wizlaugh""",Twitter for iPhone,45,490,2020-01-17,18:46:36,Male,Music
24,wizkhalifa,"""20322929""",Tweet,"""Im overseas and @_Hitmaka just sent me the craziest shit ever. I can’t wait to run home and get in the studio""",Twitter for iPhone,88,978,2020-01-17,18:45:49,Male,Music
25,wizkhalifa,"""20322929""",Tweet,"""I’m droppin two solo projects this year. #CAPTAINKUSH AND #BADMOTHERFUCKER""",Twitter for iPhone,1756,8653,2020-01-17,18:44:56,Male,Music
26,wizkhalifa,"""20322929""",Tweet,"""Here’s the video for #RealRappersRap https://t.co/G2blKFhQ4o https://t.co/fN1Gmp9piT""",Twitter for iPhone,95,538,2020-01-17,18:33:47,Male,Music
27,wizkhalifa,"""20322929""",Tweet,"""Im in the studio everyday workin on it #realrappersRAP https://t.co/8YI4JBgbTL""",Twitter for iPhone,75,659,2020-01-17,18:30:55,Male,Music
28,wizkhalifa,"""20322929""",Tweet,"""#RealRappersRAP https://t.co/mkwq7M8Gu1""",Twitter for iPhone,176,1148,2020-01-17,18:30:54,Male,Music
29,sunnytgod,"""876297067""",Retweet,"""No cap!!! Lmao! https://t.co/yra1xzrcBF""",Twitter for iPhone,85,814,2020-01-17,18:28:31,Male,Music
30,wizkhalifa,"""20322929""",Tweet,"""Im droppin multiple projects this year. https://t.co/T3xHoqAVcg""",Twitter for iPhone,562,3678,2020-01-17,18:27:54,Male,Music
31,wizkhalifa,"""20322929""",Tweet,"""Roll something and get the day started. If your in a country where you can’t smoke, get the fucc outta there quicc and burn""",Twitter for iPhone,9814,47494,2020-01-17,18:27:13,Male,Music
32,chuncieg,"""1153295590849044481""",Retweet,"""I once had #TaylorsFollowTaylors trending on Twitter a few years back can y’all help me do it again I’m tryna meet @wizkhalifa if you TGOD #TaylorsFollowTaylors and let’s get this trending again🤷🏾‍♂️""",Twitter for iPhone,16,178,2020-01-17,15:49:02,Male,Music
