"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1219799180723359744""",https://twitter.com/katyperry/status/1219799180723359744,"2020-01-22 01:49:22","""Step into your destiny with The Bondie 🔮✨ #ShoesdayTuesday @kpcollections https://t.co/EcuUoLTpV0 https://t.co/eclDUS7LEx""",Tweet,"Twitter for iPhone",503,4037,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1219701567961600001""",https://twitter.com/katyperry/status/1219701567961600001,"2020-01-21 19:21:29","""Y’all! It’s a New Year &amp; a 🎤NEW SEASON OF @AMERICANIDOL🎤 Get ur 🍿 &amp; tissues 😭 ready, we got it DIALED for season 3 on @ABCNetwork! FEB 16th we got SO many surprises coming ur way. keep your eyes, ears &amp; hearts open ♥️ @lionelrichie @LukeBryanOnline @ryanseacrest @mrBobbyBones https://t.co/HAQsgGSTZF""",Tweet,"Twitter for iPhone",1029,7558,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1219169657250168832""",https://twitter.com/katyperry/status/1219169657250168832,"2020-01-20 08:07:52","""the darker the night the brighter the stars ✨""",Tweet,"Twitter for iPhone",18934,79726,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1217216435782422530""",https://twitter.com/katyperry/status/1217216435782422530,"2020-01-14 22:46:27","""✨ #ProtectYourEnergy2020 extends from your head to your toes ✨ #ShoesdayTuesday @katyperrycollections

https://t.co/s2ju742G20 https://t.co/iuM21E86yD""",Tweet,"Twitter for iPhone",802,7246,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1216834918241583104""",https://twitter.com/katyperry/status/1216834918241583104,"2020-01-13 21:30:26","""That’s sweet and all but I’m livid and flipping tables over here! https://t.co/gwWW4Yo9Wp""",Tweet,"Twitter for iPhone",735,7453,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1216832663828320256""",https://twitter.com/katyperry/status/1216832663828320256,"2020-01-13 21:21:29","""just saw the trailer for @BarbAndStar and finally don’t feel so alone in my sense of humor. Will be hibernating till July 31st. ✌🏻""",Tweet,"Twitter for iPhone",838,7430,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1216654594887028737""",https://twitter.com/katyperry/status/1216654594887028737,"2020-01-13 09:33:54","""Many people wonder how the pyramids were actually built... but me, I am in constant awe and wonder of how such a loving/kind/compassionate/supportive/talented/deeply spiritual/did I mention incredibly good… https://t.co/A6TMdvEzxG""",Tweet,Instagram,903,8605,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1215692633978195969""",https://twitter.com/katyperry/status/1215692633978195969,"2020-01-10 17:51:25","""#FBF to a look behind my @VOGUEIndia shoot. Sustainable, colorful fashion, showcasing the beauty of Mumbai, hanging with local kiddos, and working with the brilli @GregSwalesart... what more can I ask for? Continually grateful 🇮🇳 https://t.co/qChEbfvq8p""",Tweet,"Twitter for iPhone",780,5620,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1215485210487185408""",https://twitter.com/katyperry/status/1215485210487185408,"2020-01-10 04:07:11","""nice club, kid @cynthialovely @birdsofpreywb 🎶💫 https://t.co/U8wTNZxygo""",Tweet,"Twitter for iPhone",915,8328,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1214707449573167104""",https://twitter.com/katyperry/status/1214707449573167104,"2020-01-08 00:36:38","""It’s a new year: how about some crystals and heel-ing for 2020? ✨ @kpcollections #ShoesdayTuesday https://t.co/Uxcc2yDRK4""",Tweet,"Twitter for iPhone",649,7458,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1214630642693988352""",https://twitter.com/katyperry/status/1214630642693988352,"2020-01-07 19:31:26","""Walk the walk @vogueindia Jan 2020 

Story link in bio https://t.co/i5LXmjnost""",Tweet,Instagram,504,3910,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1214629675802267648""",https://twitter.com/katyperry/status/1214629675802267648,"2020-01-07 19:27:36","""Always fries with that 🍟 @vogueindia Jan 2020

Story link in bio https://t.co/NFhBuUbSdz""",Tweet,Instagram,467,3620,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1214628947914215424""",https://twitter.com/katyperry/status/1214628947914215424,"2020-01-07 19:24:42","""We dance to the beat of a different drum 🥁 @vogueindia Jan 2020

Story link in bio https://t.co/LgKKlgeAaG""",Tweet,Instagram,461,3291,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
