"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1239670332958674944""",https://twitter.com/taylorswift13/status/1239670332958674944,"2020-03-16 21:50:13","""For Meredith, self quarantining is a way of life. Be like Meredith. #QuarantineCats https://t.co/yEHJ5c5oFi""",Tweet,"Twitter for iPhone",27242,142398,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1237360590110294016""",https://twitter.com/taylorswift13/status/1237360590110294016,"2020-03-10 12:52:08","""No one:

Absolutely no one:

Me: here’s more footage of behind the scenes of me directing The Man video with a female voice and demeanor/ dude body and face! Just to make your day weirder! 

https://t.co/5vRMcFYhWz https://t.co/iCvBjThn0d""",Tweet,"Twitter for iPhone",17683,123611,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1236339640656973825""",https://twitter.com/taylorswift13/status/1236339640656973825,"2020-03-07 17:15:15","""In honor of International Women’s Day, I changed out my @AppleMusic playlist to songs I’m loving right now by female artists and bands. 💕 Let’s all celebrate together by honoring the women in our lives and the women out there pushing things forward 😘 https://t.co/YSUOgCUqIa""",Tweet,"Twitter for iPhone",13064,85267,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1235917883726852098""",https://twitter.com/taylorswift13/status/1235917883726852098,"2020-03-06 13:19:20","""The Man Behind The Scenes - Becoming The Man is out now! Only took 5 hours in the makeup chair + a little sprinkle of privilege dust ✨✨✨➡️👨🏻 https://t.co/9tG8uYDFGz https://t.co/ptVjh4xQCZ""",Tweet,"Twitter for iPhone",11086,69057,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1234937694121287684""",https://twitter.com/taylorswift13/status/1234937694121287684,"2020-03-03 20:24:24","""My heart is with everyone in Tennessee who has been affected by the tornados. Sending you my love and prayers.""",Tweet,"Twitter for iPhone",14762,152138,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1233213342002618368""",https://twitter.com/taylorswift13/status/1233213342002618368,"2020-02-28 02:12:27","""Shout out to Rebecca Skinner for being the best executive producer a (wo)man could ask for. 
I can’t believe I get to work with these legends. Having a little moment over here 🥺💓""",Reply,"Twitter for iPhone",2889,29469,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1233213339607719936""",https://twitter.com/taylorswift13/status/1233213339607719936,"2020-02-28 02:12:26","""More thank you’s... Chancler Haynes is an editing extraordinaire. Stephen Galloway and Spenser Theberge were my movement coaches and taught me how to smoke, slouch, walk and act like a toxic bro. David Lebensfeld and Grant Miller aced that VFX magic. https://t.co/I8rf5D3xwE""",Tweet,"Twitter for iPhone",7998,63998,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1233182854231863301""",https://twitter.com/taylorswift13/status/1233182854231863301,"2020-02-28 00:11:18","""Rodrigo Prieto, our DP/cinematographer, is absolutely brilliant and down to earth and hilarious. Ethan Tobman created all those sets. Like, that wasn’t a real yacht. That’s how good he is. 🤯👏""",Reply,"Twitter for iPhone",2767,28848,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1233182852092694533""",https://twitter.com/taylorswift13/status/1233182852092694533,"2020-02-28 00:11:18","""I want to say a massive thank you to my main team in putting this whole thing together: Jil Hardin, our producer, worked tirelessly and truly made me feel like I could do this. Joe ‘Oz’ Osborne, our excellent AD, and I have worked together for years and he’s the coolest. https://t.co/c7hLxu4Keq""",Tweet,"Twitter for iPhone",9009,81896,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
"""1233165419407642624""",https://twitter.com/taylorswift13/status/1233165419407642624,"2020-02-27 23:02:01","""Between 4-6 hours in the make up chair every day with these geniuses. Thank you Bill Corso and all who worked so hard on this transformation 🙏🙏🙏""",Reply,"Twitter for iPhone",3116,30812,"""17919972""","""Taylor Swift""",taylorswift13,Verified,https://twitter.com/taylorswift13,"Not Protected"
